32,"Explain the features of TCP protocol.","Transport Layer","Medium"
33,"Explain the features of UDP protocol.","Transport Layer","Medium"
34,"Why is TCP considered a reliable protocol?","Transport Layer","Medium"
35,"What is the three-way handshake in TCP?","TCP Protocol","Medium"
36,"Explain TCP connection termination process.","TCP Protocol","Medium"
37,"What are TCP flags? Explain SYN, ACK, FIN, and RST.","TCP Protocol","Medium"
38,"What is flow control in TCP?","TCP Protocol","Medium"
39,"What is congestion control in TCP?","TCP Protocol","Hard"
40,"Explain sliding window protocol.","Flow Control","Medium"
41,"What is the difference between flow control and congestion control?","TCP Protocol","Hard"
42,"What is a port number?","Transport Layer","Easy"
43,"What is a socket in computer networks?","Transport Layer","Medium"
44,"What are well-known ports? Give examples.","Ports and Services","Easy"
45,"Explain HTTP and HTTPS protocols.","Application Layer","Easy"
46,"What is the difference between HTTP and HTTPS?","Application Layer","Medium"
47,"Explain FTP protocol and its uses.","Application Layer","Easy"
48,"What is SMTP protocol?","Application Layer","Easy"
49,"What is DNS and how does it work?","Application Layer","Medium"
50,"Explain DHCP protocol and its purpose.","Application Layer","Medium"
ID,Question,Topic,Difficulty
51,"What is ARP and how does it work?","Network Layer Protocols","Medium"
52,"Explain the difference between ARP and RARP.","Network Layer Protocols","Medium"
53,"What is ICMP protocol?","Network Layer Protocols","Easy"
54,"Explain the working of the ping command.","Network Layer Protocols","Easy"
55,"What is the purpose of traceroute command?","Network Layer Protocols","Medium"
56,"What is routing in computer networks?","Routing","Easy"
57,"Explain different types of routing algorithms.","Routing","Medium"
58,"What is static routing?","Routing","Easy"
59,"What is dynamic routing?","Routing","Easy"
60,"Difference between static routing and dynamic routing.","Routing","Medium"
61,"What are routing tables?","Routing","Medium"
62,"Explain distance vector routing algorithm.","Routing Algorithms","Medium"
63,"Explain link state routing algorithm.","Routing Algorithms","Medium"
64,"What is the difference between distance vector and link state routing?","Routing Algorithms","Hard"
65,"What is RIP protocol?","Routing Protocols","Medium"
66,"What is OSPF protocol?","Routing Protocols","Medium"
67,"Explain BGP protocol and its use.","Routing Protocols","Hard"
68,"What is a default gateway?","Networking Basics","Easy"
69,"What is NAT and why is it used?","Network Address Translation","Medium"
70,"Explain the types of NAT.","Network Address Translation","Medium"
71,"What is a firewall in computer networks?","Network Security","Easy"
72,"Explain the difference between hardware firewall and software firewall.","Network Security","Medium"
73,"What is a proxy server?","Network Security","Easy"
74,"What is a VPN and how does it work?","Network Security","Medium"
75,"Explain the concept of network security.","Network Security","Easy"
ID,Question,Topic,Difficulty
76,"What is encryption in computer networks?","Network Security","Medium"
77,"Explain symmetric and asymmetric encryption.","Network Security","Medium"
78,"What is the difference between encryption and hashing?","Network Security","Medium"
79,"What is SSL/TLS protocol?","Network Security","Medium"
80,"Explain digital certificates.","Network Security","Medium"
81,"What is authentication and authorization in network security?","Network Security","Easy"
82,"What are common types of network attacks?","Network Security","Medium"
83,"Explain Denial of Service (DoS) attack.","Network Security","Medium"
84,"What is a Distributed Denial of Service (DDoS) attack?","Network Security","Medium"
85,"What is a man-in-the-middle attack?","Network Security","Medium"
86,"What is packet switching?","Data Transmission","Easy"
87,"Explain circuit switching and packet switching.","Data Transmission","Medium"
88,"What is the difference between message switching and packet switching?","Data Transmission","Medium"
89,"What are transmission modes in computer networks?","Data Transmission","Easy"
90,"Explain simplex, half-duplex, and full-duplex communication.","Data Transmission","Medium"
91,"What is bandwidth in networking?","Network Performance","Easy"
92,"What is latency in computer networks?","Network Performance","Easy"
93,"Explain throughput and its importance.","Network Performance","Medium"
94,"What is jitter in networking?","Network Performance","Medium"
95,"What is Quality of Service (QoS)?","Network Performance","Medium"
96,"What is Wi-Fi and how does it work?","Wireless Networks","Easy"
97,"Explain the difference between Wi-Fi and Ethernet.","Wireless Networks","Medium"
98,"What is Bluetooth technology?","Wireless Networks","Easy"
99,"What is cloud networking?","Modern Networking","Medium"
100,"Explain the role of computer networks in modern applications.","Networking Basics","Easy"
