36,"How do you reverse a linked list?","Linked List Operations","Medium"
37,"How do you find the middle element of a linked list?","Linked List Operations","Medium"
38,"How do you detect a loop in a linked list?","Linked List Algorithms","Hard"
39,"Explain Floyd’s cycle detection algorithm.","Linked List Algorithms","Hard"
40,"What is a stack data structure?","Stack","Easy"
41,"Explain the basic operations of stack.","Stack Operations","Easy"
42,"What is push operation in stack?","Stack Operations","Easy"
43,"What is pop operation in stack?","Stack Operations","Easy"
44,"What is peek operation in stack?","Stack Operations","Easy"
45,"What are the applications of stack?","Stack","Medium"
46,"Explain stack implementation using arrays.","Stack Implementation","Medium"
47,"Explain stack implementation using linked lists.","Stack Implementation","Medium"
48,"What is recursion and how is it related to stack?","Recursion","Medium"
49,"Explain infix, prefix, and postfix expressions.","Stack Applications","Medium"
50,"How do you evaluate postfix expressions using stack?","Stack Applications","Hard"
ID,Question,Topic,Difficulty
51,"What is a queue data structure?","Queue","Easy"
52,"Explain the basic operations of a queue.","Queue Operations","Easy"
53,"What is enqueue operation in a queue?","Queue Operations","Easy"
54,"What is dequeue operation in a queue?","Queue Operations","Easy"
55,"What is the difference between stack and queue?","Stack vs Queue","Medium"
56,"Explain the applications of queues.","Queue","Medium"
57,"What is a circular queue?","Queue","Medium"
58,"What are the advantages of circular queue over simple queue?","Queue","Medium"
59,"What is a priority queue?","Queue","Medium"
60,"Explain deque (double-ended queue).","Queue","Medium"
61,"What is a tree data structure?","Trees","Easy"
62,"Explain the terminology used in trees.","Trees","Easy"
63,"What is a binary tree?","Binary Tree","Easy"
64,"What are the different types of binary trees?","Binary Tree","Medium"
65,"Explain full binary tree.","Binary Tree","Medium"
66,"Explain complete binary tree.","Binary Tree","Medium"
67,"Explain balanced binary tree.","Binary Tree","Medium"
68,"What is a binary search tree (BST)?","Binary Search Tree","Easy"
69,"What are the properties of a binary search tree?","Binary Search Tree","Medium"
70,"Explain insertion operation in a binary search tree.","Binary Search Tree Operations","Medium"
71,"Explain deletion operation in a binary search tree.","Binary Search Tree Operations","Hard"
72,"Explain tree traversal techniques.","Tree Traversal","Medium"
73,"Explain inorder traversal of a binary tree.","Tree Traversal","Medium"
74,"Explain preorder traversal of a binary tree.","Tree Traversal","Medium"
75,"Explain postorder traversal of a binary tree.","Tree Traversal","Medium"
ID,Question,Topic,Difficulty
76,"What is a heap data structure?","Heap","Easy"
77,"Explain the difference between min heap and max heap.","Heap","Medium"
78,"What are the applications of heap data structure?","Heap","Medium"
79,"Explain heapify operation.","Heap Operations","Medium"
80,"What is heap sort algorithm?","Sorting Algorithms","Medium"
81,"Explain the working of heap sort.","Sorting Algorithms","Medium"
82,"What is a graph data structure?","Graphs","Easy"
83,"Explain different types of graphs.","Graphs","Medium"
84,"What is the difference between directed and undirected graphs?","Graphs","Medium"
85,"What is a weighted graph?","Graphs","Easy"
86,"Explain graph representation using adjacency matrix.","Graph Representation","Medium"
87,"Explain graph representation using adjacency list.","Graph Representation","Medium"
88,"What is graph traversal?","Graph Traversal","Easy"
89,"Explain Breadth First Search (BFS) algorithm.","Graph Traversal","Medium"
90,"Explain Depth First Search (DFS) algorithm.","Graph Traversal","Medium"
91,"Difference between BFS and DFS.","Graph Traversal","Medium"
92,"What is a spanning tree?","Graphs","Medium"
93,"Explain minimum spanning tree.","Graphs","Medium"
94,"Explain Kruskal’s algorithm.","Graph Algorithms","Hard"
95,"Explain Prim’s algorithm.","Graph Algorithms","Hard"
96,"What is a hash table?","Hashing","Easy"
97,"Explain hash functions.","Hashing","Medium"
98,"What is collision in hashing?","Hashing","Medium"
99,"Explain collision resolution techniques in hashing.","Hashing","Hard"
100,"What are the applications of data structures in real-world systems?","Data Structures Applications","Easy"
