40,"What is runtime polymorphism?","Polymorphism","Medium"
41,"Explain dynamic method dispatch.","Polymorphism","Hard"
42,"What is a constructor in OOP?","Constructors","Easy"
43,"What are the types of constructors?","Constructors","Medium"
44,"What is a default constructor?","Constructors","Easy"
45,"What is a parameterized constructor?","Constructors","Medium"
46,"Difference between constructor and method.","Constructors","Medium"
47,"Can constructors be inherited? Explain.","Constructors","Hard"
48,"Can constructors be overloaded?","Constructors","Medium"
49,"What is the purpose of the 'this' keyword?","OOP Keywords","Medium"
50,"What is the purpose of the 'super' keyword?","OOP Keywords","Medium"
ID,Question,Topic,Difficulty
51,"What is the purpose of the 'static' keyword in OOP?","OOP Keywords","Medium"
52,"What are static variables and static methods?","Static Members","Medium"
53,"Difference between static and non-static members.","Static Members","Medium"
54,"What is the final keyword in OOP?","OOP Keywords","Medium"
55,"Explain final variable, final method, and final class.","OOP Keywords","Hard"
56,"What is object cloning?","Objects","Medium"
57,"What is the difference between shallow copy and deep copy?","Object Copying","Hard"
58,"What is garbage collection in OOP?","Memory Management","Medium"
59,"How does garbage collection work in Java?","Memory Management","Medium"
60,"What is memory allocation for objects?","Memory Management","Medium"
61,"What is the difference between stack memory and heap memory?","Memory Management","Medium"
62,"What is an exception in OOP?","Exception Handling","Easy"
63,"What is exception handling?","Exception Handling","Easy"
64,"Explain try, catch, and finally blocks.","Exception Handling","Medium"
65,"Difference between checked and unchecked exceptions.","Exception Handling","Medium"
66,"What is custom exception handling?","Exception Handling","Hard"
67,"What are packages in OOP languages?","Packages","Easy"
68,"What are namespaces in programming?","Namespaces","Medium"
69,"What is the difference between composition and inheritance?","Object Relationships","Hard"
70,"What is aggregation in OOP?","Object Relationships","Medium"
71,"Difference between aggregation and composition.","Object Relationships","Hard"
72,"What is association in OOP?","Object Relationships","Medium"
73,"Explain the IS-A relationship.","Object Relationships","Medium"
74,"Explain the HAS-A relationship.","Object Relationships","Medium"
75,"What are design principles in OOP?","OOP Design Principles","Medium"
ID,Question,Topic,Difficulty
76,"What are SOLID principles in OOP?","OOP Design Principles","Medium"
77,"Explain the Single Responsibility Principle (SRP).","SOLID Principles","Medium"
78,"Explain the Open/Closed Principle (OCP).","SOLID Principles","Medium"
79,"Explain the Liskov Substitution Principle (LSP).","SOLID Principles","Hard"
80,"Explain the Interface Segregation Principle (ISP).","SOLID Principles","Hard"
81,"Explain the Dependency Inversion Principle (DIP).","SOLID Principles","Hard"
82,"What are design patterns in OOP?","Design Patterns","Medium"
83,"What is the Singleton design pattern?","Design Patterns","Medium"
84,"What is the Factory design pattern?","Design Patterns","Medium"
85,"What is the Observer design pattern?","Design Patterns","Medium"
86,"What is the MVC architecture pattern?","Design Patterns","Medium"
87,"Explain the Model-View-Controller components.","MVC Pattern","Medium"
88,"What is dependency injection in OOP?","OOP Concepts","Hard"
89,"What are anonymous classes?","Classes and Objects","Medium"
90,"What are inner classes?","Classes and Objects","Medium"
91,"What is an immutable class?","Classes and Objects","Medium"
92,"How do you create an immutable object?","Objects","Hard"
93,"What is object serialization?","Object Handling","Medium"
94,"What is deserialization?","Object Handling","Medium"
95,"What is the difference between early binding and late binding?","Polymorphism","Hard"
96,"What is coupling in OOP?","Software Design","Medium"
97,"What is cohesion in OOP?","Software Design","Medium"
98,"Difference between high coupling and low coupling.","Software Design","Medium"
99,"What are real-world applications of OOP?","OOP Applications","Easy"
100,"Explain how OOP concepts are used in software development projects.","OOP Applications","Medium"
