What types of loops are available in Java?,Java provides for while do-while and enhanced for loops.
Question,Answer
What is Object-Oriented Programming (OOP)?,Object-Oriented Programming is a programming paradigm based on classes and objects.
What are the four pillars of OOP?,Encapsulation Inheritance Polymorphism and Abstraction.
What is encapsulation?,Encapsulation is the process of wrapping data and methods into a single unit and restricting direct access.
What is inheritance?,Inheritance allows one class to acquire the properties and methods of another class.
What is polymorphism?,Polymorphism allows the same method to perform different tasks depending on the object.
What is abstraction?,Abstraction hides implementation details and exposes only essential features.
What are the types of inheritance in Java?,Single Multilevel Hierarchical inheritance are supported directly while Multiple inheritance is supported through interfaces.
Why does Java not support multiple inheritance with classes?,To avoid ambiguity and the Diamond Problem.
What is method overloading?,Method overloading means defining multiple methods with the same name but different parameters.
What is method overriding?,Method overriding allows a subclass to provide its own implementation of a superclass method.
What is dynamic method dispatch?,Dynamic method dispatch resolves overridden methods at runtime.
What is an interface?,An interface is a blueprint that contains abstract methods and constants.
Can an interface have method implementations?,Yes using default and static methods introduced in Java 8.
What is an abstract class?,An abstract class cannot be instantiated and may contain both abstract and concrete methods.
Difference between abstract class and interface?,An abstract class can have constructors and instance variables while an interface primarily defines a contract for implementation.
Can an abstract class have constructors?,Yes abstract classes can have constructors.
What is the super keyword?,The super keyword refers to the parent class object and members.
What is the difference between this and super?,this refers to the current object while super refers to the parent class.
Can constructors be inherited?,No constructors are not inherited.
What is a package in Java?,A package is a namespace used to organize related classes and interfaces.
Why are packages used?,Packages help organize code avoid naming conflicts and provide access protection.
What are access modifiers in Java?,The access modifiers are public protected default and private.
What is the difference between public private protected and default?,Public is accessible everywhere private only within the class protected within the package and subclasses default only within the package.
What is exception handling?,Exception handling is the mechanism for handling runtime errors using try catch finally throw and throws.
What is the difference between checked and unchecked exceptions?,Checked exceptions are checked at compile time while unchecked exceptions occur at runtime.
Question,Answer
What is the Java Collections Framework?,The Java Collections Framework is a set of classes and interfaces used to store and manipulate groups of objects.
What is the difference between List Set and Map?,List stores ordered duplicate elements Set stores unique elements and Map stores key-value pairs.
What is an ArrayList?,ArrayList is a dynamic array implementation of the List interface.
What is a LinkedList?,LinkedList is a doubly linked list implementation of the List interface.
What is the difference between ArrayList and LinkedList?,ArrayList provides faster random access while LinkedList provides faster insertion and deletion.
What is a HashSet?,HashSet is a collection that stores unique elements without maintaining insertion order.
What is a TreeSet?,TreeSet stores unique elements in sorted order.
What is a HashMap?,HashMap stores key-value pairs and allows one null key and multiple null values.
What is the difference between HashMap and TreeMap?,HashMap stores data in no particular order while TreeMap stores keys in sorted order.
What is the difference between HashMap and Hashtable?,HashMap is not synchronized and allows null values while Hashtable is synchronized and does not allow null keys or values.
What is multithreading?,Multithreading is the execution of multiple threads simultaneously within a program.
What is a thread?,A thread is the smallest unit of execution within a process.
How do you create a thread in Java?,A thread can be created by extending the Thread class or implementing the Runnable interface.
What is the difference between Thread and Runnable?,Thread is a class while Runnable is an interface that separates task definition from thread execution.
What is synchronization?,Synchronization controls access to shared resources to prevent data inconsistency.
What is a deadlock?,Deadlock occurs when two or more threads wait indefinitely for each other to release resources.
What is file handling in Java?,File handling involves creating reading writing and modifying files using Java I/O classes.
What is the File class?,The File class represents file and directory pathnames.
What are FileInputStream and FileOutputStream?,They are byte stream classes used for reading from and writing to files.
What is serialization?,Serialization is the process of converting an object into a byte stream for storage or transmission.
What is JDBC?,JDBC is the Java Database Connectivity API used to connect Java applications with databases.
What are the steps to connect to a database using JDBC?,Load the driver establish a connection create a statement execute queries process results and close the connection.
What are lambda expressions in Java?,Lambda expressions provide a concise way to implement functional interfaces introduced in Java 8.
What are Stream APIs?,The Stream API processes collections of data using functional-style operations such as filter map and reduce.
What are generics in Java?,Generics enable type-safe programming by allowing classes interfaces and methods to operate on different data types without explicit casting.
