Question,Option_A,Option_B,Option_C,Option_D,Answer,Explanation
How many arrangements are possible for the word BANANA?,30,60,120,180,60,BANANA has 6 letters. A repeated 3 times and N repeated 2 times. Arrangements = 6!/(3!×2!)=60.
Find the value of 20C2.,170,180,190,200,190,20C2 = 20×19/2 = 190.
Find the value of 20P2.,360,380,400,420,380,20P2 = 20×19 = 380.
Question,Option_A,Option_B,Option_C,Option_D,Answer,Explanation
Find the value of 21C2.,200,210,220,231,210,21C2 = 21×20/2 = 210.
Find the value of 21P2.,400,420,440,462,420,21P2 = 21×20 = 420.
How many ways can 3 students be selected from 15 students?,400,455,500,550,455,15C3 = 15×14×13/(3×2×1)=455.
How many arrangements are possible for the word TABLE?,60,100,120,150,120,TABLE has 5 different letters. Arrangements = 5! = 120.
Find the value of 22C2.,210,220,231,242,231,22C2 = 22×21/2 = 231.
Find the value of 22P2.,440,462,484,506,462,22P2 = 22×21 = 462.
How many ways can 5 players be selected from 12 players?,540,792,900,1024,792,12C5 = 792.
How many 4-digit numbers can be formed using digits 1,2,3,4,5 without repetition?,100,120,240,625,120,5P4 = 5×4×3×2 = 120.
Find the value of 23C2.,240,253,276,300,253,23C2 = 23×22/2 = 253.
Find the value of 23P2.,506,520,529,550,506,23P2 = 23×22 = 506.
How many ways can 6 people sit in a row?,360,720,840,1000,720,Arrangements = 6! = 720.
How many ways can 8 people sit in a row?,40320,5040,720,840,40320,Arrangements = 8! = 40320.
How many ways can 4 objects be selected from 10 objects?,180,200,210,240,210,10C4 = 210.
Find the value of 24C2.,276,288,300,312,276,24C2 = 24×23/2 = 276.
Find the value of 24P2.,552,576,600,624,552,24P2 = 24×23 = 552.
How many ways can 3 books be selected from 12 books?,200,220,240,260,220,12C3 = 220.
How many arrangements are possible for the word ORANGE?,360,720,1000,1200,720,ORANGE has 6 different letters. Arrangements = 6! = 720.
How many ways can 7 students be selected from 10 students?,100,120,150,200,120,10C7 = 10C3 = 120.
Find the value of 25C2.,275,300,325,350,300,25C2 = 25×24/2 = 300.
Find the value of 25P2.,550,600,625,650,600,25P2 = 25×24 = 600.
How many ways can 2 captains be selected from 15 players?,90,100,105,120,105,15C2 = 15×14/2 = 105.
How many arrangements are possible for the word SUCCESS?,420,840,1260,2520,420,SUCCESS has 7 letters. S repeated 3 times and C repeated 2 times. Arrangements = 7!/(3!×2!)=420.
How many ways can a committee of 4 be selected from 15 people?,1200,1365,1500,1600,1365,15C4 = 1365.
Find the value of 30C2.,400,420,435,450,435,30C2 = 30×29/2 = 435.
Find the value of 30P2.,840,870,900,930,870,30P2 = 30×29 = 870.
