ID,Question,Option_A,Option_B,Option_C,Option_D,Answer,Explanation,Difficulty,Topic
76,"Find the simple interest on $20000 at 7% per annum for 6 years.","$7000","$8000","$8400","$9000","$8400","SI = (20000×7×6)/100 = $8400.","Medium","Simple Interest"
77,"Find the simple interest on $35000 at 9% per annum for 4 years.","$10000","$12000","$12600","$14000","$12600","SI = (35000×9×4)/100 = $12600.","Medium","Simple Interest"
78,"Find the simple interest on $45000 at 10% per annum for 3 years.","$12000","$13500","$14000","$15000","$13500","SI = (45000×10×3)/100 = $13500.","Medium","Simple Interest"
79,"Find the simple interest on $60000 at 8% per annum for 5 years.","$20000","$22000","$24000","$26000","$24000","SI = (60000×8×5)/100 = $24000.","Medium","Simple Interest"
80,"Find the principal if SI is $4200, Rate is 7%, Time is 6 years.","$8000","$9000","$10000","$12000","$10000","P = 4200×100/(7×6) = $10000.","Hard","Simple Interest"
81,"Find the principal if SI is $5400, Rate is 9%, Time is 4 years.","$12000","$15000","$18000","$20000","$15000","P = 5400×100/(9×4) = $15000.","Hard","Simple Interest"
82,"Find the principal if SI is $7200, Rate is 12%, Time is 5 years.","$10000","$12000","$14000","$16000","$12000","P = 7200×100/(12×5) = $12000.","Hard","Simple Interest"
83,"Find the rate if SI is $2400, Principal is $12000, Time is 4 years.","4%","5%","6%","8%","5%","R = 2400×100/(12000×4)=5%.","Medium","Simple Interest"
84,"Find the rate if SI is $3600, Principal is $15000, Time is 3 years.","6%","7%","8%","10%","8%","R = 3600×100/(15000×3)=8%.","Medium","Simple Interest"
85,"Find the time if SI is $3000, Principal is $10000, Rate is 10%.","2 years","3 years","4 years","5 years","3 years","T = 3000×100/(10000×10)=3 years.","Medium","Simple Interest"
86,"Find the time if SI is $4800, Principal is $16000, Rate is 8%.","2 years","3 years","4 years","5 years","3 years","T = 4800×100/(16000×8)=3 years.","Medium","Simple Interest"
87,"Find the amount on $18000 at 10% simple interest for 4 years.","$24000","$25000","$26000","$27000","$25200","SI = 7200. Amount = 18000+7200 = $25200.","Medium","Simple Interest"
88,"Find the amount on $25000 at 12% simple interest for 3 years.","$33000","$34000","$35000","$36000","$34000","SI = 9000. Amount = 25000+9000 = $34000.","Medium","Simple Interest"
89,"Find the amount on $40000 at 5% simple interest for 5 years.","$48000","$50000","$52000","$55000","$50000","SI = 10000. Amount = 40000+10000 = $50000.","Easy","Simple Interest"
90,"Find the amount on $55000 at 8% simple interest for 2 years.","$60000","$63800","$65000","$67000","$63800","SI = 8800. Amount = 55000+8800 = $63800.","Medium","Simple Interest"
91,"A sum doubles in 10 years at simple interest. Find rate.","5%","8%","10%","12%","10%","If amount doubles, SI = Principal. P×R×10/100=P, so R=10%.","Hard","Simple Interest"
92,"A sum becomes three times in 20 years at simple interest. Find rate.","5%","8%","10%","12%","10%","Amount = 3P, SI = 2P. R = 200/(20)=10%.","Hard","Simple Interest"
93,"A sum becomes four times in 15 years at simple interest. Find rate.","15%","20%","25%","30%","20%","SI = 3P. R = 300/15 = 20%.","Hard","Simple Interest"
94,"At what rate will $8000 earn $2400 in 5 years?","5%","6%","8%","10%","6%","R = 2400×100/(8000×5)=6%.","Medium","Simple Interest"
95,"At what rate will $15000 earn $4500 in 6 years?","4%","5%","6%","8%","5%","R = 4500×100/(15000×6)=5%.","Medium","Simple Interest"
96,"In how many years will $5000 earn $2000 at 8% simple interest?","3 years","4 years","5 years","6 years","5 years","T = 2000×100/(5000×8)=5 years.","Medium","Simple Interest"
97,"In how many years will $12000 earn $3600 at 10% simple interest?","2 years","3 years","4 years","5 years","3 years","T = 3600×100/(12000×10)=3 years.","Medium","Simple Interest"
98,"Find SI on $75000 at 6% per annum for 4 years.","$15000","$16000","$18000","$20000","$18000","SI = (75000×6×4)/100 = $18000.","Medium","Simple Interest"
99,"Find SI on $90000 at 12% per annum for 2 years.","$18000","$20000","$21600","$24000","$21600","SI = (90000×12×2)/100 = $21600.","Medium","Simple Interest"
100,"Find the amount on $50000 at 10% simple interest for 3 years.","$60000","$62000","$65000","$70000","$65000","SI = 15000. Amount = 50000+15000 = $65000.","Easy","Simple Interest"
