Question,Option_A,Option_B,Option_C,Option_D,Answer,Explanation
A coin is tossed 4 times. Probability of getting all tails?,1/8,1/16,1/4,1/2,1/16,"Total outcomes = 2⁴ = 16. Only TTTT is favorable"
A die is thrown. Probability of getting a number between 2 and 5?,1/2,2/3,1/3,3/4,1/2,"Numbers between 2 and 5 are 2,3,4,5. Probability = 4/6 = 2/3"
A bag contains 4 red and 8 green balls. Probability of selecting red ball?,1/3,2/3,1/4,1/2,1/3,"Red balls = 4 and total balls = 12. Probability = 4/12 = 1/3"
A standard deck has 52 cards. Probability of getting a face card?,3/13,1/13,4/13,1/4,3/13,"Face cards are J,Q,K. Total face cards = 12. Probability = 12/52 = 3/13"
Two dice are thrown. Probability of getting a doublet?,1/6,1/12,1/3,1/18,1/6,"Doublets are (1,1),(2,2),(3,3),(4,4),(5,5),(6,6). Probability = 6/36 = 1/6"
A number is selected from 1 to 30. Probability of selecting a prime number?,1/3,2/5,1/4,1/2,1/3,"Prime numbers between 1 and 30 are 10. Probability = 10/30 = 1/3"
If the probability of winning a game is 0.7, probability of losing is?,0.3,0.7,1.7,0.5,0.3,"Probability of losing = 1 - Probability of winning = 0.3"
A bag has 20 balls. If probability of selecting a red ball is 1/4, number of red balls is?,5,10,15,20,5,"Number of red balls = 1/4 × 20 = 5"
A card is drawn from a deck. Probability of getting a black ace?,1/26,1/52,1/13,2/13,1/26,"There are 2 black aces among 52 cards. Probability = 2/52 = 1/26"
A die is rolled. Probability of getting a number less than or equal to 4?,2/3,1/3,1/2,5/6,2/3,"Numbers are 1,2,3,4. Probability = 4/6 = 2/3"
Three coins are tossed. Probability of getting exactly one head?,1/8,3/8,1/2,1/4,3/8,"Possible outcomes with one head are HTT,THT,TTH. Probability = 3/8"
A bag contains 5 red and 15 white balls. Probability of not selecting white ball?,1/4,3/4,1/5,2/5,1/4,"Not white means red. Probability = 5/20 = 1/4"
A number is chosen randomly from 1 to 40. Probability of selecting a multiple of 8?,1/8,1/5,1/4,1/10,1/5,"Multiples of 8 are 5 numbers. Probability = 5/40 = 1/8"
A class has 20 boys and 30 girls. Probability of selecting a boy?,2/5,3/5,1/2,1/3,2/5,"Boys = 20 and total students = 50. Probability = 20/50 = 2/5"
A box contains 12 red balls and 8 blue balls. If one ball is selected randomly, probability of getting red?,3/5,2/5,1/2,4/5,3/5,"Red balls = 12 and total balls = 20. Probability = 12/20 = 3/5"
A coin is tossed and a die is rolled. Probability of getting Head and an even number?,1/6,1/4,1/3,1/2,1/4,"Probability of Head = 1/2 and even number on die = 3/6. Total probability = 1/2 × 1/2 = 1/4"
ID,Question,Option_A,Option_B,Option_C,Option_D,Answer,Explanation,Difficulty
51,"A bag contains 5 red and 7 blue balls. One ball is selected randomly. What is the probability of selecting a red ball?","5/12","7/12","1/2","5/7","5/12","Probability = Favorable outcomes / Total outcomes = 5/(5+7)=5/12","Easy"
52,"A die is rolled once. What is the probability of getting a number greater than 4?","1/6","1/3","1/2","2/3","1/3","Numbers greater than 4 are 5 and 6. Probability=2/6=1/3","Easy"
53,"Two coins are tossed. What is the probability of getting exactly one head?","1/4","1/2","3/4","1","1/2","Possible outcomes HH,HT,TH,TT. Exactly one head: HT,TH. Probability=2/4=1/2","Easy"
54,"A card is drawn from a standard deck of 52 cards. What is the probability of getting a king?","1/13","4/52","1/52","4/13","1/13","There are 4 kings in 52 cards. Probability=4/52=1/13","Easy"
55,"A number is selected randomly from 1 to 20. What is the probability that it is divisible by 5?","1/5","1/4","1/10","2/5","1/5","Numbers divisible by 5 are 5,10,15,20. Probability=4/20=1/5","Easy"
56,"Three coins are tossed together. What is the probability of getting all heads?","1/2","1/4","1/8","3/8","1/8","Total outcomes=2³=8. Only HHH is favorable. Probability=1/8","Medium"
57,"A box contains 3 green, 4 red and 5 yellow balls. What is the probability of selecting a yellow ball?","5/12","4/12","3/12","1/2","5/12","Total balls=12. Yellow balls=5. Probability=5/12","Easy"
58,"Two dice are thrown. What is the probability that the sum is 7?","1/6","1/12","5/36","1/9","1/6","Six favorable pairs: (1,6),(2,5),(3,4),(4,3),(5,2),(6,1). Probability=6/36=1/6","Medium"
59,"A bag contains 8 white and 2 black balls. One ball is drawn. Probability of getting a black ball?","1/5","1/10","2/5","4/5","1/5","Probability=Black balls/Total balls=2/10=1/5","Easy"
60,"A student answers a multiple choice question with 4 options by guessing. Probability of correct answer is?","1/2","1/3","1/4","1/5","1/4","Only one correct option among four. Probability=1/4","Easy"
