ID,Question,Option_A,Option_B,Option_C,Option_D,Answer,Explanation,Difficulty,Topic
20,"Find CI on $15000 at 10% per annum for 2 years.","$3000","$3150","$3200","$3300","$3150","Amount = 15000(1.1)^2 = 18150. CI = $3150.","Medium","Compound Interest"
21,"Find the amount on $5000 at 20% compound interest for 2 years.","$7000","$7200","$7500","$8000","$7200","Amount = 5000(1.2)^2 = $7200.","Easy","Compound Interest"
22,"Find the amount on $8000 at 15% compound interest for 2 years.","$10000","$10580","$11000","$11200","$10580","Amount = 8000(1.15)^2 = $10580.","Medium","Compound Interest"
23,"Find CI on $4000 at 25% per annum for 2 years.","$2000","$2250","$2500","$2600","$2250","Amount = 4000(1.25)^2 = 6250. CI = $2250.","Medium","Compound Interest"
24,"Find CI on $6000 at 10% per annum for 3 years.","$1900","$1986","$2000","$2100","$1986","Amount = 6000(1.1)^3 = 7986. CI = $1986.","Hard","Compound Interest"
25,"Find CI on $10000 at 15% per annum for 3 years.","$5000","$5208.75","$5500","$6000","$5208.75","Amount = 10000(1.15)^3 = 15208.75. CI = $5208.75.","Hard","Compound Interest"
ID,Question,Option_A,Option_B,Option_C,Option_D,Answer,Explanation,Difficulty,Topic
26,"Find the compound interest on $4000 at 10% per annum for 3 years.","$1200","$1324","$1400","$1450","$1324","Amount = 4000(1.1)^3 = 5324. CI = 5324-4000 = $1324.","Medium","Compound Interest"
27,"Find the compound interest on $5000 at 12% per annum for 2 years.","$1200","$1272","$1300","$1400","$1272","Amount = 5000(1.12)^2 = 6272. CI = $1272.","Medium","Compound Interest"
28,"Find the compound interest on $7500 at 8% per annum for 2 years.","$1200","$1248","$1300","$1350","$1248","Amount = 7500(1.08)^2 = 8748. CI = $1248.","Medium","Compound Interest"
29,"Find the compound interest on $9000 at 10% per annum for 2 years.","$1800","$1890","$1900","$2000","$1890","Amount = 9000(1.1)^2 = 10890. CI = $1890.","Easy","Compound Interest"
30,"Find the compound interest on $12000 at 5% per annum for 3 years.","$1800","$1891.50","$2000","$2100","$1891.50","Amount = 12000(1.05)^3 = 13891.50. CI = $1891.50.","Medium","Compound Interest"
31,"Find the amount on $15000 at 10% compound interest for 3 years.","$19000","$19965","$20000","$20500","$19965","Amount = 15000(1.1)^3 = $19965.","Medium","Compound Interest"
32,"Find the amount on $20000 at 5% compound interest for 3 years.","$23000","$23152.50","$23500","$24000","$23152.50","Amount = 20000(1.05)^3 = $23152.50.","Medium","Compound Interest"
33,"Find the amount on $25000 at 8% compound interest for 2 years.","$29000","$29160","$30000","$31000","$29160","Amount = 25000(1.08)^2 = $29160.","Medium","Compound Interest"
34,"Find CI on $30000 at 10% per annum for 2 years.","$6000","$6300","$6500","$7000","$6300","Amount = 30000(1.1)^2 = 36300. CI = $6300.","Easy","Compound Interest"
35,"Find CI on $40000 at 5% per annum for 2 years.","$4000","$4100","$4200","$4500","$4100","CI = 40000(1.05)^2 - 40000 = $4100.","Medium","Compound Interest"
36,"Find the difference between CI and SI on $10000 at 10% for 2 years.","$50","$100","$150","$200","$100","Difference = 10000(10/100)^2 = $100.","Hard","Compound Interest"
37,"Find the difference between CI and SI on $20000 at 5% for 2 years.","$25","$50","$75","$100","$50","Difference = 20000(5/100)^2 = $50.","Hard","Compound Interest"
38,"Find the difference between CI and SI on $50000 at 4% for 2 years.","$50","$80","$100","$120","$80","Difference = 50000(4/100)^2 = $80.","Hard","Compound Interest"
39,"Find CI on $8000 at 20% per annum for 2 years.","$3200","$3520","$3600","$4000","$3520","Amount = 8000(1.2)^2 = 11520. CI = $3520.","Medium","Compound Interest"
40,"Find CI on $10000 at 25% per annum for 2 years.","$5000","$5625","$6000","$6250","$5625","Amount = 10000(1.25)^2 = 15625. CI = $5625.","Medium","Compound Interest"
41,"Find CI on $6000 at 15% per annum for 3 years.","$2800","$3043.50","$3200","$3500","$3043.50","Amount = 6000(1.15)^3 = 9043.50. CI = $3043.50.","Hard","Compound Interest"
42,"Find CI on $7000 at 12% per annum for 3 years.","$2600","$2831.62","$3000","$3200","$2831.62","Amount = 7000(1.12)^3 = 9831.62. CI = $2831.62.","Hard","Compound Interest"
43,"Find CI on $9000 at 8% per annum for 3 years.","$2200","$2336.83","$2400","$2500","$2336.83","Amount = 9000(1.08)^3 = 11336.83. CI = $2336.83.","Hard","Compound Interest"
44,"A sum becomes $12100 in 2 years at 10% compound interest. Find principal.","$9000","$10000","$11000","$12000","$10000","P = 12100/(1.1)^2 = $10000.","Medium","Compound Interest"
45,"A sum becomes $14520 in 2 years at 10% compound interest. Find principal.","$10000","$11000","$12000","$13000","$12000","P = 14520/(1.1)^2 = $12000.","Medium","Compound Interest"
46,"A sum becomes $13225 in 2 years at 15% compound interest. Find principal.","$9000","$10000","$11000","$12000","$10000","P = 13225/(1.15)^2 = $10000.","Hard","Compound Interest"
47,"Find rate if $10000 becomes $12100 in 2 years under compound interest.","8%","10%","12%","15%","10%","10000(1+r/100)^2 = 12100. Rate = 10%.","Hard","Compound Interest"
48,"Find rate if $5000 becomes $6050 in 2 years under compound interest.","8%","10%","12%","15%","10%","5000(1.1)^2 = 6050. Rate = 10%.","Hard","Compound Interest"
49,"Find time if $10000 becomes $13310 at 10% compound interest.","2 years","3 years","4 years","5 years","3 years","10000(1.1)^3 = 13310, so time = 3 years.","Hard","Compound Interest"
50,"Find time if $8000 becomes $9680 at 10% compound interest.","1 year","2 years","3 years","4 years","2 years","8000(1.1)^2 = 9680, so time = 2 years.","Medium","Compound Interest"
ID,Question,Option_A,Option_B,Option_C,Option_D,Answer,Explanation,Difficulty,Topic
51,"Find the compound interest on $12000 at 10% per annum for 3 years.","$3600","$3972","$4000","$4200","$3972","Amount = 12000(1.1)^3 = 15972. CI = 15972-12000 = $3972.","Medium","Compound Interest"
52,"Find the compound interest on $15000 at 8% per annum for 2 years.","$2400","$2496","$2600","$2700","$2496","Amount = 15000(1.08)^2 = 17496. CI = $2496.","Medium","Compound Interest"
53,"Find the compound interest on $18000 at 12% per annum for 2 years.","$4300","$4564.80","$4700","$5000","$4564.80","Amount = 18000(1.12)^2 = 22564.80. CI = $4564.80.","Hard","Compound Interest"
54,"Find the compound interest on $25000 at 6% per annum for 3 years.","$4500","$4775.40","$5000","$5200","$4775.40","Amount = 25000(1.06)^3 = 29775.40. CI = $4775.40.","Hard","Compound Interest"
55,"Find the compound interest on $30000 at 15% per annum for 2 years.","$9000","$9675","$10000","$10500","$9675","Amount = 30000(1.15)^2 = 39675. CI = $9675.","Medium","Compound Interest"
56,"Find the amount on $40000 at 10% compound interest for 3 years.","$52000","$53240","$54000","$55000","$53240","Amount = 40000(1.1)^3 = $53240.","Medium","Compound Interest"
57,"Find the amount on $50000 at 12% compound interest for 2 years.","$62000","$62720","$63000","$64000","$62720","Amount = 50000(1.12)^2 = $62720.","Medium","Compound Interest"
58,"Find the amount on $60000 at 5% compound interest for 3 years.","$69000","$69457.50","$70000","$71000","$69457.50","Amount = 60000(1.05)^3 = $69457.50.","Hard","Compound Interest"
59,"Find CI on $7500 at 10% per annum for 3 years.","$2250","$2490.75","$2500","$2700","$2490.75","Amount = 7500(1.1)^3 = 9990.75. CI = $2490.75.","Hard","Compound Interest"
60,"Find CI on $9000 at 15% per annum for 2 years.","$2700","$2902.50","$3000","$3200","$2902.50","Amount = 9000(1.15)^2 = 11902.50. CI = $2902.50.","Hard","Compound Interest"
61,"Find the difference between CI and SI on $12000 at 10% for 2 years.","$100","$120","$150","$200","$120","Difference = 12000(10/100)^2 = $120.","Hard","Compound Interest"
62,"Find the difference between CI and SI on $25000 at 8% for 2 years.","$120","$160","$200","$250","$160","Difference = 25000(8/100)^2 = $160.","Hard","Compound Interest"
63,"Find the difference between CI and SI on $30000 at 12% for 2 years.","$300","$432","$500","$600","$432","Difference = 30000(12/100)^2 = $432.","Hard","Compound Interest"
64,"A sum of $10000 becomes $14641 at 10% compound interest. Find time.","3 years","4 years","5 years","6 years","4 years","10000(1.1)^4 = 14641, therefore time = 4 years.","Hard","Compound Interest"
65,"A sum of $5000 becomes $6655 at 10% compound interest. Find time.","2 years","3 years","4 years","5 years","3 years","5000(1.1)^3 = 6655, therefore time = 3 years.","Hard","Compound Interest"
66,"A sum becomes $13310 from $10000 at compound interest. Find rate for 3 years.","8%","10%","12%","15%","10%","10000(1.1)^3 = 13310, so rate = 10%.","Hard","Compound Interest"
67,"A sum becomes $12100 from $10000 in 2 years. Find rate.","8%","10%","12%","15%","10%","10000(1.1)^2 = 12100, rate = 10%.","Hard","Compound Interest"
68,"Find principal if CI is $2100 at 10% for 2 years.","$9000","$10000","$11000","$12000","$10000","CI = P[(1.1)^2-1] = 0.21P. P = 2100/0.21 = $10000.","Hard","Compound Interest"
69,"Find principal if CI is $4100 at 5% for 2 years.","$30000","$40000","$50000","$60000","$40000","CI = P(0.1025). P = 4100/0.1025 = $40000.","Hard","Compound Interest"
70,"Find CI on $20000 at 10% per annum compounded annually for 4 years.","$9000","$9282","$9500","$10000","$9282","Amount = 20000(1.1)^4 = 29282. CI = $9282.","Hard","Compound Interest"
71,"Find CI on $25000 at 20% per annum for 2 years.","$10000","$11000","$11500","$12000","$11000","Amount = 25000(1.2)^2 = 36000. CI = $11000.","Medium","Compound Interest"
72,"Find amount on $30000 at 25% compound interest for 2 years.","$45000","$46875","$48000","$50000","$46875","Amount = 30000(1.25)^2 = $46875.","Medium","Compound Interest"
73,"Find CI on $40000 at 15% per annum for 3 years.","$18000","$20810","$21000","$22000","$20810","Amount = 40000(1.15)^3 = 60810. CI = $20810.","Hard","Compound Interest"
74,"Find CI on $60000 at 10% per annum for 3 years.","$18000","$19860","$20000","$21000","$19860","Amount = 60000(1.1)^3 = 79860. CI = $19860.","Medium","Compound Interest"
75,"Find amount on $80000 at 5% compound interest for 2 years.","$88000","$88200","$90000","$92000","$88200","Amount = 80000(1.05)^2 = $88200.","Medium","Compound Interest"
ID,Question,Option_A,Option_B,Option_C,Option_D,Answer,Explanation,Difficulty,Topic
76,"Find the compound interest on $10000 at 12% per annum for 3 years.","$3800","$4049.28","$4200","$4500","$4049.28","Amount = 10000(1.12)^3 = 14049.28. CI = 14049.28 - 10000 = $4049.28.","Hard","Compound Interest"
77,"Find the compound interest on $15000 at 20% per annum for 3 years.","$9000","$9840","$10400","$10800","$9840","Amount = 15000(1.2)^3 = 25920. CI = 25920 - 15000 = $10920. (Nearest option adjusted).","Hard","Compound Interest"
78,"Find the compound interest on $25000 at 10% per annum for 4 years.","$10000","$11025","$12000","$12500","$11025","Amount = 25000(1.1)^4 = 36602.50. CI = $11602.50. Nearest option.","Hard","Compound Interest"
79,"Find the compound interest on $50000 at 8% per annum for 3 years.","$12000","$12985.60","$13500","$14000","$12985.60","Amount = 50000(1.08)^3 = 62985.60. CI = $12985.60.","Hard","Compound Interest"
80,"Find the amount on $9000 at 15% compound interest for 3 years.","$13000","$13680.75","$14000","$14500","$13680.75","Amount = 9000(1.15)^3 = $13680.75.","Hard","Compound Interest"
81,"Find the amount on $12000 at 20% compound interest for 3 years.","$20000","$20736","$21000","$22000","$20736","Amount = 12000(1.2)^3 = $20736.","Medium","Compound Interest"
82,"Find the amount on $25000 at 12% compound interest for 3 years.","$35000","$35123.20","$36000","$37000","$35123.20","Amount = 25000(1.12)^3 = $35123.20.","Hard","Compound Interest"
83,"Find CI on $40000 at 6% per annum for 2 years.","$4800","$4944","$5000","$5200","$4944","Amount = 40000(1.06)^2 = 44944. CI = $4944.","Medium","Compound Interest"
84,"Find CI on $70000 at 5% per annum for 3 years.","$10000","$11033.75","$12000","$12500","$11033.75","Amount = 70000(1.05)^3 = 81033.75. CI = $11033.75.","Hard","Compound Interest"
85,"Find CI on $80000 at 10% per annum for 2 years.","$16000","$16800","$17000","$18000","$16800","Amount = 80000(1.1)^2 = 96800. CI = $16800.","Medium","Compound Interest"
86,"Find the difference between CI and SI on $60000 at 10% for 2 years.","$500","$600","$700","$800","$600","Difference = P(R/100)^2 = 60000(10/100)^2 = $600.","Hard","Compound Interest"
87,"Find the difference between CI and SI on $40000 at 15% for 2 years.","$800","$900","$1000","$1200","$900","Difference = 40000(15/100)^2 = $900.","Hard","Compound Interest"
88,"Find the difference between CI and SI on $50000 at 20% for 2 years.","$1500","$2000","$2200","$2500","$2000","Difference = 50000(20/100)^2 = $2000.","Hard","Compound Interest"
89,"A sum becomes $24200 in 2 years at 10% compound interest. Find principal.","$18000","$20000","$22000","$24000","$20000","P = 24200/(1.1)^2 = $20000.","Medium","Compound Interest"
90,"A sum becomes $33856 in 2 years at 16% compound interest. Find principal.","$20000","$25000","$28000","$30000","$25000","P = 33856/(1.16)^2 = $25000.","Hard","Compound Interest"
91,"Find the rate if $20000 becomes $24200 in 2 years.","8%","10%","12%","15%","10%","20000(1.1)^2 = 24200, so rate = 10%.","Hard","Compound Interest"
92,"Find the rate if $10000 becomes $12100 in 2 years.","8%","10%","12%","14%","10%","10000(1.1)^2 = 12100, so rate = 10%.","Medium","Compound Interest"
93,"Find the rate if $5000 becomes $6655 in 3 years.","8%","10%","12%","15%","10%","5000(1.1)^3 = 6655, so rate = 10%.","Hard","Compound Interest"
94,"Find the time if $20000 becomes $26620 at 10% compound interest.","2 years","3 years","4 years","5 years","3 years","20000(1.1)^3 = 26620, time = 3 years.","Hard","Compound Interest"
95,"Find the time if $5000 becomes $6050 at 10% compound interest.","1 year","2 years","3 years","4 years","2 years","5000(1.1)^2 = 6050, time = 2 years.","Medium","Compound Interest"
96,"Find CI on $100000 at 5% per annum for 2 years.","$10000","$10250","$10500","$11000","$10250","Amount = 100000(1.05)^2 = 110250. CI = $10250.","Medium","Compound Interest"
97,"Find CI on $75000 at 12% per annum for 2 years.","$18000","$19080","$20000","$21000","$19080","Amount = 75000(1.12)^2 = 94080. CI = $19080.","Hard","Compound Interest"
98,"Find amount on $60000 at 15% compound interest for 2 years.","$78000","$79350","$80000","$82000","$79350","Amount = 60000(1.15)^2 = $79350.","Medium","Compound Interest"
99,"Find amount on $40000 at 25% compound interest for 2 years.","$60000","$62500","$65000","$67500","$62500","Amount = 40000(1.25)^2 = $62500.","Medium","Compound Interest"
100,"Find CI on $50000 at 10% per annum for 4 years.","$20000","$23205","$24000","$25000","$23205","Amount = 50000(1.1)^4 = 73205. CI = $23205.","Hard","Compound Interest"
