ID,Question,Option_A,Option_B,Option_C,Option_D,Answer,Explanation,Difficulty,Topic
21,"Find the HCF of 81 and 108.","9","18","27","36","27","27 is the greatest common factor.","Medium","LCM HCF"
22,"Find the LCM of 12 and 18.","24","36","48","54","36","LCM of 12 and 18 is 36.","Easy","LCM HCF"
23,"Find the HCF of 56 and 98.","7","14","21","28","14","14 is the highest common factor.","Medium","LCM HCF"
24,"Find the LCM of 7 and 9.","21","36","63","72","63","LCM of 7 and 9 is 63.","Medium","LCM HCF"
25,"Find the HCF of 90 and 120.","10","20","30","40","30","30 is the greatest common factor.","Easy","LCM HCF"
ID,Question,Option_A,Option_B,Option_C,Option_D,Answer,Explanation,Difficulty,Topic
26,"Find the HCF of 48 and 72.","12","18","24","36","24","Prime factors of 48 and 72 have common highest product 24.","Medium","LCM HCF"
27,"Find the LCM of 20 and 30.","40","50","60","90","60","LCM of 20 and 30 is 60.","Easy","LCM HCF"
28,"Find the HCF of 54 and 90.","9","18","27","36","18","18 is the greatest number dividing both 54 and 90.","Medium","LCM HCF"
29,"Find the LCM of 24 and 36.","48","72","96","108","72","LCM of 24 and 36 is 72.","Medium","LCM HCF"
30,"Find the HCF of 75 and 125.","15","25","50","75","25","25 is the highest common factor.","Easy","LCM HCF"
31,"Find the LCM of 25 and 40.","100","150","200","250","200","LCM of 25 and 40 is 200.","Medium","LCM HCF"
32,"Find the HCF of 96 and 144.","24","36","48","72","48","48 is the greatest common divisor.","Medium","LCM HCF"
33,"Find the LCM of 16 and 24.","24","48","72","96","48","LCM of 16 and 24 is 48.","Easy","LCM HCF"
34,"Find the HCF of 63 and 84.","7","14","21","28","21","21 is the highest common factor.","Medium","LCM HCF"
35,"Find the LCM of 21 and 28.","42","56","84","112","84","LCM of 21 and 28 is 84.","Medium","LCM HCF"
36,"Find the HCF of 105 and 140.","15","20","35","45","35","35 divides both numbers and is maximum.","Medium","LCM HCF"
37,"Find the LCM of 35 and 45.","315","630","105","225","315","LCM of 35 and 45 is 315.","Hard","LCM HCF"
38,"Find the HCF of 128 and 192.","32","64","96","128","64","64 is the greatest common factor.","Medium","LCM HCF"
39,"Find the LCM of 32 and 48.","64","96","128","192","96","LCM of 32 and 48 is 96.","Medium","LCM HCF"
40,"Find the HCF of 144 and 216.","36","48","72","108","72","72 is the greatest common factor.","Medium","LCM HCF"
41,"Find the LCM of 45 and 60.","90","120","180","240","180","LCM of 45 and 60 is 180.","Medium","LCM HCF"
42,"Find the HCF of 84 and 126.","21","42","63","84","42","42 divides both numbers exactly.","Medium","LCM HCF"
43,"Find the LCM of 42 and 63.","84","126","168","252","126","LCM of 42 and 63 is 126.","Medium","LCM HCF"
44,"Find the HCF of 150 and 225.","25","50","75","100","75","75 is the greatest common factor.","Medium","LCM HCF"
45,"Find the LCM of 50 and 75.","150","200","250","300","150","LCM of 50 and 75 is 150.","Easy","LCM HCF"
46,"Find the HCF of 121 and 242.","11","22","33","44","121","121 divides both numbers and is the HCF.","Medium","LCM HCF"
47,"Find the LCM of 11 and 22.","22","33","44","55","22","22 is the smallest common multiple.","Easy","LCM HCF"
48,"Find the HCF of 132 and 198.","22","33","44","66","66","66 is the greatest common factor.","Hard","LCM HCF"
49,"Find the LCM of 27 and 36.","54","72","108","144","108","LCM of 27 and 36 is 108.","Medium","LCM HCF"
50,"Find the HCF of 160 and 240.","40","60","80","120","80","80 is the highest common factor.","Medium","LCM HCF"
ID,Question,Option_A,Option_B,Option_C,Option_D,Answer,Explanation,Difficulty,Topic
51,"Find the HCF of 36, 54 and 90.","6","9","18","27","18","Factors common to all three numbers have highest value 18.","Medium","LCM HCF"
52,"Find the LCM of 6, 8 and 12.","24","36","48","72","24","LCM of 6,8,12 is 24.","Medium","LCM HCF"
53,"Find the HCF of 18, 27 and 45.","3","6","9","12","9","9 divides all three numbers and is the highest factor.","Medium","LCM HCF"
54,"Find the LCM of 9, 15 and 18.","45","90","180","270","90","LCM of 9,15,18 is 90.","Medium","LCM HCF"
55,"Find the HCF of 72, 108 and 180.","18","24","36","54","36","36 is the greatest common divisor of all numbers.","Medium","LCM HCF"
56,"Find the LCM of 12, 15 and 20.","40","60","120","240","60","LCM of 12,15,20 is 60.","Medium","LCM HCF"
57,"Find the HCF of 96, 144 and 192.","24","48","72","96","48","48 is the greatest common factor.","Medium","LCM HCF"
58,"Find the LCM of 16, 24 and 40.","120","240","360","480","240","LCM of 16,24,40 is 240.","Hard","LCM HCF"
59,"Two numbers have HCF 5 and LCM 60. If one number is 15, find the other.","10","15","20","25","20","Product of numbers = HCF × LCM. Other number = (5×60)/15 = 20.","Hard","LCM HCF"
60,"Two numbers have HCF 8 and LCM 96. If one number is 24, find the other.","16","32","48","64","32","Other number = (8×96)/24 = 32.","Hard","LCM HCF"
61,"The HCF of two numbers is 12 and their product is 864. Find their LCM.","36","48","72","96","72","LCM = Product/HCF = 864/12 = 72.","Hard","LCM HCF"
62,"The LCM of two numbers is 120 and HCF is 10. If one number is 30, find the other.","20","30","40","50","40","Other number = (10×120)/30 = 40.","Hard","LCM HCF"
63,"Find the HCF of 225 and 300.","25","50","75","100","75","75 is the highest common factor.","Medium","LCM HCF"
64,"Find the LCM of 225 and 300.","450","600","750","900","900","LCM using prime factors is 900.","Hard","LCM HCF"
65,"Find the HCF of 256 and 384.","64","96","128","192","128","128 divides both numbers and is maximum.","Medium","LCM HCF"
66,"Find the LCM of 256 and 384.","512","768","1024","1536","768","LCM of 256 and 384 is 768.","Hard","LCM HCF"
67,"Find the HCF of 360 and 540.","90","120","180","270","180","180 is the greatest common factor.","Medium","LCM HCF"
68,"Find the LCM of 360 and 540.","720","900","1080","1440","1080","LCM of 360 and 540 is 1080.","Hard","LCM HCF"
69,"Find the HCF of 420 and 630.","70","105","140","210","210","210 is the highest common factor.","Medium","LCM HCF"
70,"Find the LCM of 420 and 630.","840","1050","1260","1680","1260","LCM of 420 and 630 is 1260.","Hard","LCM HCF"
71,"Find the HCF of 84, 126 and 210.","14","21","42","63","42","42 is common and highest among all factors.","Medium","LCM HCF"
72,"Find the LCM of 8, 12 and 16.","24","48","96","192","48","LCM of 8,12,16 is 48.","Medium","LCM HCF"
73,"Three bells ring at intervals of 6, 8 and 12 minutes. If they ring together now, after how many minutes will they ring together again?","12","24","36","48","24","Find LCM of 6,8,12 = 24 minutes.","Medium","LCM HCF"
74,"Three lights blink every 10, 15 and 20 seconds. They start together. After how many seconds will they blink together again?","30","40","60","90","60","LCM of 10,15,20 is 60 seconds.","Medium","LCM HCF"
75,"A number leaves remainder 2 when divided by 5 and 7. What is the smallest such number?","12","17","37","42","37","LCM of 5 and 7 is 35; 35+2=37.","Hard","LCM HCF"
ID,Question,Option_A,Option_B,Option_C,Option_D,Answer,Explanation,Difficulty,Topic
76,"Find the HCF of 144, 216 and 288.","36","48","72","96","72","72 is the greatest number dividing all three numbers.","Medium","LCM HCF"
77,"Find the LCM of 18, 24 and 30.","180","240","360","720","360","LCM of 18,24,30 is 360.","Hard","LCM HCF"
78,"Find the HCF of 48, 72 and 120.","12","24","36","48","24","24 is the highest common factor.","Medium","LCM HCF"
79,"Find the LCM of 14, 18 and 21.","126","252","504","630","126","LCM of 14,18,21 is 126.","Hard","LCM HCF"
80,"Find the HCF of 105, 175 and 245.","5","15","35","70","35","35 divides all three numbers and is highest.","Medium","LCM HCF"
81,"Find the LCM of 25, 50 and 75.","150","200","250","300","150","LCM of 25,50,75 is 150.","Medium","LCM HCF"
82,"Two numbers have HCF 6 and LCM 180. If one number is 30, find the other.","24","36","48","60","36","Other number = (6×180)/30 = 36.","Hard","LCM HCF"
83,"Two numbers have HCF 12 and LCM 240. If one number is 48, find the other.","40","50","60","80","60","Other number = (12×240)/48 = 60.","Hard","LCM HCF"
84,"The product of two numbers is 720 and their HCF is 6. Find their LCM.","60","90","120","150","120","LCM = Product/HCF = 720/6 = 120.","Hard","LCM HCF"
85,"The HCF of two numbers is 15 and LCM is 300. If one number is 75, find the other.","40","50","60","80","60","Other number = (15×300)/75 = 60.","Hard","LCM HCF"
86,"Find the greatest number that divides 45, 75 and 105 exactly.","5","10","15","25","15","HCF of 45,75,105 is 15.","Medium","LCM HCF"
87,"Find the smallest number divisible by 12, 18 and 24.","36","48","72","96","72","LCM of 12,18,24 is 72.","Medium","LCM HCF"
88,"Find the greatest number that divides 96, 128 and 160 exactly.","16","24","32","48","32","HCF of 96,128,160 is 32.","Medium","LCM HCF"
89,"Find the smallest number divisible by 15, 20 and 30.","30","60","90","120","60","LCM of 15,20,30 is 60.","Medium","LCM HCF"
90,"Find the HCF of 300 and 450.","50","75","100","150","150","150 is the highest common factor.","Medium","LCM HCF"
91,"Find the LCM of 300 and 450.","600","750","900","1200","900","LCM of 300 and 450 is 900.","Hard","LCM HCF"
92,"Two numbers are in the ratio 3:4 and their HCF is 5. Find the numbers if their LCM is 60.","10,15","15,20","20,25","25,30","15,20","Numbers = 3×5 and 4×5.","Hard","LCM HCF"
93,"The HCF of two numbers is 8 and their product is 1536. Find their LCM.","96","128","192","256","192","LCM = 1536/8 = 192.","Hard","LCM HCF"
94,"Three machines operate every 8, 12 and 16 minutes. If they start together, after how many minutes will they start together again?","24","36","48","96","48","LCM of 8,12,16 is 48.","Medium","LCM HCF"
95,"Three buses arrive every 15, 20 and 30 minutes. They arrive together at 8 AM. When will they arrive together again?","8:30 AM","9:00 AM","9:30 AM","10:00 AM","9:00 AM","LCM is 60 minutes, so after one hour.","Medium","LCM HCF"
96,"Find the HCF of 121, 242 and 363.","11","22","33","44","121","121 divides all three numbers.","Medium","LCM HCF"
97,"Find the LCM of 11, 22 and 33.","66","99","121","132","66","LCM of 11,22,33 is 66.","Medium","LCM HCF"
98,"Find the greatest number that divides 56, 84 and 140 leaving no remainder.","7","14","28","42","28","HCF of numbers is 28.","Medium","LCM HCF"
99,"Find the smallest number which is exactly divisible by 8, 12 and 15.","60","120","240","360","120","LCM of 8,12,15 is 120.","Medium","LCM HCF"
100,"If HCF of two numbers is 4 and LCM is 96, and one number is 16, find the other number.","12","20","24","32","24","Other number = (4×96)/16 = 24.","Hard","LCM HCF"
