ID,Question,Option_A,Option_B,Option_C,Option_D,Answer,Explanation,Difficulty,Topic
48,"Simplify: 20³ ÷ 100.","40","60","80","100","80","20³=8000, 8000÷100=80.","Medium","Simplification"
49,"Find the value of (5+5)².","50","75","100","125","100","10²=100.","Easy","Simplification"
50,"Simplify: 1250 ÷ 25 + 50.","75","90","100","120","100","1250÷25=50, 50+50=100.","Medium","Simplification"
ID,Question,Option_A,Option_B,Option_C,Option_D,Answer,Explanation,Difficulty,Topic
51,"Simplify: 45 + 25 × 3 - 10.","90","100","110","120","110","Multiplication first: 25×3=75, then 45+75-10=110.","Medium","Simplification"
52,"Find the value of 144 ÷ 12 × 5.","40","50","60","70","60","144÷12=12, 12×5=60.","Easy","Simplification"
53,"Simplify: 30² - 20².","400","500","600","800","500","900-400=500.","Medium","Simplification"
54,"Find the value of 75 × 4 ÷ 5.","50","60","70","80","60","75×4=300, 300÷5=60.","Easy","Simplification"
55,"Simplify: 18 + 24 ÷ 6 × 5.","30","38","40","45","38","24÷6=4, 4×5=20, 18+20=38.","Medium","Simplification"
56,"Find the value of 250% of 80.","160","180","200","220","200","250/100×80=200.","Medium","Simplification"
57,"Simplify: 4³ + 6².","90","100","100","120","100","4³=64, 6²=36, total=100.","Medium","Simplification"
58,"Find the value of √400 + √100.","20","25","30","40","30","√400=20 and √100=10, total=30.","Easy","Simplification"
59,"Simplify: 125 × 8 ÷ 10.","80","90","100","120","100","125×8=1000, 1000÷10=100.","Easy","Simplification"
60,"Find the value of 15³ ÷ 225.","10","12","15","20","15","15³=3375, 3375÷225=15.","Hard","Simplification"
61,"Simplify: 60% of 250.","100","120","150","180","150","60/100×250=150.","Easy","Simplification"
62,"Find the value of 35 × 12 - 100.","300","320","330","340","320","35×12=420, 420-100=320.","Medium","Simplification"
63,"Simplify: 800 ÷ 40 + 25.","35","40","45","50","45","800÷40=20, 20+25=45.","Easy","Simplification"
64,"Find the value of (30-10)².","200","300","400","500","400","20²=400.","Easy","Simplification"
65,"Simplify: 90 ÷ 15 + 12 × 2.","25","30","35","40","30","90÷15=6, 12×2=24, total=30.","Medium","Simplification"
66,"Find the value of 11³.","121","1111","1331","1461","1331","11×11×11=1331.","Easy","Simplification"
67,"Simplify: 250 + 250 ÷ 5.","280","300","320","350","300","250÷5=50, 250+50=300.","Easy","Simplification"
68,"Find the value of 40% of 350.","120","130","140","150","140","40/100×350=140.","Easy","Simplification"
69,"Simplify: 16 × 16 - 64.","192","200","256","320","192","256-64=192.","Medium","Simplification"
70,"Find the value of (8+7) × (8-7).","10","15","20","25","15","15×1=15.","Easy","Simplification"
71,"Simplify: 999 ÷ 9.","99","101","111","121","111","999÷9=111.","Easy","Simplification"
72,"Find the value of 5² × 4².","100","200","400","625","400","25×16=400.","Medium","Simplification"
73,"Simplify: 2500 - 50 × 20.","1000","1200","1500","2000","1500","50×20=1000, 2500-1000=1500.","Medium","Simplification"
74,"Find the value of 1/4 of 800.","100","150","200","250","200","800÷4=200.","Easy","Simplification"
75,"Simplify: 48 × 25 ÷ 12.","80","100","120","150","100","48×25=1200, 1200÷12=100.","Medium","Simplification"
ID,Question,Option_A,Option_B,Option_C,Option_D,Answer,Explanation,Difficulty,Topic
76,"Simplify: 25 × 25 + 50.","600","625","650","675","675","25×25=625, 625+50=675.","Easy","Simplification"
77,"Find the value of 360 ÷ 12 × 4.","100","110","120","140","120","360÷12=30, 30×4=120.","Easy","Simplification"
78,"Simplify: 75 + 125 ÷ 5.","90","100","110","120","100","125÷5=25, 75+25=100.","Easy","Simplification"
79,"Find the value of 22² - 12².","300","340","360","400","340","484-144=340.","Medium","Simplification"
80,"Simplify: 45 × 45 ÷ 9.","200","225","250","275","225","45×45=2025, 2025÷9=225.","Medium","Simplification"
81,"Find the value of 125% of 240.","250","280","300","320","300","125/100×240=300.","Medium","Simplification"
82,"Simplify: 18³ ÷ 18².","16","18","20","22","18","18³÷18² = 18^(3-2)=18.","Medium","Simplification"
83,"Find the value of √625.","20","25","30","35","25","25×25=625.","Easy","Simplification"
84,"Simplify: 15 × 15 + 10 × 10.","300","325","350","375","325","225+100=325.","Medium","Simplification"
85,"Find the value of 30% of 900.","250","270","300","350","270","30/100×900=270.","Easy","Simplification"
86,"Simplify: 500 ÷ 25 × 8.","120","140","160","180","160","500÷25=20, 20×8=160.","Easy","Simplification"
87,"Find the value of (25+25)².","2000","2500","3000","3500","2500","50²=2500.","Easy","Simplification"
88,"Simplify: 72 ÷ 8 + 15 × 2.","35","39","40","45","39","72÷8=9, 15×2=30, total=39.","Medium","Simplification"
89,"Find the value of 2⁵ × 3².","256","288","300","320","288","32×9=288.","Medium","Simplification"
90,"Simplify: 1000 - 20².","500","600","700","800","600","20²=400, 1000-400=600.","Easy","Simplification"
91,"Find the value of 64% of 500.","300","320","340","360","320","64/100×500=320.","Easy","Simplification"
92,"Simplify: (45+15) ÷ (5+5).","5","6","8","10","6","60÷10=6.","Medium","Simplification"
93,"Find the value of 7³ - 3³.","280","300","316","343","316","343-27=316.","Medium","Simplification"
94,"Simplify: 1500 ÷ 30 + 75.","100","115","125","150","125","1500÷30=50, 50+75=125.","Easy","Simplification"
95,"Find the value of √900 + √400.","40","45","50","60","50","30+20=50.","Easy","Simplification"
96,"Simplify: 80 × 15 ÷ 20.","40","50","60","70","60","80×15=1200, 1200÷20=60.","Easy","Simplification"
97,"Find the value of 35².","1125","1200","1225","1250","1225","35×35=1225.","Easy","Simplification"
98,"Simplify: 200% of 450.","800","850","900","950","900","200/100×450=900.","Medium","Simplification"
99,"Find the value of (12×12)+(8×8).","200","208","224","240","208","144+64=208.","Medium","Simplification"
100,"Simplify: 10000 ÷ 100 + 250.","300","350","400","450","350","10000÷100=100, 100+250=350.","Easy","Simplification"
