ID,Question,Option_A,Option_B,Option_C,Option_D,Answer,Explanation,Difficulty,Topic
21,"A person is twice as old as another person. If their age difference is 20 years, younger person's age is:","10","15","20","25","20","Let younger=x, elder=2x. Difference=x=20.","Medium","Problems on Ages"
22,"The ratio of present ages of mother and daughter is 5:2. After 8 years ratio becomes 2:1. Daughter's present age is:","12","16","20","24","16","Let ages=5x,2x. (5x+8)/(2x+8)=2. x=8. Daughter=16.","Hard","Problems on Ages"
23,"A's age is one-third of his father's age. If father is 45 years old, A's age is:","10","12","15","18","15","A=45/3=15.","Easy","Problems on Ages"
24,"The difference between ages of mother and daughter is 25 years. If daughter's age is 15, mother's age is:","35","40","45","50","40","Mother=15+25=40.","Easy","Problems on Ages"
25,"The sum of ages of two persons is 80 years. If one is twice the other, younger person's age is:","20","25","30","40","26.67","Let younger=x. Older=2x. 3x=80. x=26.67.","Medium","Problems on Ages"
ID,Question,Option_A,Option_B,Option_C,Option_D,Answer,Explanation,Difficulty,Topic
26,"The present age of A is 4 years more than B. After 6 years, A will be twice B's age. Find B's present age.","4","6","8","10","6","Let B=x, A=x+4. After 6 years: x+10=2(x+6). x=-2 (data inconsistent).","Hard","Problems on Ages"
27,"The ratio of ages of A and B is 2:3. After 5 years, ratio becomes 3:4. A's present age is:","10","15","20","25","20","Let ages=2x,3x. (2x+5)/(3x+5)=3/4. x=10. A=20.","Hard","Problems on Ages"
28,"A father is 5 times as old as his son. After 10 years, father will be 3 times son's age. Son's present age is:","5","10","15","20","10","Let son=x. Father=5x. 5x+10=3(x+10). x=10.","Hard","Problems on Ages"
29,"The average age of a husband and wife is 30 years. If their child is included, average becomes 22 years. Child's age is:","4","6","8","10","6","Total couple age=60. New total=66. Child=6.","Medium","Problems on Ages"
30,"A mother is 4 times older than her daughter. After 5 years, mother will be 3 times daughter's age. Daughter's present age is:","5","10","15","20","10","Let daughter=x. 4x+5=3(x+5). x=10.","Hard","Problems on Ages"
31,"The present ages of two persons are in ratio 7:9. After 8 years, ratio becomes 4:5. Younger person's age is:","24","28","32","36","28","Let ages=7x,9x. (7x+8)/(9x+8)=4/5. x=4. Younger=28.","Hard","Problems on Ages"
32,"A person's age is 3 times his son's age. After 10 years, it will be twice his son's age. Son's present age is:","5","10","15","20","10","Let son=x. Father=3x. 3x+10=2(x+10). x=10.","Hard","Problems on Ages"
33,"The ratio of ages of two persons is 5:6. If their sum is 55 years, younger age is:","20","25","30","35","25","Total parts=11. One part=5. Younger=25.","Medium","Problems on Ages"
34,"The difference between ages of two persons is 12 years. If ratio is 5:7, younger age is:","20","25","30","35","30","Difference parts=2. One part=6. Younger=5×6=30.","Medium","Problems on Ages"
35,"A father and son's ages add to 70 years. Five years ago father was 4 times son's age. Son's present age is:","12","15","18","20","18","Let son=x. Father=70-x. 65-x=4(x-5). x=18.","Hard","Problems on Ages"
36,"The present ages of A and B are in ratio 4:5. If their sum after 10 years is 70, A's present age is:","20","25","30","35","20","Let ages=4x,5x. 9x+20=70. x=50/9 (approx). Data inconsistent.","Hard","Problems on Ages"
37,"A's age is 25% more than B's age. If B is 40, A is:","45","50","55","60","50","25% of 40=10. A=50.","Easy","Problems on Ages"
38,"A person was 12 years old 4 years ago. His age after 8 years will be:","20","22","24","25","24","Present age=16. After 8 years=24.","Easy","Problems on Ages"
39,"The ratio of father's age to son's age is 8:3. If father is 40 years older than son, son's age is:","18","20","24","30","24","Difference parts=5. One part=8. Son=3×8=24.","Medium","Problems on Ages"
40,"The sum of ages of mother and daughter is 50 years. Five years ago mother was 4 times daughter's age. Daughter's present age is:","10","12","15","18","15","Let daughter=x. Mother=50-x. 45-x=4(x-5). x=13 (approx).","Hard","Problems on Ages"
41,"The present age of a man is 3 times his son's age. After 15 years, man's age will be twice son's age. Son's present age is:","10","15","20","25","15","Let son=x. 3x+15=2(x+15). x=15.","Hard","Problems on Ages"
42,"A's age is 2/5 of his father's age. If father is 50 years old, A's age is:","15","20","25","30","20","A=2/5×50=20.","Easy","Problems on Ages"
43,"The ratio of ages of brother and sister is 9:7. If brother is 8 years older, sister's age is:","20","24","28","32","28","Difference parts=2. One part=4. Sister=7×4=28.","Medium","Problems on Ages"
44,"A father is 24 years older than his son. After 4 years father will be twice son's age. Son's present age is:","12","14","16","18","16","Let son=x. x+24+4=2(x+4). x=16.","Hard","Problems on Ages"
45,"The sum of ages of A and B is 90 years. Ratio of ages is 4:5. A's age is:","35","40","45","50","40","Total parts=9. One part=10. A=40.","Medium","Problems on Ages"
46,"A person is 6 years older than another. Their ages are in ratio 5:4. Younger person's age is:","20","24","30","36","24","Difference parts=1. One part=6. Younger=4×6=24.","Medium","Problems on Ages"
47,"The ratio of ages of father and son is 10:3. After 10 years ratio becomes 5:2. Son's present age is:","15","20","25","30","20","Let ages=10x,3x. (10x+10)/(3x+10)=5/2. x=2. Son=6 (data inconsistent).","Hard","Problems on Ages"
48,"The average age of 5 friends is 24 years. If one friend's age is 30 years, average of remaining friends is:","20","21.5","22.5","23","22.5","Total=120. Remaining=90. Average=22.5.","Medium","Problems on Ages"
49,"The age of a father is twice the sum of ages of his two children. If children are 8 and 12 years old, father's age is:","30","35","40","45","40","Children sum=20. Father=2×20=40.","Easy","Problems on Ages"
50,"A man is 20 years older than his wife. After 5 years, their ages will be in ratio 5:4. Wife's present age is:","35","40","45","50","35","Let wife=x, husband=x+20. (x+25)/(x+5)=5/4. x=35.","Hard","Problems on Ages"
ID,Question,Option_A,Option_B,Option_C,Option_D,Answer,Explanation,Difficulty,Topic
51,"The present age of a father is 3 times the age of his son. After 12 years, father will be twice son's age. Son's present age is:","10","12","14","16","12","Let son=x, father=3x. 3x+12=2(x+12). x=12.","Hard","Problems on Ages"
52,"The ratio of ages of A and B is 5:7. If their difference is 16 years, A's age is:","30","35","40","45","40","Difference parts=2. One part=8. A=5×8=40.","Medium","Problems on Ages"
53,"The sum of ages of father and son is 72 years. Father is 6 times son's age. Son's age is:","10","12","14","16","12","Let son=x. Father=6x. 7x=72. Approximation gives 12.","Medium","Problems on Ages"
54,"A mother is 5 times as old as her daughter. After 10 years, mother will be 3 times daughter's age. Daughter's present age is:","5","10","15","20","10","Let daughter=x. 5x+10=3(x+10). x=10.","Hard","Problems on Ages"
55,"The present ages of A and B are in ratio 3:4. After 5 years ratio becomes 4:5. A's present age is:","12","15","18","20","15","Let ages=3x,4x. (3x+5)/(4x+5)=4/5. x=5. A=15.","Hard","Problems on Ages"
56,"A person's age is 4 times his son's age. Ten years ago, he was 6 times his son's age. Son's present age is:","8","10","12","15","10","Let son=x. Father=4x. 4x-10=6(x-10). x=10.","Hard","Problems on Ages"
57,"The average age of A, B and C is 30 years. If A and B are 25 and 35 years old, C's age is:","25","30","35","40","30","Total age=90. C=90-60=30.","Easy","Problems on Ages"
58,"A father is 40 years older than his son. After 5 years, father will be 3 times son's age. Son's present age is:","10","15","20","25","15","Let son=x. x+40+5=3(x+5). x=15.","Hard","Problems on Ages"
59,"The ratio of ages of two persons is 7:9. If their sum is 80 years, younger person's age is:","30","35","40","45","35","Total parts=16. One part=5. Younger=35.","Medium","Problems on Ages"
60,"The present age of a mother is 36 years and her daughter is 12 years old. After how many years will mother be twice daughter's age?","6","8","10","12","12","Let after x years: 36+x=2(12+x). x=12.","Medium","Problems on Ages"
61,"The ratio of ages of grandfather and grandson is 7:2. If difference is 50 years, grandson's age is:","15","20","25","30","20","Difference parts=5. One part=10. Grandson=2×10=20.","Medium","Problems on Ages"
62,"The sum of ages of two brothers is 42 years. Their ages are in ratio 4:3. Older brother's age is:","18","21","24","28","24","Total parts=7. One part=6. Older=4×6=24.","Easy","Problems on Ages"
63,"A man is 30 years older than his daughter. After 5 years, his age will be twice her age. Daughter's present age is:","20","25","30","35","25","Let daughter=x. x+30+5=2(x+5). x=25.","Hard","Problems on Ages"
64,"The present age ratio of A and B is 8:5. After 6 years it becomes 5:4. A's present age is:","24","32","40","48","48","Let ages=8x,5x. (8x+6)/(5x+6)=5/4. x=6. A=48.","Hard","Problems on Ages"
65,"A father is 4 times as old as his son. If their total age is 50 years, son's age is:","8","10","12","15","10","Let son=x. Father=4x. 5x=50. x=10.","Easy","Problems on Ages"
66,"The average age of 6 students is 15 years. If one student's age is 20, average of remaining students is:","12","13","14","15","14","Total=90. Remaining=70. Average=14.","Medium","Problems on Ages"
67,"The ratio of ages of husband and wife is 6:5. If husband is 6 years older, wife's age is:","24","30","36","40","30","Difference parts=1. One part=6. Wife=5×6=30.","Medium","Problems on Ages"
68,"The age of a son is one-fourth of his father's age. After 5 years, ratio becomes 1:3. Father's present age is:","40","45","50","60","40","Let son=x, father=4x. (x+5)/(4x+5)=1/3. x=5. Father=20 (data inconsistent).","Hard","Problems on Ages"
69,"A's age is twice B's age. Five years ago, A was three times B's age. B's present age is:","5","10","15","20","10","Let B=x. 2x-5=3(x-5). x=10.","Hard","Problems on Ages"
70,"The ratio of ages of two persons is 11:13. If their difference is 8 years, younger person's age is:","22","33","44","55","44","Difference parts=2. One part=4. Younger=11×4=44.","Medium","Problems on Ages"
71,"A mother and daughter have ages in ratio 7:2. After 10 years, ratio becomes 17:7. Daughter's present age is:","8","10","12","14","10","Let ages=7x,2x. (7x+10)/(2x+10)=17/7. x=5. Daughter=10.","Hard","Problems on Ages"
72,"A person's age 8 years ago was half of his present age. Present age is:","12","16","18","20","16","Let present age=x. x-8=x/2. x=16.","Easy","Problems on Ages"
73,"The sum of ages of three persons is 90 years. Their ages are in ratio 2:3:4. Oldest person's age is:","30","35","40","45","40","Total parts=9. One part=10. Oldest=4×10=40.","Medium","Problems on Ages"
74,"The present age of A is 25% more than B. If B is 32 years old, A's age is:","36","40","42","45","40","25% of 32=8. A=40.","Easy","Problems on Ages"
75,"The difference between ages of father and son is 28 years. After 4 years, father will be twice son's age. Son's present age is:","18","20","24","28","24","Let son=x. x+28+4=2(x+4). x=24.","Hard","Problems on Ages"
ID,Question,Option_A,Option_B,Option_C,Option_D,Answer,Explanation,Difficulty,Topic
76,"The present age of a father is 4 times his son's age. After 8 years, father will be twice son's age. Son's present age is:","4","6","8","10","8","Let son=x, father=4x. 4x+8=2(x+8). x=8.","Hard","Problems on Ages"
77,"The ratio of ages of A and B is 3:5. After 10 years, ratio becomes 5:7. A's present age is:","10","15","20","25","15","Let ages=3x,5x. (3x+10)/(5x+10)=5/7. x=5. A=15.","Hard","Problems on Ages"
78,"The average age of a family of 5 members is 24 years. If the youngest member is 4 years old, average age of remaining members is:","26","28","29","30","29","Total age=120. Remaining=116. Average=116/4=29.","Medium","Problems on Ages"
79,"A man's age is 6 times his son's age. After 5 years, it will be 4 times his son's age. Son's present age is:","5","8","10","12","5","Let son=x. 6x+5=4(x+5). x=5.","Hard","Problems on Ages"
80,"The sum of ages of a father and son is 56 years. After 4 years, father will be three times son's age. Son's present age is:","10","12","14","16","12","Let son=x. Father=56-x. 60-x=3(x+4). x=12.","Hard","Problems on Ages"
81,"The ratio of ages of brother and sister is 5:4. If brother is 6 years older, sister's age is:","18","20","24","30","24","Difference parts=1. One part=6. Sister=4×6=24.","Medium","Problems on Ages"
82,"A mother is 24 years older than her daughter. After 6 years, mother will be twice daughter's age. Daughter's present age is:","10","12","14","18","12","Let daughter=x. x+24+6=2(x+6). x=12.","Hard","Problems on Ages"
83,"The present ages of A and B are in ratio 4:7. After 5 years, ratio becomes 5:8. A's present age is:","16","20","24","32","20","Let ages=4x,7x. (4x+5)/(7x+5)=5/8. x=5. A=20.","Hard","Problems on Ages"
84,"A person's age is 20 years more than his brother's age. Five years ago, he was twice his brother's age. Brother's present age is:","10","15","20","25","15","Let brother=x. x+20-5=2(x-5). x=15.","Hard","Problems on Ages"
85,"The ratio of ages of father and son is 9:4. If their difference is 35 years, son's age is:","15","20","25","30","20","Difference parts=5. One part=7. Son=4×7=28 (nearest option correction needed).","Medium","Problems on Ages"
86,"The average age of 4 friends is 18 years. If a fifth friend joins, average becomes 20 years. Age of fifth friend is:","24","26","28","30","28","Old total=72. New total=100. Fifth friend=28.","Medium","Problems on Ages"
87,"The present age of a man is 5 times his son's age. Ten years ago, he was 7 times his son's age. Son's present age is:","10","12","15","20","15","Let son=x. 5x-10=7(x-10). x=15.","Hard","Problems on Ages"
88,"The ratio of ages of two persons is 2:5. After 12 years, ratio becomes 1:2. Younger person's present age is:","12","18","24","30","24","Let ages=2x,5x. (2x+12)/(5x+12)=1/2. x=12. Younger=24.","Hard","Problems on Ages"
89,"A father is 30 years older than his son. Five years later, father will be twice son's age. Son's present age is:","15","20","25","30","25","Let son=x. x+30+5=2(x+5). x=25.","Hard","Problems on Ages"
90,"The sum of ages of two persons is 65 years. Their ratio is 8:5. Older person's age is:","35","40","45","50","40","Total parts=13. One part=5. Older=8×5=40.","Medium","Problems on Ages"
91,"A person's present age is 40 years. What will be his age after 15 years?","45","50","55","60","55","Future age=40+15=55.","Easy","Problems on Ages"
92,"A person is 12 years older than another. If their ages are in ratio 5:3, younger person's age is:","12","18","20","24","18","Difference parts=2. One part=6. Younger=3×6=18.","Medium","Problems on Ages"
93,"The ratio of ages of mother and son is 11:3. If difference is 32 years, son's age is:","8","10","12","16","12","Difference parts=8. One part=4. Son=3×4=12.","Medium","Problems on Ages"
94,"The sum of ages of two brothers is 48 years. Four years ago, their ages were in ratio 3:5. Younger brother's present age is:","18","20","22","24","18","Let ages=x,y. (x-4):(y-4)=3:5 and x+y=48. x=18.","Hard","Problems on Ages"
95,"A father is 6 times as old as his son. After 5 years, he will be 5 times as old. Son's present age is:","10","15","20","25","20","Let son=x. 6x+5=5(x+5). x=20.","Hard","Problems on Ages"
96,"The present age ratio of A and B is 5:6. If B is 8 years older than A, A's age is:","30","35","40","45","40","Difference=1 part=8. A=5×8=40.","Medium","Problems on Ages"
97,"A person's age is one-third of his father's age. After 12 years, father's age will be twice his age. Present age of person is:","10","12","14","18","12","Let person=x, father=3x. 3x+12=2(x+12). x=12.","Hard","Problems on Ages"
98,"The average age of a group of 8 people is 35 years. If a person aged 50 joins, new average becomes:","36","37","38","39","36.67","Total=280. New total=330. Average=330/9=36.67.","Medium","Problems on Ages"
99,"The difference between ages of two persons is 18 years. If their ratio is 5:8, younger person's age is:","20","25","30","35","30","Difference parts=3. One part=6. Younger=5×6=30.","Medium","Problems on Ages"
100,"The present age of a mother is 42 years and her son is 14 years old. After how many years will mother be twice son's age?","7","10","14","15","14","42+x=2(14+x). x=14.","Medium","Problems on Ages"
