ID,Question,Option_A,Option_B,Option_C,Option_D,Answer,Explanation,Difficulty,Topic
41,"A product price decreases from $600 to $450. Percentage decrease?","20%","25%","30%","35%","25%","Decrease = 150. Percentage = 150/600×100 = 25%.","Medium","Percentages"
42,"A number is first increased by 10% and then by 20%. Find total percentage increase.","30%","32%","35%","40%","32%","Successive increase = 10+20+(10×20)/100 = 32%.","Hard","Percentages"
43,"A number is decreased by 20% and then by 10%. Find total decrease.","25%","28%","30%","32%","28%","Remaining = 80%×90%=72%, decrease = 28%.","Hard","Percentages"
44,"A number is increased by 25% and then decreased by 20%. Net change?","5% increase","5% decrease","No change","10% increase","No change","1.25×0.80=1, so no change.","Hard","Percentages"
45,"A number is decreased by 30%. What percent increase is needed to restore it?","30%","40%","42.86%","50%","42.86%","Required increase = 30/70×100 = 42.86%.","Hard","Percentages"
46,"A number is increased by 40%. What percent decrease is needed to get original value?","25%","28.57%","30%","40%","28.57%","Required decrease = 40/140×100 = 28.57%.","Hard","Percentages"
47,"In an exam, passing marks are 40%. A student gets 180 marks out of 400. Did the student pass?","Yes by 10 marks","Yes by 20 marks","No by 20 marks","No by 40 marks","Yes by 20 marks","Passing marks = 160, student scored 180.","Medium","Percentages"
48,"A company has 500 employees. 60% are male. Number of female employees?","150","200","250","300","200","Male = 300, Female = 500-300=200.","Medium","Percentages"
49,"The population of a city is 50000. It increases by 12%. New population?","54000","56000","58000","60000","56000","Increase = 6000, new population = 56000.","Medium","Percentages"
50,"A shop gives 15% discount on an item costing $800. Selling price?","$620","$680","$700","$720","$680","Discount = 15% of 800 = 120. Selling price = 680.","Medium","Percentages"
ID,Question,Option_A,Option_B,Option_C,Option_D,Answer,Explanation,Difficulty,Topic
51,"A number is 25% more than 80. Find the number.","90","100","110","120","100","25% of 80 = 20, so 80+20=100.","Medium","Percentages"
52,"A number is 20% less than 500. Find the number.","350","400","450","480","400","20% of 500 = 100, so 500-100=400.","Easy","Percentages"
53,"A student scored 72 marks out of 90. Find percentage.","70%","75%","80%","85%","80%","72/90×100 = 80%.","Easy","Percentages"
54,"A person spends 75% of $4000. How much is spent?","$2500","$3000","$3200","$3500","$3000","75/100×4000 = $3000.","Easy","Percentages"
55,"A shopkeeper increases price by 30% on an item costing $600. New price?","$720","$780","$800","$900","$780","30% of $600 = $180, new price = $780.","Medium","Percentages"
56,"A product costing $1000 is sold after a 15% discount. Selling price?","$750","$800","$850","$900","$850","Discount = 15% of $1000 = $150, SP = $850.","Medium","Percentages"
57,"A number is increased from 400 to 520. Find percentage increase.","20%","25%","30%","35%","30%","Increase = 120, 120/400×100 = 30%.","Medium","Percentages"
58,"A number is decreased from 900 to 720. Find percentage decrease.","15%","20%","25%","30%","20%","Decrease = 180, 180/900×100 = 20%.","Medium","Percentages"
59,"If 45% of a number is 225, find the number.","400","450","500","550","500","Number = 225×100/45 = 500.","Medium","Percentages"
60,"If 80% of a number is 640, find the number.","700","800","900","1000","800","Number = 640×100/80 = 800.","Medium","Percentages"
61,"The price of an article is increased by 20%. If the new price is $720, find original price.","$500","$600","$650","$700","$600","Original = 720×100/120 = $600.","Hard","Percentages"
62,"The price of an article is reduced by 25%. If the new price is $600, find original price.","$700","$750","$800","$900","$800","Original = 600×100/75 = $800.","Hard","Percentages"
63,"A candidate got 360 votes out of 600. Percentage of votes obtained?","50%","55%","60%","65%","60%","360/600×100 = 60%.","Easy","Percentages"
64,"A class has 40 students, 70% passed. Number of students passed?","24","28","30","32","28","70/100×40 = 28.","Easy","Percentages"
65,"A village population increases by 8% from 25000. New population?","26000","27000","27000","28000","27000","Increase = 2000, new population = 27000.","Medium","Percentages"
66,"A machine value decreases by 10% from $5000. New value?","$4000","$4500","$4800","$4900","$4500","Decrease = 10% of $5000 = $500.","Easy","Percentages"
67,"A number is 40% greater than another number. If smaller number is 250, find larger number.","300","350","400","450","350","40% of 250 = 100, total = 350.","Medium","Percentages"
68,"A number is 30% smaller than another number. If larger number is 500, find smaller number.","300","350","400","450","350","30% of 500 = 150, smaller = 350.","Medium","Percentages"
69,"A salary is increased by 25% and becomes $50000. Find original salary.","$35000","$40000","$45000","$48000","$40000","Original = 50000×100/125 = 40000.","Hard","Percentages"
70,"A salary is decreased by 20% and becomes $24000. Find original salary.","$28000","$30000","$32000","$35000","$30000","Original = 24000×100/80 = 30000.","Hard","Percentages"
71,"The population of a town decreases by 5% from 80000. New population?","74000","76000","78000","79000","76000","Decrease = 4000, new population = 76000.","Medium","Percentages"
72,"A student needs 35% marks to pass. If total marks are 800, passing marks are?","240","260","280","300","280","35/100×800 = 280.","Easy","Percentages"
73,"A man saves 20% of his income. If income is $25000, savings?","$4000","$5000","$6000","$7000","$5000","20/100×25000 = $5000.","Easy","Percentages"
74,"The value of a share rises from $80 to $100. Percentage increase?","20%","25%","30%","35%","25%","Increase = 20, 20/80×100 = 25%.","Medium","Percentages"
75,"The value of a share falls from $120 to $90. Percentage decrease?","20%","25%","30%","35%","25%","Decrease = 30, 30/120×100 = 25%.","Medium","Percentages"
ID,Question,Option_A,Option_B,Option_C,Option_D,Answer,Explanation,Difficulty,Topic
76,"A number is increased by 50% and becomes 450. Find the original number.","250","300","350","400","300","Original number = 450×100/150 = 300.","Hard","Percentages"
77,"A number is decreased by 40% and becomes 360. Find the original number.","500","600","700","800","600","Original number = 360×100/60 = 600.","Hard","Percentages"
78,"A shopkeeper marks an item 25% above cost price. If cost price is $800, marked price is?","$900","$1000","$1100","$1200","$1000","25% of $800 = $200, Marked Price = $1000.","Medium","Percentages"
79,"A discount of 20% is given on an item marked $1500. Selling price is?","$1100","$1200","$1250","$1300","$1200","Discount = 20% of $1500 = $300, SP = $1200.","Medium","Percentages"
80,"A student scored 420 marks out of 600. Find percentage.","60%","65%","70%","75%","70%","420/600×100 = 70%.","Easy","Percentages"
81,"A student scored 560 marks out of 800. Find percentage.","65%","70%","75%","80%","70%","560/800×100 = 70%.","Easy","Percentages"
82,"A number is increased by 10% and then by 10%. Find total increase.","20%","21%","22%","25%","21%","Successive increase = 10+10+(10×10)/100 = 21%.","Hard","Percentages"
83,"A number is decreased by 10% and then by 20%. Find total decrease.","25%","28%","30%","32%","28%","Remaining value = 90%×80%=72%, decrease = 28%.","Hard","Percentages"
84,"A product price increases from $2000 to $2500. Percentage increase?","20%","25%","30%","35%","25%","Increase = 500, 500/2000×100 = 25%.","Medium","Percentages"
85,"A product price decreases from $2500 to $2000. Percentage decrease?","15%","20%","25%","30%","20%","Decrease = 500, 500/2500×100 = 20%.","Medium","Percentages"
86,"If 35% of a number is 175, find the number.","400","450","500","550","500","Number = 175×100/35 = 500.","Medium","Percentages"
87,"If 125% of a number is 500, find the number.","300","350","400","450","400","Number = 500×100/125 = 400.","Hard","Percentages"
88,"A person's income increases from $30000 to $36000. Percentage increase?","15%","20%","25%","30%","20%","Increase = 6000, 6000/30000×100 = 20%.","Medium","Percentages"
89,"A person's income decreases from $50000 to $40000. Percentage decrease?","15%","20%","25%","30%","20%","Decrease = 10000, 10000/50000×100 = 20%.","Medium","Percentages"
90,"The population of a city is 80000. It increases by 15%. New population?","90000","92000","94000","96000","92000","Increase = 12000, new population = 92000.","Medium","Percentages"
91,"The population of a city is 90000. It decreases by 20%. New population?","70000","72000","75000","80000","72000","Decrease = 18000, new population = 72000.","Medium","Percentages"
92,"A shop gives two successive discounts of 10% and 20%. Equivalent discount is?","25%","28%","30%","32%","28%","Equivalent discount = 10+20-(10×20)/100 = 28%.","Hard","Percentages"
93,"A shop gives two successive discounts of 20% and 25%. Equivalent discount is?","35%","40%","45%","50%","40%","Equivalent discount = 20+25-(20×25)/100 = 40%.","Hard","Percentages"
94,"A number is increased by 60%. By what percent should it be decreased to return to original?","35%","37.5%","40%","45%","37.5%","Required decrease = 60/160×100 = 37.5%.","Hard","Percentages"
95,"A number is decreased by 25%. By what percent should it be increased to return to original?","25%","30%","33.33%","40%","33.33%","Required increase = 25/75×100 = 33.33%.","Hard","Percentages"
96,"In a class, 45% students are girls. If total students are 800, number of boys?","360","400","440","450","440","Girls = 360, Boys = 800-360 = 440.","Medium","Percentages"
97,"A company has 1200 employees. 35% are women. Number of men?","680","720","780","820","780","Women = 420, Men = 1200-420 = 780.","Medium","Percentages"
98,"A product price is increased by 20%. If original price is $1500, new price is?","$1700","$1800","$1900","$2000","$1800","Increase = 20% of $1500 = $300, new price = $1800.","Medium","Percentages"
99,"A product price is reduced by 30%. If original price is $2000, new price is?","$1200","$1300","$1400","$1500","$1400","Discount = 30% of $2000 = $600, new price = $1400.","Medium","Percentages"
100,"A number becomes 840 after increasing by 40%. Find original number.","500","600","700","800","600","Original number = 840×100/140 = 600.","Hard","Percentages"
