ID,Question,Option_A,Option_B,Option_C,Option_D,Answer,Explanation,Difficulty,Topic
22,"An article is bought for $1000 and sold at 35% loss. Selling price?","$550","$600","$650","$700","$650","SP = 1000×65/100 = $650.","Medium","Profit Loss"
23,"If selling price is $1500 with 25% profit, find cost price.","$1000","$1200","$1250","$1300","$1200","CP = 1500×100/125 = $1200.","Hard","Profit Loss"
24,"If selling price is $840 with 30% loss, find cost price.","$1000","$1100","$1200","$1400","$1200","CP = 840×100/70 = $1200.","Hard","Profit Loss"
25,"A trader gains $250 on an article costing $1250. Find profit percentage.","15%","20%","25%","30%","20%","Profit% = 250/1250×100 = 20%.","Medium","Profit Loss"
ID,Question,Option_A,Option_B,Option_C,Option_D,Answer,Explanation,Difficulty,Topic
26,"A man buys an article for $1500 and sells it for $1800. Find profit percentage.","15%","20%","25%","30%","20%","Profit = 300. Profit% = 300/1500×100 = 20%.","Easy","Profit Loss"
27,"An item is bought for $2400 and sold for $3000. Find profit percentage.","20%","25%","30%","35%","25%","Profit = 600. Profit% = 600/2400×100 = 25%.","Medium","Profit Loss"
28,"A trader buys a laptop for $40000 and sells it for $36000. Find loss percentage.","5%","10%","15%","20%","10%","Loss = 4000. Loss% = 4000/40000×100 = 10%.","Medium","Profit Loss"
29,"An article is sold for $2200 at a profit of $400. Find cost price.","$1600","$1800","$2000","$2200","$1800","CP = SP - Profit = 2200-400 = $1800.","Easy","Profit Loss"
30,"An article is sold for $1800 at a loss of $300. Find cost price.","$2000","$2100","$2200","$2300","$2100","CP = SP + Loss = 1800+300 = $2100.","Easy","Profit Loss"
31,"A shopkeeper gains 40% on an article costing $500. Find selling price.","$600","$650","$700","$750","$700","SP = 500×140/100 = $700.","Medium","Profit Loss"
32,"A shopkeeper loses 25% on an article costing $800. Find selling price.","$500","$600","$650","$700","$600","SP = 800×75/100 = $600.","Medium","Profit Loss"
33,"A product is sold for $1500 after gaining 50%. Find cost price.","$900","$1000","$1200","$1300","$1000","CP = 1500×100/150 = $1000.","Hard","Profit Loss"
34,"A product is sold for $1120 after losing 20%. Find cost price.","$1200","$1300","$1400","$1500","$1400","CP = 1120×100/80 = $1400.","Hard","Profit Loss"
35,"A trader buys an item for $3200 and sells it at 15% profit. Find selling price.","$3500","$3600","$3680","$3800","$3680","Profit = 480. SP = 3200+480 = $3680.","Medium","Profit Loss"
36,"A trader buys an item for $5000 and sells it at 12% loss. Find selling price.","$4200","$4400","$4500","$4600","$4400","Loss = 600. SP = 5000-600 = $4400.","Medium","Profit Loss"
37,"A chair bought for $2500 is sold for $3000. Find gain percentage.","15%","20%","25%","30%","20%","Gain = 500. Gain% = 500/2500×100 = 20%.","Medium","Profit Loss"
38,"A table bought for $8000 is sold for $7200. Find loss percentage.","5%","10%","15%","20%","10%","Loss = 800. Loss% = 800/8000×100 = 10%.","Medium","Profit Loss"
39,"If profit is 30% and cost price is $900, find profit amount.","$180","$270","$300","$360","$270","Profit = 30% of 900 = $270.","Easy","Profit Loss"
40,"If loss is 15% and cost price is $2000, find loss amount.","$200","$250","$300","$350","$300","Loss = 15% of 2000 = $300.","Easy","Profit Loss"
41,"A shopkeeper marks an item at $2000 and sells it for $2500. Find profit percentage.","20%","25%","30%","35%","25%","Profit = 500. Profit% = 500/2000×100 = 25%.","Medium","Profit Loss"
42,"A trader bought an item for $6000 and sold it for $6900. Find gain percentage.","10%","15%","20%","25%","15%","Gain = 900. Gain% = 900/6000×100 = 15%.","Medium","Profit Loss"
43,"A trader bought an item for $7500 and sold it for $6750. Find loss percentage.","5%","10%","15%","20%","10%","Loss = 750. Loss% = 750/7500×100 = 10%.","Medium","Profit Loss"
44,"An article is sold at 25% profit. If selling price is $2500, find cost price.","$1800","$2000","$2200","$2400","$2000","CP = 2500×100/125 = $2000.","Hard","Profit Loss"
45,"An article is sold at 25% loss. If selling price is $1500, find cost price.","$1800","$2000","$2200","$2500","$2000","CP = 1500×100/75 = $2000.","Hard","Profit Loss"
46,"A person buys an item for $900 and wants 30% profit. At what price should it be sold?","$1100","$1170","$1200","$1300","$1170","SP = 900×130/100 = $1170.","Medium","Profit Loss"
47,"A person buys an item for $1200 and wants 20% profit. Selling price is?","$1400","$1440","$1500","$1600","$1440","SP = 1200×120/100 = $1440.","Medium","Profit Loss"
48,"A person buys an item for $2500 and wants 16% profit. Selling price is?","$2800","$2900","$3000","$3100","$2900","SP = 2500×116/100 = $2900.","Medium","Profit Loss"
49,"An article is sold for $960 after a 20% loss. Find cost price.","$1100","$1200","$1300","$1400","$1200","CP = 960×100/80 = $1200.","Hard","Profit Loss"
50,"An article is sold for $1320 after a 10% profit. Find cost price.","$1000","$1100","$1200","$1250","$1200","CP = 1320×100/110 = $1200.","Hard","Profit Loss"
ID,Question,Option_A,Option_B,Option_C,Option_D,Answer,Explanation,Difficulty,Topic
51,"An article bought for $4000 is sold for $4600. Find profit percentage.","10%","12%","15%","20%","15%","Profit = 600. Profit% = 600/4000×100 = 15%.","Medium","Profit Loss"
52,"A trader buys an item for $6000 and sells it for $5100. Find loss percentage.","10%","12%","15%","20%","15%","Loss = 900. Loss% = 900/6000×100 = 15%.","Medium","Profit Loss"
53,"A book is bought for $500 and sold for $650. Find profit percentage.","20%","25%","30%","35%","30%","Profit = 150. Profit% = 150/500×100 = 30%.","Easy","Profit Loss"
54,"A watch is bought for $2400 and sold for $2040. Find loss percentage.","10%","15%","20%","25%","15%","Loss = 360. Loss% = 360/2400×100 = 15%.","Medium","Profit Loss"
55,"A trader gains 25% by selling an article for $2500. Find cost price.","$1800","$2000","$2200","$2400","$2000","CP = 2500×100/125 = $2000.","Hard","Profit Loss"
56,"A trader loses 20% by selling an article for $1600. Find cost price.","$1800","$2000","$2200","$2400","$2000","CP = 1600×100/80 = $2000.","Hard","Profit Loss"
57,"An article costs $3000. It is sold at 35% profit. Find selling price.","$4000","$4050","$4100","$4200","$4050","SP = 3000×135/100 = $4050.","Medium","Profit Loss"
58,"An article costs $5000. It is sold at 18% loss. Find selling price.","$4000","$4100","$4200","$4500","$4100","SP = 5000×82/100 = $4100.","Medium","Profit Loss"
59,"A man buys a cycle for $8000 and sells it for $9200. Find profit.","$1000","$1200","$1500","$1800","$1200","Profit = 9200-8000 = $1200.","Easy","Profit Loss"
60,"A man buys a phone for $20000 and sells it for $18000. Find loss.","$1000","$1500","$2000","$2500","$2000","Loss = 20000-18000 = $2000.","Easy","Profit Loss"
61,"If CP is $2500 and profit is 12%, find SP.","$2700","$2800","$2900","$3000","$2800","SP = 2500×112/100 = $2800.","Medium","Profit Loss"
62,"If CP is $4000 and loss is 15%, find SP.","$3200","$3400","$3500","$3600","$3400","SP = 4000×85/100 = $3400.","Medium","Profit Loss"
63,"An article is sold for $1380 with a profit of 15%. Find CP.","$1100","$1200","$1250","$1300","$1200","CP = 1380×100/115 = $1200.","Hard","Profit Loss"
64,"An article is sold for $1700 with a loss of 15%. Find CP.","$1800","$2000","$2200","$2400","$2000","CP = 1700×100/85 = $2000.","Hard","Profit Loss"
65,"A trader purchases 50 items at $100 each and sells each at $120. Total profit?","$500","$800","$1000","$1200","$1000","Profit per item = $20, total = 50×20 = $1000.","Medium","Profit Loss"
66,"A shopkeeper buys 100 pens at $20 each and sells each at $25. Total profit?","$300","$400","$500","$600","$500","Profit per pen = $5, total = 100×5 = $500.","Medium","Profit Loss"
67,"A trader buys 20 articles for $500 each and sells them for $600 each. Find total profit.","$1000","$1500","$2000","$2500","$2000","Profit per article = $100, total = 20×100 = $2000.","Medium","Profit Loss"
68,"A shopkeeper buys 30 bags for $800 each and sells them for $720 each. Total loss?","$2000","$2200","$2400","$2600","$2400","Loss per bag = $80, total = 30×80 = $2400.","Medium","Profit Loss"
69,"A trader sells an item at 20% profit. If CP increases by 20% and SP remains same, what happens?","No profit","10% loss","20% profit","25% loss","No profit","New CP equals SP, so no profit no loss.","Hard","Profit Loss"
70,"A trader sells an item at 25% profit. If SP is $2500, find profit amount.","$400","$500","$600","$700","$500","CP = 2000, Profit = 2500-2000 = $500.","Hard","Profit Loss"
71,"An article is sold at 10% loss. If CP is $9000, find loss amount.","$700","$800","$900","$1000","$900","Loss = 10% of 9000 = $900.","Easy","Profit Loss"
72,"An article is sold at 40% profit. If CP is $1500, find profit amount.","$500","$600","$700","$800","$600","Profit = 40% of 1500 = $600.","Easy","Profit Loss"
73,"A trader buys an item for $800 and sells it for $920. Find gain percentage.","10%","15%","20%","25%","15%","Gain = 120. Gain% = 120/800×100 = 15%.","Medium","Profit Loss"
74,"A trader buys an item for $900 and sells it for $810. Find loss percentage.","5%","10%","15%","20%","10%","Loss = 90. Loss% = 90/900×100 = 10%.","Medium","Profit Loss"
75,"An article is sold for $1500 after gaining 25%. Find profit amount.","$250","$300","$350","$400","$300","CP = 1200, Profit = 1500-1200 = $300.","Hard","Profit Loss"
ID,Question,Option_A,Option_B,Option_C,Option_D,Answer,Explanation,Difficulty,Topic
76,"An article is bought for $5000 and sold for $5750. Find profit percentage.","10%","12%","15%","20%","15%","Profit = 5750-5000 = $750. Profit% = 750/5000×100 = 15%.","Medium","Profit Loss"
77,"An article is bought for $8000 and sold for $6800. Find loss percentage.","10%","12%","15%","20%","15%","Loss = 1200. Loss% = 1200/8000×100 = 15%.","Medium","Profit Loss"
78,"A trader gains 18% on an article. If CP is $2500, find SP.","$2800","$2950","$3000","$3200","$2950","SP = 2500×118/100 = $2950.","Medium","Profit Loss"
79,"A trader loses 25% on an article. If CP is $4000, find SP.","$2800","$3000","$3200","$3500","$3000","SP = 4000×75/100 = $3000.","Medium","Profit Loss"
80,"An item is sold for $1440 at 20% profit. Find cost price.","$1100","$1200","$1250","$1300","$1200","CP = 1440×100/120 = $1200.","Hard","Profit Loss"
81,"An item is sold for $1020 at 15% loss. Find cost price.","$1100","$1200","$1300","$1400","$1200","CP = 1020×100/85 = $1200.","Hard","Profit Loss"
82,"A shopkeeper buys an article for $3600 and sells it for $4320. Find profit percentage.","15%","20%","25%","30%","20%","Profit = 720. Profit% = 720/3600×100 = 20%.","Medium","Profit Loss"
83,"A shopkeeper buys an article for $4500 and sells it for $4050. Find loss percentage.","5%","10%","15%","20%","10%","Loss = 450. Loss% = 450/4500×100 = 10%.","Medium","Profit Loss"
84,"A man buys a car for $500000 and sells it for $575000. Find profit percentage.","10%","12%","15%","20%","15%","Profit = 75000. Profit% = 75000/500000×100 = 15%.","Medium","Profit Loss"
85,"A man buys a bike for $80000 and sells it for $72000. Find loss percentage.","5%","10%","15%","20%","10%","Loss = 8000. Loss% = 8000/80000×100 = 10%.","Medium","Profit Loss"
86,"An article is sold for $2400 with 20% profit. Find cost price.","$1800","$2000","$2200","$2400","$2000","CP = 2400×100/120 = $2000.","Hard","Profit Loss"
87,"An article is sold for $2550 with 15% loss. Find cost price.","$2800","$3000","$3200","$3500","$3000","CP = 2550×100/85 = $3000.","Hard","Profit Loss"
88,"A trader marks an item at $2500 and gives a discount of 10%. If CP is $1800, find profit.","$400","$450","$500","$550","$450","SP = 2500-250 = $2250. Profit = 2250-1800 = $450.","Hard","Profit Loss"
89,"A trader marks an item at $4000 and gives a discount of 20%. If CP is $3000, find profit.","$100","$200","$300","$400","$200","SP = 4000-800 = $3200. Profit = 3200-3000 = $200.","Hard","Profit Loss"
90,"A shopkeeper buys an item for $1200 and marks it 50% above CP. Find marked price.","$1600","$1700","$1800","$2000","$1800","Marked Price = 1200×150/100 = $1800.","Medium","Profit Loss"
91,"A shopkeeper buys an item for $2000 and marks it 40% above CP. Find marked price.","$2400","$2600","$2800","$3000","$2800","Marked Price = 2000×140/100 = $2800.","Medium","Profit Loss"
92,"A discount of 15% is given on an item marked $2000. Find selling price.","$1600","$1700","$1750","$1800","$1700","Discount = 300. SP = 2000-300 = $1700.","Easy","Profit Loss"
93,"A discount of 25% is given on an item marked $3000. Find selling price.","$2000","$2100","$2250","$2500","$2250","Discount = 750. SP = 3000-750 = $2250.","Easy","Profit Loss"
94,"A trader wants 30% profit after giving 10% discount. If CP is $1000, marked price should be?","$1200","$1300","$1400","$1500","$1444.44","SP required = 1300. MP = 1300×100/90 = $1444.44.","Hard","Profit Loss"
95,"A trader wants 20% profit after giving 20% discount. If CP is $2000, marked price should be?","$2500","$2800","$3000","$3200","$3000","SP = 2400. MP = 2400×100/80 = $3000.","Hard","Profit Loss"
96,"If an article is sold at 12% profit, selling price is $2240. Find CP.","$1800","$2000","$2100","$2200","$2000","CP = 2240×100/112 = $2000.","Hard","Profit Loss"
97,"If an article is sold at 8% loss, selling price is $1840. Find CP.","$2000","$2200","$2400","$2500","$2000","CP = 1840×100/92 = $2000.","Hard","Profit Loss"
98,"A trader buys an item for $1500 and sells two items together for $3300. Find total profit percentage.","5%","10%","15%","20%","10%","Total CP = 3000, SP = 3300, Profit = 300. Profit% = 10%.","Hard","Profit Loss"
99,"A person buys an article for $2500 and sells it for $3000. Find profit percentage.","15%","20%","25%","30%","20%","Profit = 500. Profit% = 500/2500×100 = 20%.","Easy","Profit Loss"
100,"A trader buys an article for $6000 and sells it at 25% profit. Find selling price.","$7000","$7500","$8000","$8500","$7500","SP = 6000×125/100 = $7500.","Medium","Profit Loss"
