National Health Mission focuses on?,Healthcare,Roads,Industry,Banking,Healthcare,It improves public health services.
Mission Indradhanush is related to?,Vaccination,Housing,Agriculture,Employment,Vaccination,It aims to increase immunization coverage.
Pradhan Mantri Fasal Bima Yojana provides?,Crop insurance,Life insurance,Education loans,Housing,Crop insurance,It protects farmers against crop losses.
PMFBY was launched in?,2016,2014,2018,2020,2016,The scheme provides affordable crop insurance.
Soil Health Card Scheme provides?,Soil information,Crop loans,Houses,Insurance,Soil information,It provides details about soil nutrients.
Kisan Credit Card is related to?,Agricultural loans,Education loans,Housing loans,Vehicle loans,Agricultural loans,It provides credit facilities to farmers.
National Agriculture Market is known as?,e-NAM,PMAY,DBT,UPI,e-NAM,e-NAM provides online trading platform for agricultural products.
Pradhan Mantri Gram Sadak Yojana focuses on?,Rural roads,Urban housing,Healthcare,Education,Rural roads,It provides connectivity to rural areas.
BharatNet project provides?,Internet connectivity,Electricity,Water supply,Housing,Internet connectivity,It connects rural areas through broadband networks.
AMRUT scheme is related to?,Urban development,Agriculture,Defence,Education,Urban development,It improves urban infrastructure.
Smart Cities Mission focuses on?,Smart urban development,Rural farming,Education,Health insurance,Smart urban development,It develops selected cities with modern facilities.
National Education Policy was introduced in?,2020,2015,2018,2010,2020,NEP 2020 focuses on education reforms.
PM Vishwakarma scheme supports?,Traditional artisans,Farmers,Students,Doctors,Traditional artisans,It provides support and training to artisans.
PM SVANidhi scheme supports?,Street vendors,Large industries,Farmers,Teachers,Street vendors,It provides working capital loans to street vendors.
One Nation One Ration Card is related to?,Food security,Education,Transport,Housing,Food security,It allows ration portability across states.
DBT stands for?,Direct Benefit Transfer,Digital Banking Transfer,Direct Bank Tax,Development Benefit Tool,Direct Benefit Transfer,It transfers government benefits directly to beneficiaries.
Jal Jeevan Mission provides?,Drinking water,Electricity,Roads,Houses,Drinking water,It aims to provide tap water connections.
Namami Gange programme focuses on?,River cleaning,Forest protection,Employment,Education,River cleaning,It aims to clean and conserve the Ganga river.
National Food Security Act provides?,Food grains,Employment,Housing,Insurance,Food grains,It ensures subsidized food grains for eligible people.
Garib Kalyan Yojana focuses on?,Poor welfare,Industrial growth,Exports,Technology,Poor welfare,It provides support measures for poor citizens.
PM Garib Kalyan Anna Yojana provides?,Free food grains,Houses,Loans,Insurance,Free food grains,It provides food support during emergencies.
Launched in 2020, PM SVANidhi is for?,Street vendors,Farmers,Students,Women,Street vendors,The scheme supports small vendors financially.
Question,Option A,Option B,Option C,Option D,Correct Answer,Explanation
Pradhan Mantri Shram Yogi Maandhan Yojana is related to?,Workers pension,Education,Health,Transport,Workers pension,It provides pension benefits to unorganized sector workers.
PM Shram Yogi Maandhan was launched in?,2019,2015,2017,2021,2019,The scheme was launched to provide old age protection to workers.
National Pension System is regulated by?,PFRDA,RBI,SEBI,NITI Aayog,PFRDA,PFRDA regulates pension-related activities in India.
PFRDA stands for?,Pension Fund Regulatory and Development Authority,Public Finance Regulation Department,Private Fund Regulation Authority,People Fund Development Agency,Pension Fund Regulatory and Development Authority,PFRDA regulates pension schemes.
Pradhan Mantri Mudra Yojana provides?,Business loans,Housing loans,Education loans,Crop insurance,Business loans,It provides loans to small and micro enterprises.
MUDRA stands for?,Micro Units Development and Refinance Agency,Modern Urban Development Agency,Money Unit Development Resource Agency,Micro Union Department Agency,Micro Units Development and Refinance Agency,MUDRA supports small businesses.
The three categories under MUDRA are?,Shishu Kishor Tarun,Small Medium Large,Gold Silver Bronze,Basic Advanced Premium,Shishu Kishor Tarun,These categories classify loans based on business needs.
Deen Dayal Upadhyaya Grameen Kaushalya Yojana focuses on?,Rural youth skill development,Healthcare,Housing,Transport,Rural youth skill development,It provides skill training and employment opportunities.
DAY-NULM is related to?,Urban livelihood,Forest protection,Agriculture,Education,Urban livelihood,It promotes self-employment and skill development among urban poor.
DAY-NRLM focuses on?,Rural livelihoods,Urban transport,Digital services,Healthcare,Rural livelihoods,It promotes self-help groups and rural employment.
National Rural Livelihood Mission was launched in?,2011,2014,2018,2020,2011,NRLM works for poverty reduction through livelihood support.
Pradhan Mantri Kaushal Vikas Yojana provides?,Skill training,Housing,Insurance,Fertilizers,Skill training,It provides industry-relevant skill development.
PMKVY was launched in?,2015,2012,2017,2020,2015,It is a flagship skill development scheme.
National Skill Development Mission was launched in?,2015,2010,2018,2022,2015,It coordinates skill development efforts.
Ujjwala scheme is implemented by which ministry?,Ministry of Petroleum and Natural Gas,Ministry of Agriculture,Ministry of Education,Ministry of Finance,Ministry of Petroleum and Natural Gas,The ministry handles LPG distribution.
Pradhan Mantri Awas Yojana-Gramin provides?,Rural houses,Roads,Jobs,Insurance,Rural houses,It aims to provide pucca houses in rural areas.
PMAY-Urban focuses on?,Urban housing,Rural roads,Agriculture,Health,Urban housing,It provides affordable housing in urban areas.
Rashtriya Swasthya Bima Yojana is related to?,Health insurance,Crop insurance,Pension,Education,Health insurance,It provides health insurance for poor families.
Ayushman Bharat includes?,Health and Wellness Centres,Only pensions,Only education,Only agriculture,Health and Wellness Centres,It strengthens primary healthcare services.
PM Gati Shakti focuses on?,Infrastructure development,Agriculture,Banking,Education,Infrastructure development,It provides integrated planning for infrastructure projects.
National Logistics Policy aims to improve?,Transportation efficiency,Healthcare,Education,Farming,Transportation efficiency,It improves logistics and supply chains.
Digital India was launched in?,2015,2010,2018,2021,2015,The programme promotes digital infrastructure and services.
Aadhaar is issued by?,UIDAI,RBI,SEBI,ECI,UIDAI,UIDAI manages Aadhaar identification services.
UIDAI stands for?,Unique Identification Authority of India,Universal Identity Authority of India,United India Digital Agency,Unique Information Department of India,Unique Identification Authority of India,UIDAI issues Aadhaar numbers.
Aadhaar provides?,Unique identity,Passport,Driving license,Voter ID,Unique identity,It provides a unique identification number to residents.
Pradhan Mantri Garib Kalyan Package was launched during?,COVID-19 pandemic,Green Revolution,Emergency period,1991 reforms,COVID-19 pandemic,It provided economic support during the pandemic.
National Mission for Clean Ganga is related to?,Ganga conservation,Forest conservation,Agriculture,Industry,Ganga conservation,It works for cleaning and rejuvenating the Ganga.
Swachh Vidyalaya Abhiyan focuses on?,School sanitation,Employment,Housing,Roads,School sanitation,It improves sanitation facilities in schools.
Khelo India scheme promotes?,Sports,Education,Agriculture,Healthcare,Sports,It encourages sports development among youth.
Fit India Movement promotes?,Fitness and health,Trade,Industry,Banking,Fitness and health,It encourages physical activity and healthy lifestyles.
Beti Bachao Beti Padhao was launched in?,2015,2010,2018,2020,2015,It focuses on improving the status of girls.
Pradhan Mantri Matru Vandana Yojana supports?,Pregnant women,Farmers,Students,Workers,Pregnant women,It provides maternity benefit support.
POSHAN Abhiyaan focuses on?,Nutrition,Transport,Housing,Digital services,Nutrition,It aims to reduce malnutrition.
Mission Poshan 2.0 is related to?,Nutrition,Agriculture,Industry,Banking,Nutrition,It strengthens nutrition programmes.
National Mission on Financial Inclusion is related to?,Banking access,Forest protection,Education,Transport,Banking access,It promotes access to financial services.
Pradhan Mantri Garib Kalyan Yojana provides?,Welfare support,Industrial loans,Export subsidy,Education,Welfare support,It provides assistance to economically weaker sections.
PM FME Scheme supports?,Food processing units,IT companies,Railways,Banks,Food processing units,It supports micro food processing enterprises.
One District One Product scheme promotes?,Local products,Foreign trade only,Mining,Transport,Local products,It promotes district-level products.
PM Formalisation of Micro Food Processing Enterprises was launched in?,2020,2015,2018,2022,2020,It helps small food processing businesses.
National Livestock Mission relates to?,Animal husbandry,Education,Transport,IT,Animal husbandry,It promotes livestock development.
Rashtriya Gokul Mission focuses on?,Cattle development,Fisheries,Forests,Housing,Cattle development,It improves indigenous cattle breeds.
Pradhan Mantri Matsya Sampada Yojana relates to?,Fisheries,Mining,Education,Transport,Fisheries,It promotes fisheries sector development.
PMMSY was launched in?,2020,2015,2018,2022,2020,It aims to increase fish production and income.
National Solar Mission promotes?,Solar energy,Coal production,Petroleum,Mining,Solar energy,It promotes renewable energy use.
UJALA scheme provides?,LED bulbs,Gas cylinders,Houses,Fertilizers,LED bulbs,It promotes energy-efficient lighting.
FAME India scheme promotes?,Electric vehicles,Trains,Agriculture,Housing,Electric vehicles,It supports electric mobility adoption.
National Electric Mobility Mission Plan focuses on?,Electric vehicles,Road construction,Education,Health,Electric vehicles,It promotes electric transportation.
