54,The water cycle is also called?,Hydrological cycle,Carbon cycle,Nitrogen cycle,Oxygen cycle,Hydrological cycle,The movement of water between atmosphere and Earth is the hydrological cycle.
55,Evaporation converts?,Liquid water into vapour,Solid into liquid,Vapour into liquid,Ice into gas,Liquid water into vapour,Heat changes water into water vapour.
56,Condensation is the process of?,Vapour changing into liquid,Liquid changing into gas,Water freezing,Ice melting,Vapour changing into liquid,Cloud formation occurs due to condensation.
57,Rainfall is a form of?,Precipitation,Evaporation,Transpiration,Filtration,Precipitation,Rain is water falling from clouds.
58,The nitrogen cycle maintains?,Nitrogen balance,Water level,Temperature,Soil colour,Nitrogen balance,Nitrogen cycle circulates nitrogen in nature.
59,Nitrogen fixation is carried out by?,Bacteria,Animals,Plants only,Fungi only,Bacteria,Some bacteria convert atmospheric nitrogen into usable forms.
60,The main cause of soil erosion is?,Deforestation,Afforestation,Plant growth,Conservation,Deforestation,Removal of vegetation increases soil erosion.
61,Soil conservation method is?,Terrace farming,Deforestation,Overgrazing,Mining,Terrace farming,Terracing reduces soil loss on slopes.
62,Organic farming avoids?,Chemical fertilizers and pesticides,Water,Seeds,Plants, Chemical fertilizers and pesticides,Organic farming uses natural methods.
63,The process of increasing desert area is?,Desertification,Afforestation,Urbanization,Recycling,Desertification,Land degradation converts fertile land into desert.
64,The main cause of desertification is?,Overgrazing and deforestation,Rainfall,Plantation,Conservation,Overgrazing and deforestation,These activities damage land productivity.
65,Coral reefs are mainly found in?,Warm shallow oceans,Deserts,Mountains,Grasslands,Warm shallow oceans,Corals require warm marine environments.
66,The Great Barrier Reef is located near?,Australia,India,Japan,Brazil,Australia,It is the world's largest coral reef system.
67,Mangrove forests are found in?,Coastal areas,Deserts,Mountains,Grasslands,Coastal areas,Mangroves grow in saline coastal environments.
68,Biodiversity hotspot means?,Region with high biodiversity,Polluted area,Desert area,Industrial area,Region with high biodiversity,Hotspots contain many unique species.
69,India has how many biodiversity hotspots?,4,2,6,8,4,India is part of four global biodiversity hotspots.
70,The Wildlife Institute of India is located in?,Dehradun,Delhi,Mumbai,Chennai,Dehradun,WII conducts wildlife research and conservation.
71,National Biodiversity Authority is located in?,Chennai,Delhi,Kolkata,Hyderabad,Chennai,NBA works for biodiversity conservation.
72,The Red Data Book contains information about?,Endangered species,Weather,Soil,Resources,Endangered species,It lists threatened species.
73,An endangered species is one that?,Faces risk of extinction,Is increasing rapidly,Is common everywhere,Has no habitat,Faces risk of extinction,Endangered species need protection.
74,An extinct species is one that?,No longer exists,Is protected,Is increasing,Is migrating,No longer exists,Extinct species have disappeared completely.
75,The IUCN is related to?,Nature conservation,Trade,Technology,Banking,Nature conservation,IUCN publishes the Red List of threatened species.
76,The Red List is published by?,IUCN,UNESCO,RBI,WHO,IUCN,IUCN Red List tracks conservation status.
77,National Green Tribunal was established in?,2010,2000,1990,2020,2010,NGT handles environmental protection cases.
78,The concept of ecological pyramid was introduced by?,Charles Elton,Darwin,Newton,Mendel,Charles Elton,Elton introduced ecological pyramids.
79,Energy flow in an ecosystem is?,One-way,Circular,Random,Backward,One-way,Energy moves from producers to consumers.
80,Only a small amount of energy passes to next trophic level because?,Energy is lost as heat,Animals do not eat,Plants stop growing,Water is absent,Energy is lost as heat,Most energy is used for life processes.
81,The 10% law of energy transfer was given by?,Lindeman,Darwin,Elton,Newton,Lindeman,Lindeman explained energy transfer between trophic levels.
82,Biotic components include?,Living organisms,Soil,Water,Air,Living organisms,Plants and animals are biotic components.
83,Abiotic components include?,Non-living factors,Animals,Plants,Bacteria,Non-living factors,Air water soil and sunlight are abiotic factors.
84,Population means?,Group of same species,All ecosystems,All plants,All animals,Group of same species,A population consists of organisms of one species.
85,Community includes?,Different populations,Single species,Only plants,Only animals,Different populations,A community contains different interacting species.
86,Ecosystem consists of?,Biotic and abiotic components,Only animals,Only plants,Only water,Biotic and abiotic components,Ecosystem includes living and non-living components.
87,The process of recycling nutrients is done by?,Decomposers,Producers,Carnivores,Herbivores,Decomposers,Decomposers return nutrients to soil.
88,The main cause of biodiversity loss is?,Habitat destruction,Conservation,Planting trees,Recycling,Habitat destruction,Loss of habitats threatens species.
89,Poaching means?,Illegal hunting,Tree plantation,Recycling,Animal protection,Illegal hunting,Poaching threatens wildlife populations.
90,Project Elephant was launched in?,1992,1973,1986,2000,1992,Project Elephant protects elephants and habitats.
91,The first biosphere reserve in India is?,Nilgiri Biosphere Reserve,Sundarbans,Nanda Devi,Gulf of Mannar,Nilgiri Biosphere Reserve,Nilgiri was established in 1986.
92,Biosphere reserves aim at?,Conservation of biodiversity,Industrial growth,Mining,Urbanization,Conservation of biodiversity,They protect ecosystems and species.
93,The ozone hole is mainly observed over?,Antarctica,India,Africa,Europe,Antarctica,Ozone depletion is severe over Antarctica.
94,Carbon footprint refers to?,Amount of greenhouse gases emitted,Carbon deposits only,Forest area,Water usage,Amount of greenhouse gases emitted,It measures environmental impact of activities.
95,Greenhouse effect is caused by?,Heat trapping gases,Cold winds,Rainfall,Soil erosion,Heat trapping gases,Gases like CO₂ trap heat in atmosphere.
96,The major greenhouse gas released by humans is?,Carbon dioxide,Oxygen,Nitrogen,Helium,Carbon dioxide,CO₂ emissions contribute greatly to warming.
97,Environmental Impact Assessment is done for?,Evaluating environmental effects,Increasing pollution,Building only houses,Stopping all projects,Evaluating environmental effects,EIA studies impacts of development projects.
98,Swachh Bharat Mission focuses on?,Cleanliness and sanitation,Industrial growth,Forest cutting,Mining,Cleanliness and sanitation,It promotes hygiene and waste management.
99,The main aim of conservation is?,Protection of resources,Overuse of resources,Waste generation,Pollution increase,Protection of resources,Conservation ensures sustainable use.
100,Environmental education creates?,Awareness about environment,Pollution,Deforestation,Waste generation,Awareness about environment,It helps people understand environmental protection.
