"APPSC Group-II examination is conducted for?","Higher judicial posts","State executive services","Military posts","Railway posts","State executive services","Group-II recruits executive and administrative positions in state government."
Question,Option_A,Option_B,Option_C,Option_D,Correct_Answer,Explanation
"Which constitutional amendment created Telangana as a separate state?","91st Amendment","100th Amendment","98th Amendment","No amendment","No amendment","The Andhra Pradesh Reorganisation Act, 2014 created Telangana through a parliamentary law."
"Which article defines the territory of states in India?","Article 1","Article 2","Article 3","Article 4","Article 3","Article 3 deals with formation of new states and alteration of areas, boundaries, and names."
"Who is the head of the Andhra Pradesh Secretariat?","Chief Secretary","Governor","Chief Minister","Speaker","Chief Secretary","The Chief Secretary is the highest-ranking administrative officer of the state."
"Who is the head of district administration in Andhra Pradesh?","SP","District Collector","MLA","Mayor","District Collector","The District Collector is responsible for revenue and overall district administration."
"Which commission conducts Panchayat elections in Andhra Pradesh?","Election Commission of India","State Election Commission","APPSC","Finance Commission","State Election Commission","The State Election Commission conducts elections to local bodies."
"Which article deals with State Election Commission?","Article 243K","Article 280","Article 315","Article 356","Article 243K","Article 243K provides for State Election Commission."
"Which article deals with Panchayati Raj institutions?","Article 243","Article 324","Article 370","Article 280","Article 243","Part IX of the Constitution deals with Panchayats."
"Which amendment gave constitutional status to Panchayati Raj?","72nd Amendment","73rd Amendment","74th Amendment","75th Amendment","73rd Amendment","The 73rd Constitutional Amendment Act gave constitutional status to Panchayati Raj."
"Which amendment deals with Municipalities?","73rd Amendment","74th Amendment","75th Amendment","76th Amendment","74th Amendment","The 74th Amendment provides constitutional status to urban local bodies."
"Which is the lower house of Andhra Pradesh Legislature?","Rajya Sabha","Legislative Assembly","Lok Sabha","Legislative Council","Legislative Assembly","The Legislative Assembly is the directly elected lower house of the state legislature."
"How many houses are there in Andhra Pradesh Legislature?","One","Two","Three","Four","Two","Andhra Pradesh has a Legislative Assembly and Legislative Council."
"Minimum age required to become MLA?","18 years","21 years","25 years","30 years","25 years","A person must be at least 25 years old to contest Legislative Assembly elections."
"Minimum age required to become Governor?","25 years","30 years","35 years","40 years","35 years","The Constitution requires a Governor to be at least 35 years old."
"Which authority audits state government accounts?","Election Commission","CAG","UPSC","Finance Commission","CAG","The Comptroller and Auditor General audits government accounts."
"Who presents the Andhra Pradesh state budget?","Chief Minister","Finance Minister","Governor","Speaker","Finance Minister","The Finance Minister presents the annual budget in the Assembly."
"Which river flows through Amaravati region?","Godavari","Krishna","Penna","Tungabhadra","Krishna","Amaravati is located on the banks of the Krishna River."
"Which is the longest river in Andhra Pradesh?","Krishna","Godavari","Penna","Vamsadhara","Godavari","Godavari is the longest major river flowing through Andhra Pradesh."
"Which is the largest port in Andhra Pradesh?","Chennai Port","Visakhapatnam Port","Kandla Port","Mumbai Port","Visakhapatnam Port","Visakhapatnam Port is one of India's major ports."
"Which district is famous for Tirupati temple?","Chittoor","Guntur","Krishna","Nellore","Chittoor","Tirupati is located in the Chittoor district region."
"Venkateswara Temple is located at?","Srisailam","Tirupati","Vijayawada","Amaravati","Tirupati","Tirumala Venkateswara Temple is located in Tirupati."
"Which crop is known as the major cash crop of Andhra Pradesh?","Tea","Coffee","Tobacco","Wheat","Tobacco","Andhra Pradesh is one of India's major tobacco-producing states."
"Which soil is suitable for cotton cultivation?","Alluvial soil","Black soil","Red soil","Laterite soil","Black soil","Black soil has good moisture retention suitable for cotton cultivation."
"Which movement was started by Alluri Sitarama Raju?","Quit India Movement","Rampa Rebellion","Non-Cooperation Movement","Swadeshi Movement","Rampa Rebellion","Alluri Sitarama Raju led the Rampa Rebellion against British rule."
"Who is known as Manyam Veerudu?","Tanguturi Prakasam","Alluri Sitarama Raju","N.T. Rama Rao","Potti Sriramulu","Alluri Sitarama Raju","Alluri Sitarama Raju is popularly known as Manyam Veerudu."
"Who played a key role in the formation of Andhra State?","Potti Sriramulu","Nehru","Gandhi","Ambedkar","Potti Sriramulu","Potti Sriramulu's fast led to the creation of Andhra State in 1953."
Question,Option_A,Option_B,Option_C,Option_D,Correct_Answer,Explanation
"Who was the first woman Chief Minister of Andhra Pradesh?","N.T. Rama Rao","N. Janardhana Reddy","No woman has served as CM","Y.S. Vijayamma","No woman has served as CM","No woman has served as Chief Minister of Andhra Pradesh till now."
"Who is known as the Father of Andhra Movement?","Potti Sriramulu","Kandukuri Veeresalingam","Tanguturi Prakasam","Alluri Sitarama Raju","Potti Sriramulu","Potti Sriramulu played a major role in the Andhra state movement."
"Who was the first Chief Minister of Andhra State (1953)?","Neelam Sanjiva Reddy","Tanguturi Prakasam","N.T. Rama Rao","Damodaram Sanjivayya","Tanguturi Prakasam","Tanguturi Prakasam served as the first Chief Minister of Andhra State."
"Who was the first elected Chief Minister of united Andhra Pradesh?","N.T. Rama Rao","Neelam Sanjiva Reddy","Kasu Brahmananda Reddy","Marri Chenna Reddy","Neelam Sanjiva Reddy","Neelam Sanjiva Reddy became the first CM of Andhra Pradesh after state formation."
"Which city is known as the cultural capital of Andhra Pradesh?","Vijayawada","Tirupati","Rajahmundry","Visakhapatnam","Rajahmundry","Rajahmundry is known for its cultural and literary importance."
"Which dance form originated in Andhra Pradesh?","Kathak","Kuchipudi","Bharatanatyam","Odissi","Kuchipudi","Kuchipudi is a classical dance form originating from Andhra Pradesh."
"Who founded the Kuchipudi dance tradition?","Siddhendra Yogi","Tyagaraja","Annamacharya","Vemana","Siddhendra Yogi","Siddhendra Yogi developed the Kuchipudi dance style."
"Which festival is celebrated as a major festival in Andhra Pradesh?","Bihu","Ugadi","Onam","Pongal","Ugadi","Ugadi is the Telugu New Year festival celebrated in Andhra Pradesh."
"Which is the state animal of Andhra Pradesh?","Tiger","Blackbuck","Elephant","Deer","Blackbuck","Blackbuck is the state animal of Andhra Pradesh."
"Which is the state bird of Andhra Pradesh?","Peacock","Indian Roller","Sparrow","Parrot","Indian Roller","Indian Roller is the state bird of Andhra Pradesh."
"Which is the state tree of Andhra Pradesh?","Neem","Banyan","Rosewood","Mango","Neem","Neem is recognized as the state tree of Andhra Pradesh."
"Which is the state flower of Andhra Pradesh?","Lotus","Jasmine","Rose","Sunflower","Jasmine","Jasmine is the state flower of Andhra Pradesh."
"Which national park is located in Andhra Pradesh?","Kanger Valley","Papikonda National Park","Jim Corbett","Gir National Park","Papikonda National Park","Papikonda National Park is located in Andhra Pradesh."
"Pulicat Lake is shared by Andhra Pradesh and which state?","Kerala","Tamil Nadu","Karnataka","Odisha","Tamil Nadu","Pulicat Lake lies between Andhra Pradesh and Tamil Nadu."
"Which mountain range is found in Andhra Pradesh?","Western Ghats","Eastern Ghats","Aravalli","Himalayas","Eastern Ghats","Eastern Ghats run through parts of Andhra Pradesh."
"Which mineral is abundantly found in Andhra Pradesh?","Coal","Mica","Bauxite","Gold","Bauxite","Andhra Pradesh has significant bauxite deposits."
"Which place is famous for diamond mines in Andhra Pradesh?","Guntur","Kurnool","Anantapur","Krishna","Kurnool","Kurnool region is historically associated with diamond deposits."
"Which irrigation project is built across Krishna River?","Polavaram","Srisailam Project","Hirakud","Bhakra Nangal","Srisailam Project","Srisailam project is constructed across Krishna River."
"Which project is a multipurpose project on Krishna River?","Nagarjuna Sagar","Tehri Dam","DVC Project","Tungabhadra Project","Nagarjuna Sagar","Nagarjuna Sagar is a major irrigation project on Krishna River."
"Which city is known as the 'City of Destiny' in Andhra Pradesh?","Vijayawada","Visakhapatnam","Tirupati","Guntur","Visakhapatnam","Visakhapatnam is popularly called the City of Destiny."
"Which industry is important in Visakhapatnam?","IT only","Steel Industry","Textile only","Sugar industry","Steel Industry","Visakhapatnam Steel Plant is a major industry."
"Which organization manages elections in Andhra Pradesh?","APPSC","State Election Commission","NITI Aayog","Finance Commission","State Election Commission","State Election Commission conducts local body elections."
"Which body recommends financial distribution between state and local bodies?","Election Commission","State Finance Commission","UPSC","Planning Commission","State Finance Commission","State Finance Commission reviews financial matters of local bodies."
"Which article deals with State Finance Commission?","Article 243-I","Article 324","Article 280","Article 356","Article 243-I","Article 243-I provides for State Finance Commission."
"Which scheme provides financial support to farmers in Andhra Pradesh?","YSR Rythu Bharosa","PMAY","MUDRA","Skill India","YSR Rythu Bharosa","YSR Rythu Bharosa provides assistance to farmers in Andhra Pradesh."
Question,Option_A,Option_B,Option_C,Option_D,Correct_Answer,Explanation
"Which scheme was launched by Andhra Pradesh government for women self-help groups?","DWCRA","YSR Cheyutha","PM Kisan","Ayushman Bharat","YSR Cheyutha","YSR Cheyutha provides financial assistance to women belonging to weaker sections."
"Which scheme provides housing assistance in Andhra Pradesh?","YSR Housing Scheme","PM Fasal Bima","MUDRA Yojana","Startup India","YSR Housing Scheme","YSR Housing Scheme aims to provide houses to eligible beneficiaries."
"Which institution conducts APPSC Group-I examination?","UPSC","APPSC","SSC","IBPS","APPSC","Andhra Pradesh Public Service Commission conducts Group-I examination."
"Group-I services mainly include which posts?","Clerical posts","Administrative posts","Railway posts","Banking posts","Administrative posts","Group-I includes high-level administrative positions."
"Which examination is conducted for Village Secretariat posts?","APPSC","State government recruitment","UPSC","SSC","State government recruitment","Village Secretariat recruitment is conducted by Andhra Pradesh government."
"Which language is used for APPSC examinations?","Only Hindi","Only English","Telugu and English","Only Sanskrit","Telugu and English","APPSC exams are generally conducted in Telugu and English."
"Which constitutional body conducts elections in India?","UPSC","Election Commission of India","Finance Commission","CAG","Election Commission of India","Election Commission conducts elections to Parliament and State Legislatures."
"Which article deals with Election Commission of India?","Article 280","Article 324","Article 315","Article 368","Article 324","Article 324 provides for the Election Commission."
"Who is the head of Election Commission of India?","Chief Justice","Chief Election Commissioner","President","Prime Minister","Chief Election Commissioner","The Chief Election Commissioner heads the Election Commission."
"Which article deals with the Governor of a state?","Article 153","Article 163","Article 170","Article 200","Article 153","Article 153 provides for the Governor of states."
"Who administers oath to the Governor?","President","Chief Justice of High Court","Prime Minister","Speaker","Chief Justice of High Court","The Chief Justice of the High Court administers oath to the Governor."
"Which article deals with Chief Minister and Council of Ministers?","Article 164","Article 170","Article 356","Article 360","Article 164","Article 164 deals with appointment and responsibilities of Chief Minister and ministers."
"Who is the constitutional advisor to Andhra Pradesh government?","Advocate General","Chief Secretary","Governor","Home Minister","Advocate General","The Advocate General is the highest legal officer of the state."
"Which article deals with Advocate General of State?","Article 165","Article 166","Article 167","Article 168","Article 165","Article 165 provides for Advocate General of the State."
"Which is the highest court in Andhra Pradesh?","District Court","High Court","Supreme Court","Sessions Court","High Court","The High Court is the highest judicial authority in the state."
"Which writ is issued to produce a detained person before court?","Mandamus","Habeas Corpus","Certiorari","Prohibition","Habeas Corpus","Habeas Corpus protects individual liberty against unlawful detention."
"Which fundamental right provides equality before law?","Article 14","Article 19","Article 21","Article 32","Article 14","Article 14 guarantees equality before law."
"Which article provides Right to Education?","Article 19","Article 21A","Article 25","Article 30","Article 21A","Article 21A provides free and compulsory education for children aged 6-14 years."
"Which body prepares Five Year Plans earlier in India?","NITI Aayog","Planning Commission","Finance Commission","RBI","Planning Commission","Planning Commission prepared Five Year Plans before being replaced by NITI Aayog."
"Which institution replaced Planning Commission?","RBI","NITI Aayog","Finance Ministry","UPSC","NITI Aayog","NITI Aayog replaced Planning Commission in 2015."
"Which sector contributes most to Andhra Pradesh economy?","Agriculture","Services","Mining","Manufacturing only","Services","Services sector has a major contribution to the state's economy."
"Which crop is widely cultivated in coastal Andhra Pradesh?","Rice","Tea","Coffee","Apple","Rice","Coastal Andhra Pradesh is known as a major rice-producing region."
"Which port is located in Andhra Pradesh?","Paradip","Kandla","Krishnapatnam Port","Cochin","Krishnapatnam Port","Krishnapatnam Port is a major private port in Andhra Pradesh."
"Which university is one of the oldest in Andhra Pradesh?","Andhra University","IIT Hyderabad","JNU","Delhi University","Andhra University","Andhra University was established in 1926 and is one of India's oldest universities."
"Which festival marks the Telugu New Year?","Diwali","Ugadi","Holi","Dussehra","Ugadi","Ugadi is celebrated as the beginning of the Telugu New Year."
