The Supreme Court of India was established in?,1947,1950,1952,1960,1950,"The Supreme Court started functioning on 28 January 1950."
The highest court of India is?,High Court,Supreme Court,District Court,Tribunal,Supreme Court,"The Supreme Court is the highest judicial authority."
The Chief Justice of India is appointed by?,Prime Minister,President,Governor,Parliament,President,"The President appoints the Chief Justice of India."
Judicial Review means?,Making laws,Reviewing constitutionality of laws,Conducting elections,Passing budgets,Reviewing constitutionality of laws,"Courts can examine whether laws violate the Constitution."
The power of Supreme Court to issue writs comes under?,Article 32,Article 21,Article 14,Article 356,Article 32,"Article 32 provides constitutional remedies."
High Court can issue writs under?,Article 226,Article 124,Article 280,Article 368,Article 226,"Article 226 empowers High Courts to issue writs."
The Governor of a state is appointed by?,President,Chief Minister,Prime Minister,State Legislature,President,"The President appoints state Governors."
The real executive authority in a state is?,Governor,Chief Minister,President,Speaker,Chief Minister,"The Chief Minister heads the state government."
The constitutional head of a state is?,Chief Minister,Governor,Chief Secretary,Speaker,Governor,"Governor represents the President at state level."
The minimum age to become Governor is?,25,30,35,40,35,"A Governor must be at least 35 years old."
The term of Governor is?,4 years,5 years,6 years,7 years,5 years,"Governor normally holds office for five years."
Question,Option A,Option B,Option C,Option D,Correct Answer,Explanation
The Panchayati Raj system was introduced by which amendment?,72nd Amendment,73rd Amendment,74th Amendment,75th Amendment,73rd Amendment,"The 73rd Constitutional Amendment Act, 1992 gave constitutional status to Panchayati Raj institutions."
The Municipalities were given constitutional status by?,73rd Amendment,74th Amendment,75th Amendment,76th Amendment,74th Amendment,"The 74th Amendment Act, 1992 deals with urban local bodies."
The Election Commission of India is mentioned in?,Article 280,Article 324,Article 356,Article 370,Article 324,"Article 324 provides for the Election Commission of India."
The Finance Commission is mentioned in?,Article 280,Article 315,Article 324,Article 368,Article 280,"Article 280 deals with the Finance Commission."
The Comptroller and Auditor General is mentioned in?,Article 148,Article 149,Article 150,Article 151,Article 148,"Article 148 establishes the office of CAG."
The Attorney General of India is mentioned in?,Article 76,Article 78,Article 80,Article 85,Article 76,"Article 76 provides for the Attorney General of India."
The Advocate General of State is mentioned in?,Article 165,Article 166,Article 167,Article 168,Article 165,"Article 165 deals with the Advocate General of a state."
The highest law officer of India is?,Chief Justice,Attorney General,Solicitor General,Law Minister,Attorney General,"The Attorney General is the highest legal advisor to the Government of India."
The head of a state government is?,Governor,Chief Minister,Speaker,Chief Secretary,Chief Minister,"The Chief Minister is the head of the state government."
The head of district administration is?,Superintendent of Police,District Collector,Tahsildar,Mayor,District Collector,"The District Collector manages district administration."
The Union List is mentioned in which Schedule?,5th Schedule,7th Schedule,8th Schedule,10th Schedule,7th Schedule,"The Seventh Schedule contains Union, State and Concurrent Lists."
The Anti-Defection Law is included in?,8th Schedule,9th Schedule,10th Schedule,11th Schedule,10th Schedule,"The 10th Schedule deals with disqualification on grounds of defection."
The languages recognized by Constitution are in?,7th Schedule,8th Schedule,9th Schedule,10th Schedule,8th Schedule,"The Eighth Schedule contains recognized languages."
The Emergency provisions are mentioned in?,Part XVIII,Part XVII,Part XIX,Part XX,Part XVIII,"Part XVIII deals with Emergency provisions."
National Emergency is declared under?,Article 352,Article 356,Article 360,Article 365,Article 352,"Article 352 deals with National Emergency."
President's Rule is under?,Article 352,Article 356,Article 360,Article 368,Article 356,"Article 356 provides for President's Rule in states."
Financial Emergency is under?,Article 360,Article 356,Article 352,Article 370,Article 360,"Article 360 deals with Financial Emergency."
The procedure for amendment of Constitution is in?,Article 356,Article 368,Article 324,Article 280,Article 368,"Article 368 provides the amendment procedure."
The Basic Structure Doctrine was given in which case?,Golaknath Case,Kesavananda Bharati Case,Maneka Gandhi Case,Berubari Case,Kesavananda Bharati Case,"The Supreme Court introduced the Basic Structure Doctrine in 1973."
The first President of India was?,Rajendra Prasad,Radhakrishnan,Zakir Hussain,V.V Giri,Rajendra Prasad,"Dr. Rajendra Prasad was the first President of India."
The first Vice President of India was?,S. Radhakrishnan,Rajendra Prasad,Zakir Hussain,V.V Giri,S. Radhakrishnan,"Dr. S. Radhakrishnan was the first Vice President."
The first Prime Minister of India was?,Jawaharlal Nehru,Sardar Patel,Rajendra Prasad,Lal Bahadur Shastri,Jawaharlal Nehru,"Jawaharlal Nehru became India's first Prime Minister."
The first woman Prime Minister of India was?,Sonia Gandhi,Indira Gandhi,Pratibha Patil,Sushma Swaraj,Indira Gandhi,"Indira Gandhi was India's first woman Prime Minister."
The first woman President of India was?,Droupadi Murmu,Pratibha Patil,Indira Gandhi,Sarojini Naidu,Pratibha Patil,"Pratibha Patil became the first woman President in 2007."
The Supreme Commander of Indian Armed Forces is?,Prime Minister,President,Defence Minister,Chief of Army Staff,President,"The President is the Supreme Commander of the Armed Forces."
The Parliament can legislate on State List during?,Normal situation,Emergency,Local elections,Budget session,Emergency,"During a National Emergency Parliament can make laws on State List subjects."
The quorum of Lok Sabha is?,1/5,1/10,1/3,1/2,1/10,"One-tenth of total membership is required for quorum."
The voting age was reduced from 21 to 18 by?,42nd Amendment,44th Amendment,61st Amendment,73rd Amendment,61st Amendment,"The 61st Amendment Act reduced voting age to 18 years."
The Fundamental Duties were borrowed from?,USA,Russia,UK,Canada,Russia,"Fundamental Duties were inspired by the Soviet Constitution."
The Parliamentary system of India was borrowed from?,USA,UK,Canada,Australia,UK,"India adopted the parliamentary system from Britain."
The concept of Fundamental Rights was borrowed from?,USA,UK,Ireland,France,USA,"Fundamental Rights were inspired by the US Constitution."
Directive Principles were borrowed from?,Ireland,USA,Russia,France,Ireland,"DPSP were inspired by the Irish Constitution."
The concept of Concurrent List was borrowed from?,Australia,USA,UK,Canada,Australia,"Concurrent List concept was borrowed from Australia."
The Indian Constitution is a combination of?,Federal and Unitary features,Only federal,Only unitary,Only presidential,Federal and Unitary features,"India has federal structure with strong unitary features."
The President can nominate members to Rajya Sabha from?,Sports and Defence,Art and Literature,Science only,Politics,Art and Literature,"President nominates 12 members from fields like art, literature, science and social service."
The Lok Sabha is also called?,Council of States,House of People,Upper House,Legislative Council,House of People,"Lok Sabha represents the people directly."
The Rajya Sabha is also called?,House of People,Council of States,Lower House,Assembly,Council of States,"Rajya Sabha represents states and union territories."
The maximum gap between two Parliament sessions is?,3 months,6 months,9 months,12 months,6 months,"There cannot be more than six months gap between sessions."
The President's ordinance-making power is under?,Article 123,Article 213,Article 356,Article 368,Article 123,"Article 123 empowers President to issue ordinances."
The Governor's ordinance-making power is under?,Article 123,Article 213,Article 324,Article 280,Article 213,"Article 213 provides ordinance power to Governor."
The Supreme Court judges retire at the age of?,60,62,65,70,65,"Supreme Court judges retire at 65 years."
High Court judges retire at the age of?,60,62,65,68,62,"High Court judges retire at 62 years."
The first schedule of Constitution contains?,States and Union Territories,Languages,Fundamental Duties,Land reforms,States and Union Territories,"The First Schedule lists states and union territories."
The Ninth Schedule was added by?,1st Amendment,42nd Amendment,44th Amendment,73rd Amendment,1st Amendment,"The Ninth Schedule was added by the First Constitutional Amendment."
The 11th Schedule relates to?,Municipalities,Panchayats,Languages,Anti-defection,Panchayats,"The 11th Schedule contains subjects of Panchayats."
The 12th Schedule relates to?,Municipalities,Panchayats,Elections,Languages,Municipalities,"The 12th Schedule contains subjects of Municipalities."
The Right to Education was added by?,86th Amendment,73rd Amendment,42nd Amendment,44th Amendment,86th Amendment,"The 86th Amendment added Article 21A for Right to Education."
The Constitution Day is celebrated on?,January 26,August 15,November 26,October 2,November 26,"Constitution Day is observed on 26 November."
