The Finance Commission is under?,Article 280,Article 324,Article 76,Article 112,Article 280,"Article 280 provides for Finance Commission."
The Attorney General is mentioned in?,Article 76,Article 148,Article 165,Article 280,Article 76,"Article 76 deals with Attorney General."
Question,Option A,Option B,Option C,Option D,Correct Answer,Explanation
The Governor of a state is appointed by?,Prime Minister,President,Chief Minister,Chief Justice,President,"The Governor is appointed by the President of India."
The constitutional head of a state is?,Chief Minister,Governor,Speaker,Chief Secretary,Governor,"The Governor is the constitutional head of the state."
The real executive authority in a state is?,Governor,Chief Minister,President,High Court,Chief Minister,"The Chief Minister and Council of Ministers exercise real executive power."
The minimum age required to become Governor is?,25 years,30 years,35 years,40 years,35 years,"A person must be at least 35 years old to become Governor."
The Chief Minister is appointed by?,Governor,President,Speaker,Prime Minister,Governor,"The Governor appoints the Chief Minister of the state."
The Council of Ministers in a state is headed by?,Governor,Chief Minister,Speaker,Chief Justice,Chief Minister,"The Chief Minister heads the State Council of Ministers."
The highest court in India is?,High Court,Supreme Court,District Court,Tribunal,Supreme Court,"The Supreme Court is the highest judicial authority in India."
The Supreme Court was established in?,1950,1947,1952,1960,1950,"The Supreme Court started functioning on 28 January 1950."
The retirement age of Supreme Court judges is?,60 years,62 years,65 years,70 years,65 years,"Supreme Court judges retire at the age of 65."
The retirement age of High Court judges is?,60 years,62 years,65 years,68 years,62 years,"High Court judges retire at 62 years."
Judicial Review means?,Power of courts to examine laws,Power of Parliament,Power of President,Power of Governor,Power of courts to examine laws,"Judicial Review allows courts to check constitutional validity of laws."
Public Interest Litigation is related to?,Public welfare cases,Private disputes,Elections,Taxes,Public welfare cases,"PIL allows people to approach courts for public interest matters."
The Chief Justice of India is appointed by?,President,Prime Minister,Parliament,Governor,President,"The President appoints the Chief Justice of India."
The Comptroller and Auditor General is mentioned in?,Article 148,Article 280,Article 324,Article 76,Article 148,"Article 148 provides for the CAG."
The CAG audits accounts of?,Government,Private companies only,Banks only,Courts,Government,"CAG audits government accounts."
The Finance Commission is appointed every?,3 years,5 years,6 years,10 years,5 years,"Finance Commission is constituted every five years."
The Election Commission conducts?,Elections,Tax collection,Law making,Budget preparation,Elections,"The Election Commission conducts free and fair elections."
The Anti-Defection Law was added by?,52nd Amendment,42nd Amendment,44th Amendment,86th Amendment,52nd Amendment,"The Anti-Defection Law was added through the 52nd Amendment in 1985."
The voting age was reduced from 21 to 18 by?,61st Amendment,42nd Amendment,44th Amendment,73rd Amendment,61st Amendment,"The 61st Amendment reduced voting age to 18 years."
Panchayati Raj was added by?,73rd Amendment,74th Amendment,42nd Amendment,44th Amendment,73rd Amendment,"The 73rd Amendment gave constitutional status to Panchayats."
Municipalities were added by?,73rd Amendment,74th Amendment,86th Amendment,91st Amendment,74th Amendment,"The 74th Amendment deals with urban local bodies."
Article 40 deals with?,Panchayats,Emergency,President,Judiciary,Panchayats,"Article 40 directs the state to organize village Panchayats."
National Emergency is declared under?,Article 352,Article 356,Article 360,Article 365,Article 352,"Article 352 deals with National Emergency."
President's Rule is imposed under?,Article 352,Article 356,Article 360,Article 370,Article 356,"Article 356 deals with failure of constitutional machinery in states."
Financial Emergency is under?,Article 360,Article 352,Article 356,Article 365,Article 360,"Article 360 provides for Financial Emergency."
The first National Emergency was declared in?,1962,1975,1977,1980,1962,"The first National Emergency was declared during the China war in 1962."
The Emergency of 1975 was declared by?,Indira Gandhi,Nehru,Rajiv Gandhi,Morarji Desai,Indira Gandhi,"The Emergency was declared by Prime Minister Indira Gandhi in 1975."
The President's term is?,5 years,4 years,6 years,7 years,5 years,"The President holds office for five years."
The minimum age for President is?,25 years,30 years,35 years,40 years,35 years,"A candidate must be 35 years old to become President."
The Vice President is elected by?,Members of Parliament,State Assemblies,People directly,President,Members of Parliament,"The Vice President is elected by members of both Houses of Parliament."
The Vice President is the ex-officio Chairman of?,Rajya Sabha,Lok Sabha,Supreme Court,NITI Aayog,Rajya Sabha,"The Vice President chairs the Rajya Sabha."
The Parliament consists of?,President Lok Sabha Rajya Sabha,Prime Minister only,Lok Sabha only,Rajya Sabha only,President Lok Sabha Rajya Sabha,"Indian Parliament includes the President and two Houses."
The maximum strength of Lok Sabha is?,552,545,500,600,552,"The Constitution provides a maximum strength of 552 members."
The maximum strength of Rajya Sabha is?,250,245,300,200,250,"The maximum strength of Rajya Sabha is 250 members."
The normal term of Lok Sabha is?,5 years,4 years,6 years,7 years,5 years,"Lok Sabha normally continues for five years."
Rajya Sabha is called?,Permanent House,Temporary House,Lower House,People's House,Permanent House,"Rajya Sabha is never dissolved."
Money Bill can be introduced only in?,Lok Sabha,Rajya Sabha,State Assembly,Supreme Court,Lok Sabha,"Money Bills can only be introduced in Lok Sabha."
The Speaker of Lok Sabha is elected by?,Lok Sabha members,President,Prime Minister,Rajya Sabha,Lok Sabha members,"The Lok Sabha elects its Speaker."
The Parliament can amend Constitution under?,Article 368,Article 324,Article 356,Article 280,Article 368,"Article 368 provides the amendment procedure."
The Supreme Commander of Armed Forces is?,President,Prime Minister,Defence Minister,Chief Justice,President,"The President is the Supreme Commander of Indian Armed Forces."
The President can be removed by?,Impeachment,No process,Election,Governor,Impeachment,"The President can be removed through impeachment."
The Prime Minister is appointed by?,President,Governor,Chief Justice,Speaker,President,"The President appoints the Prime Minister."
The Council of Ministers is collectively responsible to?,Lok Sabha,Rajya Sabha,President,Supreme Court,Lok Sabha,"The Council of Ministers is responsible to Lok Sabha."
The first citizen of India is?,President,Prime Minister,Governor,Chief Justice,President,"The President is considered the first citizen of India."
The national emergency requires approval by?,Parliament,Supreme Court,RBI,Governor,Parliament,"Emergency must be approved by Parliament."
The Constitution Day of India is celebrated on?,26 November,26 January,15 August,2 October,26 November,"Constitution Day is observed on 26 November."
The Republic Day of India is celebrated on?,26 January,15 August,26 November,14 November,26 January,"India became a Republic on 26 January 1950."
The Independence Day of India is celebrated on?,15 August,26 January,2 October,14 November,15 August,"India became independent on 15 August 1947."
