Which ministry manages Skill India Mission?,Education Ministry,Skill Development Ministry,Finance Ministry,Home Ministry,Skill Development Ministry,Skill India focuses on skill training of youth.
NITI Aayog replaced?,Planning Commission,RBI,Finance Commission,SEBI,Planning Commission,NITI Aayog replaced the Planning Commission in 2015.
Who is the Chairperson of NITI Aayog?,President,Prime Minister,Finance Minister,Governor,Prime Minister,The Prime Minister serves as Chairperson of NITI Aayog.
National Education Policy was introduced in?,2018,2019,2020,2021,2020,NEP 2020 introduced major reforms in education.
Which scheme provides health insurance coverage?,PM-JAY,MUDRA,Yojana Awas,PM-KISAN,PM-JAY,Pradhan Mantri Jan Arogya Yojana provides health insurance benefits.
PM-KISAN scheme is related to?,Farmers,Students,Women,Workers,Farmers,PM-KISAN provides income support to eligible farmers.
Ayushman Bharat scheme is related to?,Education,Healthcare,Agriculture,Transport,Healthcare,Ayushman Bharat aims to provide affordable healthcare.
Mission LiFE is related to?,Environment,Space,Finance,Sports,Environment,Mission LiFE promotes sustainable lifestyle practices.
International Yoga Day is celebrated on?,June 21,July 21,August 15,January 26,June 21,International Yoga Day is observed every year on June 21.
World Environment Day is observed on?,June 5,July 5,April 22,May 5,June 5,World Environment Day promotes environmental awareness.
COP28 climate conference was held in?,Dubai,Paris,Delhi,London,Dubai,COP28 was held in Dubai in 2023.
The Paris Agreement is related to?,Trade,Climate change,Education,Health,Climate change,Paris Agreement focuses on reducing global warming.
International Solar Alliance headquarters is in?,India,France,USA,Germany,India,ISA headquarters is located in Gurugram, India.
Which country won ICC Men's T20 World Cup 2024?,India,Australia,England,South Africa,India,India won the ICC Men's T20 World Cup 2024.
The ICC headquarters is located in?,Dubai,Lords,Delhi,Sydney,Dubai,International Cricket Council headquarters is in Dubai.
Asian Games 2023 were hosted by?,Japan,China,India,Korea,China,Asian Games 2023 were held in Hangzhou, China.
Olympic Games 2024 were hosted by?,France,Japan,USA,China,France,Paris hosted the 2024 Summer Olympics.
The 2026 Winter Olympics will be held in?,Italy,France,USA,Japan,Italy,Milano-Cortina 2026 will host Winter Olympics.
The RBI controls?,Monetary policy,Defense policy,Education policy,Foreign policy,Monetary policy,RBI manages India's monetary policy.
The repo rate is decided by?,RBI,SEBI,NITI Aayog,Finance Ministry,RBI,RBI's Monetary Policy Committee decides repo rate.
GST was implemented in India in?,2015,2016,2017,2018,2017,GST was introduced on July 1, 2017.
GST Council is chaired by?,Prime Minister,Union Finance Minister,RBI Governor,President,Union Finance Minister,The Union Finance Minister chairs GST Council.
India's largest public sector bank is?,SBI,PNB,BOB,Canara Bank,SBI,State Bank of India is the largest public sector bank.
National Voters Day is observed on?,January 25,January 26,August 15,November 26,January 25,National Voters Day is celebrated on January 25.
Constitution Day is celebrated on?,November 26,January 26,August 15,October 2,November 26,Constitution Day marks adoption of Indian Constitution.
Question,Option A,Option B,Option C,Option D,Correct Answer,Explanation
Who is the Chief Justice of India in 2026?,Justice B R Gavai,Justice D Y Chandrachud,Justice Sanjiv Khanna,Justice U U Lalit,Justice B R Gavai,Justice B R Gavai became the Chief Justice of India in 2025.
Which ministry launched the PM Vishwakarma scheme?,Finance Ministry,MSME Ministry,Railway Ministry,Education Ministry,MSME Ministry,PM Vishwakarma supports traditional artisans and craftsmen.
PM Vishwakarma scheme was launched in which year?,2021,2022,2023,2024,2023,The scheme was launched on September 17, 2023.
The main objective of PM Vishwakarma scheme is?,Digital payments,Support artisans,Build highways,Provide education,Support artisans,It provides skill training and financial assistance to artisans.
Which state hosted the Khelo India Youth Games 2023?,Tamil Nadu,Gujarat,Kerala,Odisha,Tamil Nadu,Tamil Nadu hosted Khelo India Youth Games 2023.
Khelo India initiative is related to?,Sports,Agriculture,Education,Technology,Sports,Khelo India promotes sports development in India.
Which Indian athlete won Olympic gold medal in javelin throw?,Neeraj Chopra,Abhinav Bindra,PV Sindhu,Bajrang Punia,Neeraj Chopra,Neeraj Chopra won Olympic gold at Tokyo 2020.
Dronacharya Award is given for?,Sports coaching,Science,Music,Literature,Sports coaching,It honours outstanding sports coaches.
Arjuna Award is related to?,Sports,Medicine,Environment,Administration,Sports,It is given for excellence in sports.
Which Indian city hosted the G20 Digital Economy Ministers meeting?,Bengaluru,Hyderabad,Delhi,Pune,Bengaluru,Bengaluru hosted discussions on digital economy.
India's first underwater metro service started in?,Kolkata,Mumbai,Chennai,Delhi,Kolkata,Kolkata introduced India's first underwater metro under the Hooghly River.
The new Parliament building was inaugurated in?,2021,2022,2023,2024,2023,The new Parliament building was inaugurated in May 2023.
The new Parliament building is located in?,New Delhi,Mumbai,Chennai,Bengaluru,New Delhi,It is located in the Parliament complex in New Delhi.
The Women's Reservation Act provides reservation of?,20%,33%,50%,10%,33%,It provides one-third reservation for women in Lok Sabha and State Assemblies.
The Women's Reservation Act was passed in?,2021,2022,2023,2024,2023,The Nari Shakti Vandan Adhiniyam was passed in 2023.
Bharat AI Mission is related to?,Artificial Intelligence,Agriculture,Space,Transport,Artificial Intelligence,Bharat AI Mission promotes AI development and innovation.
IndiaAI Mission was approved in?,2022,2023,2024,2025,2024,The Union Cabinet approved IndiaAI Mission in 2024.
Which organisation manages Aadhaar?,UIDAI,SEBI,RBI,ISRO,UIDAI,UIDAI issues Aadhaar identification numbers.
UIDAI stands for?,Unique Identification Authority of India,Universal Indian Digital Authority,United India Identity Agency,Unique Indian Information Agency,Unique Identification Authority of India,UIDAI manages Aadhaar services.
National Green Hydrogen Mission is related to?,Clean energy,Defence,Education,Tourism,Clean energy,It promotes hydrogen as a clean energy source.
India hosted the G20 Summit under presidency in?,2021,2022,2023,2024,2023,India held the G20 Presidency from December 2022 to November 2023.
The slogan of India's G20 Presidency was?,One Earth One Family One Future,Digital India First,Green Revolution,New India,One Earth One Family One Future,The theme represents global cooperation.
Which country joined BRICS expansion in 2024?,UAE,Canada,Japan,France,UAE,UAE became a new BRICS member in 2024.
BRICS originally included how many countries?,3,4,5,10,5,BRICS originally consisted of Brazil Russia India China and South Africa.
Which organisation releases World Economic Outlook?,World Bank,IMF,UN,RBI,IMF,International Monetary Fund publishes World Economic Outlook.
World Bank headquarters is located in?,Washington DC,New York,Geneva,Paris,Washington DC,The World Bank headquarters is in Washington DC.
IMF headquarters is located in?,London,Washington DC,Tokyo,Delhi,Washington DC,The IMF headquarters is in Washington DC.
WHO headquarters is located in?,Geneva,New York,Paris,Rome,Geneva,World Health Organization headquarters is in Geneva.
India became a member of which grouping in 2023?,G20,G7,NATO,EU,G20,India is a founding member of G20.
The Chandrayaan-3 rover was named?,Pragyan,Vikram,Aditya,Gaganyaan,Pragyan,Pragyan rover explored the lunar surface.
The Chandrayaan-3 lander was named?,Vikram,Pragyan,Rohini,Aryabhata,Vikram,Vikram lander carried the rover Pragyan.
Mangalyaan mission was related to?,Mars,Moon,Sun,Venus,Mars,Mangalyaan was India's Mars Orbiter Mission.
The National Science Day is observed on?,February 28,January 28,March 8,April 28,February 28,It marks discovery of Raman Effect by C V Raman.
The Nobel Prize in Economics 2023 was awarded to?,Claudia Goldin,Elon Musk,Ratan Tata,Bill Gates,Claudia Goldin,She received the Nobel Prize for research on labour market gender gaps.
The Bharat Ratna award is approved by?,President,Prime Minister,Chief Justice,Governor,President,The President confers Bharat Ratna awards.
The National Film Awards are given for?,Cinema,Sports,Science,Politics,Cinema,They recognise excellence in Indian cinema.
The Oscar Awards are related to?,Films,Sports,Technology,Medicine,Films,Academy Awards honour achievements in cinema.
The 2024 Nobel Peace Prize was awarded to?,Nihon Hidankyo,WHO,UNICEF,NATO,Nihon Hidankyo,Nihon Hidankyo received Nobel Peace Prize 2024.
World Water Day is observed on?,March 22,April 22,June 5,July 11,March 22,It focuses on importance of freshwater resources.
Earth Day is celebrated on?,April 22,March 22,June 5,August 15,April 22,Earth Day promotes environmental protection.
International Women's Day is celebrated on?,March 8,May 8,June 8,January 8,March 8,It celebrates women's achievements and equality.
National Youth Day is celebrated on?,January 12,January 15,August 12,December 12,January 12,It marks the birth anniversary of Swami Vivekananda.
Teachers Day in India is celebrated on?,September 5,October 5,November 5,August 5,September 5,It commemorates Dr Sarvepalli Radhakrishnan.
Children's Day in India is celebrated on?,November 14,November 20,December 14,January 14,November 14,It marks Jawaharlal Nehru's birth anniversary.
World Health Day is observed on?,April 7,May 7,June 7,July 7,April 7,It is observed by WHO every year.
National Technology Day is celebrated on?,May 11,June 11,July 11,August 11,May 11,It commemorates India's Pokhran nuclear tests.
The Indian Space Research Organisation was founded in?,1962,1969,1975,1980,1969,ISRO was established in 1969.
The first Indian satellite was?,Aryabhata,Rohini,INSAT,Cartosat,Aryabhata,Aryabhata was India's first satellite launched in 1975.
The first Indian woman to win Olympic medal was?,Karnam Malleswari,PV Sindhu,Saina Nehwal,Mary Kom,Karnam Malleswari,She won bronze medal in weightlifting at Sydney Olympics 2000.
