62,"Which of the following is a public sector bank?","ICICI Bank","HDFC Bank","State Bank of India","Axis Bank","State Bank of India","SBI is a public sector bank.","Easy","Banking Awareness"
63,"The full form of EMI is:","Equated Monthly Installment","Easy Monthly Income","Equal Money Investment","Electronic Money Installment","Equated Monthly Installment","EMI is a fixed monthly payment towards a loan.","Easy","Banking Products"
64,"The full form of ECS is:","Electronic Clearing Service","Electronic Cash System","Easy Credit Service","Electronic Customer Service","Electronic Clearing Service","ECS is used for electronic transfer of payments.","Easy","Digital Banking"
65,"The full form of BSBDA is:","Basic Savings Bank Deposit Account","Bank Savings Balance Deposit Account","Basic Security Bank Deposit Account","Bank Service Deposit Account","Basic Savings Bank Deposit Account","BSBDA is a basic savings account with minimum facilities.","Medium","Banking Products"
66,"A bank account that allows unlimited transactions is generally:","Savings Account","Current Account","Fixed Deposit","Recurring Deposit","Current Account","Current accounts allow frequent transactions.","Easy","Banking Products"
67,"The process of merging two banks is called:","Banking","Amalgamation","Liquidation","Privatization","Amalgamation","Amalgamation means combining two or more banks.","Medium","Banking Awareness"
68,"Banking Ombudsman scheme deals with:","Customer complaints","Loan approval","Currency printing","Tax collection","Customer complaints","Banking Ombudsman handles customer complaints against banks.","Easy","Banking Awareness"
69,"The full form of ATM PIN is related to:","Authentication","Loan processing","Account opening","Cheque clearing","Authentication","PIN verifies customer identity during transactions.","Easy","Digital Banking"
70,"Which card allows customers to withdraw money directly from a bank account?","Credit Card","Debit Card","Gift Card","Smart Card","Debit Card","Debit cards are linked directly to bank accounts.","Easy","Digital Banking"
71,"A credit card provides:","Loan facility","Savings facility","Insurance","Fixed deposit","Loan facility","Credit cards provide short-term credit facilities.","Easy","Banking Products"
72,"The process of checking customer identity is called:","KYC","NEFT","RTGS","IMPS","KYC","KYC verifies customer identity details.","Easy","Banking Awareness"
73,"The full form of AML is:","Anti Money Laundering","Account Money Limit","Annual Money Loan","Automatic Money Link","Anti Money Laundering","AML prevents illegal money transactions.","Medium","Banking Awareness"
74,"The term 'Liquidity' means:","Ability to convert assets into cash","Profit earned by bank","Loan amount","Interest rate","Ability to convert assets into cash","Liquidity refers to availability of cash or easily convertible assets.","Medium","Banking Awareness"
75,"The interest rate charged by banks on loans is called:","Deposit Rate","Lending Rate","Saving Rate","Discount Rate","Lending Rate","Lending rate is the interest charged on loans.","Easy","Banking Awareness"
ID,Question,Option_A,Option_B,Option_C,Option_D,Answer,Explanation,Difficulty,Topic
76,"The full form of SWIFT is:","Society for Worldwide Interbank Financial Telecommunication","Secure World Internet Fund Transfer","System Wide International Finance Transfer","Society With International Finance Technology","Society for Worldwide Interbank Financial Telecommunication","SWIFT is used for international financial messaging between banks.","Medium","International Banking"
77,"Which organization manages payment and settlement systems in India?","NPCI","RBI","SEBI","NABARD","RBI","RBI regulates payment and settlement systems in India.","Medium","Banking Awareness"
78,"The process of printing currency notes in India is done by:","RBI only","Government and RBI","Private Banks","SEBI","Government and RBI","Currency printing is managed by RBI and Government of India.","Medium","Banking Awareness"
79,"The headquarters of Punjab National Bank is located in:","Mumbai","New Delhi","Kolkata","Chennai","New Delhi","Punjab National Bank headquarters is in New Delhi.","Easy","Banking Awareness"
80,"The headquarters of Bank of Baroda is located in:","Vadodara","Mumbai","Delhi","Pune","Vadodara","Bank of Baroda headquarters is in Vadodara, Gujarat.","Easy","Banking Awareness"
81,"The full form of ECS is:","Electronic Clearing Service","Electronic Credit System","Easy Cash Service","Electronic Customer System","Electronic Clearing Service","ECS enables automatic transfer of payments.","Easy","Digital Banking"
82,"A banker's cheque is issued by:","Customer","Bank","Government","RBI","Bank","A banker's cheque is issued by a bank on behalf of a customer.","Medium","Banking Awareness"
83,"The main objective of financial inclusion is:","Provide banking services to all sections","Increase taxes","Reduce currency printing","Increase loans only","Provide banking services to all sections","Financial inclusion ensures access to banking services for everyone.","Easy","Banking Awareness"
84,"Pradhan Mantri Jan Dhan Yojana was launched in:","2012","2014","2016","2018","2014","PMJDY was launched in 2014 for financial inclusion.","Easy","Government Schemes"
85,"PMJDY mainly focuses on:","Bank accounts for all","Stock market growth","Insurance only","Foreign trade","Bank accounts for all","The scheme provides access to banking facilities for all citizens.","Easy","Government Schemes"
86,"The full form of UPI is:","Unified Payments Interface","Universal Payment India","United Payment Instrument","Unique Payment Interface","Unified Payments Interface","UPI enables instant digital payments.","Easy","Digital Banking"
87,"The organization that operates UPI is:","RBI","NPCI","SBI","SEBI","NPCI","NPCI operates UPI services in India.","Easy","Digital Banking"
88,"A cheque without a date is called:","Post-dated cheque","Stale cheque","Invalid cheque","Undated cheque","Undated cheque","A cheque without a date is called an undated cheque.","Medium","Banking Awareness"
89,"A cheque presented after its validity period is called:","Crossed cheque","Stale cheque","Bearer cheque","Order cheque","Stale cheque","A cheque becomes stale after three months.","Easy","Banking Awareness"
90,"The full form of CASA in banking is:","Current Account Savings Account","Cash Account Savings Account","Credit Account Service Account","Customer Account Savings Account","Current Account Savings Account","CASA refers to current and savings account deposits.","Medium","Banking Awareness"
91,"The main function of commercial banks is:","Accept deposits and provide loans","Print currency","Make laws","Control inflation","Accept deposits and provide loans","Commercial banks collect deposits and provide credit facilities.","Easy","Banking Awareness"
92,"Inflation means:","Rise in general price level","Fall in prices","Increase in production only","Decrease in money supply","Rise in general price level","Inflation refers to continuous increase in prices.","Easy","Indian Economy"
93,"Deflation means:","Fall in general price level","Increase in prices","Increase in taxes","Increase in loans","Fall in general price level","Deflation is a decrease in general price levels.","Medium","Indian Economy"
94,"The annual financial statement of India is presented by:","Prime Minister","Finance Minister","RBI Governor","President","Finance Minister","The Finance Minister presents the Union Budget.","Easy","Indian Economy"
95,"The Union Budget is presented in:","Lok Sabha","Rajya Sabha","Supreme Court","RBI Office","Lok Sabha","The Union Budget is presented in the Lok Sabha.","Easy","Indian Economy"
96,"The financial year in India starts from:","January 1","April 1","July 1","March 1","April 1","The Indian financial year starts on April 1.","Easy","Indian Economy"
97,"The full form of GDP is:","Gross Domestic Product","General Domestic Product","Gross Development Plan","Government Domestic Product","Gross Domestic Product","GDP measures the value of goods and services produced in a country.","Easy","Indian Economy"
98,"The full form of GNP is:","Gross National Product","General National Product","Gross Net Product","Government National Product","Gross National Product","GNP measures total income earned by citizens of a country.","Medium","Indian Economy"
99,"The headquarters of Asian Development Bank is located in:","Tokyo","Manila","Beijing","Singapore","Manila","ADB headquarters is located in Manila, Philippines.","Medium","International Banking"
100,"Which is the largest bank in India by assets?","HDFC Bank","ICICI Bank","State Bank of India","Punjab National Bank","State Bank of India","SBI is the largest bank in India by assets.","Easy","Banking Awareness"
