id="apgk1x7"
The Seshachalam Hills are located in?,Andhra Pradesh,Tamil Nadu,Kerala,Karnataka,Andhra Pradesh,Seshachalam Hills are located near Tirupati.
Seshachalam Biosphere Reserve is famous for?,Red Sanders,Tea plantations,Coal mines,Coffee,Red Sanders,The reserve protects rare red sandalwood trees.
The famous mineral found in Andhra Pradesh is?,Barytes,Gold,Diamond,Coal,Barytes,Andhra Pradesh has large barytes deposits.
The Mangampeta mines are famous for?,Barytes,Iron ore,Coal,Copper,Barytes,Mangampeta is one of the world's largest barytes deposits.
The major thermal power station in Andhra Pradesh is?,Vijayawada Thermal Power Station,NTPC Ramagundam,Talcher Power Station,Korba Power Station,Vijayawada Thermal Power Station,It is located at Ibrahimpatnam near Vijayawada.
The famous pilgrimage city Srisailam is located on?,Krishna River,Godavari River,Pennar River,Musi River,Krishna River,Srisailam is situated on Krishna River.
Srisailam temple is dedicated to?,Lord Shiva,Lord Vishnu,Lord Rama,Lord Krishna,Lord Shiva,Srisailam Mallikarjuna temple is one of the Jyotirlingas.
The famous Kanaka Durga Temple is located in?,Vijayawada,Tirupati,Guntur,Nellore,Vijayawada,Kanaka Durga Temple is situated on Indrakeeladri Hills.
The famous Amaralingeswara Temple is located in?,Amaravati,Kurnool,Chittoor,Kadapa,Amaravati,It is one of the Pancharama temples.
The Pancharama temples are dedicated to?,Lord Shiva,Lord Vishnu,Goddess Durga,Lord Hanuman,Lord Shiva,Pancharama temples are important Shiva temples in Andhra Pradesh.
The famous Mangalagiri temple is dedicated to?,Lord Narasimha,Lord Shiva,Lord Rama,Lord Krishna,Lord Narasimha,Mangalagiri temple is near Amaravati.
The famous Sri Kalahasti temple is dedicated to?,Lord Shiva,Lord Vishnu,Lord Rama,Lord Krishna,Lord Shiva,Sri Kalahasti is a famous Shiva temple.
The famous natural harbour of Andhra Pradesh is?,Visakhapatnam,Kakinada,Nellore,Krishna,Visakhapatnam,Visakhapatnam has a natural harbour.
Kakinada is famous for?,Port and industries,Coal mines,Steel plant,IT hub,Port and industries,Kakinada is an important coastal city.
The famous oil refinery in Andhra Pradesh is?,HPCL Visakh Refinery,Vijayawada Refinery,Kurnool Refinery,Tirupati Refinery,HPCL Visakh Refinery,It is located in Visakhapatnam.
The first Telugu newspaper was?,Andhra Patrika,Eenadu,Sakshi,Vaartha,Andhra Patrika,Andhra Patrika played an important role in Telugu journalism.
The famous Telugu newspaper group Eenadu was founded by?,Ramoji Rao,N.T Rama Rao,Y.S.Rajasekhara Reddy,Nannaya,Ramoji Rao,Ramoji Rao founded Eenadu newspaper.
Ramoji Film City is owned by?,Ramoji Group,Eenadu TV,AP Government,NTPC,Ramoji Group,Ramoji Film City was established by Ramoji Rao.
The famous freedom fighter from Andhra Pradesh was?,Alluri Sitarama Raju,Bhagat Singh,Subhash Bose,Rani Lakshmibai,Alluri Sitarama Raju,He led the Rampa Rebellion against British rule.
The Rampa Rebellion took place in?,1922-1924,1857,1942,1930,1922-1924,Alluri Sitarama Raju led the rebellion in tribal areas.
The famous social reformer from Andhra Pradesh was?,Kandukuri Veeresalingam,Raja Ram Mohan Roy,Dayananda Saraswati,Vivekananda,Kandukuri Veeresalingam,He worked for widow remarriage and social reforms.
The first Telugu novel was written by?,Kandukuri Veeresalingam,Nannaya,Annamayya,Gurajada,Kandukuri Veeresalingam,Kandukuri wrote Rajasekhara Charitra.
The famous Telugu playwright wrote Kanyasulkam was?,Gurajada Apparao,Sri Sri,Viswanatha Satyanarayana,Tikkana,Gurajada Apparao,Gurajada wrote the famous play Kanyasulkam.
The first Chief Minister of Andhra Pradesh after 2014 was?,N. Chandrababu Naidu,Y.S Jagan Mohan Reddy,Kiran Kumar Reddy,N.T Rama Rao,N. Chandrababu Naidu,He became the first CM of bifurcated Andhra Pradesh.
The Chief Minister of Andhra Pradesh in 2019 was?,Y.S Jagan Mohan Reddy,N. Chandrababu Naidu,N.T Rama Rao,Y.S Rajasekhara Reddy,Y.S Jagan Mohan Reddy,He served as CM from 2019 to 2024.
The Andhra Pradesh Legislative Assembly has?,175 seats,119 seats,225 seats,150 seats,175 seats,The AP Assembly consists of 175 elected members.
The Andhra Pradesh Legislative Council has?,58 seats,40 seats,50 seats,60 seats,58 seats,The Legislative Council has 58 members.
The first woman Chief Minister of Andhra Pradesh was?,None,Jayalalithaa,Indira Gandhi,Tamilisai,None,Andhra Pradesh has not had a woman Chief Minister.
The official animal Blackbuck is also called?,Indian Antelope,Nilgai,Chinkara,Barasingha,Indian Antelope,Blackbuck belongs to the antelope family.
The famous bird sanctuary in Andhra Pradesh is?,Kolleru Bird Sanctuary,Bharatpur Sanctuary,Sultanpur Sanctuary,Kaziranga,Kolleru Bird Sanctuary,Kolleru Lake attracts many migratory birds.
Kolleru Lake is located between?,Krishna and Godavari deltas,Narmada and Tapi rivers,Ganga and Yamuna rivers,Western Ghats,Krishna and Godavari deltas,Kolleru is a freshwater lake between two deltas.
The famous wildlife sanctuary in Andhra Pradesh is?,Sri Venkateswara Wildlife Sanctuary,Gir Sanctuary,Kanha Sanctuary,Sariska,Sri Venkateswara Wildlife Sanctuary,It is located in Seshachalam Hills.
The state aquatic animal of Andhra Pradesh is?,Ganges River Dolphin,Blue Whale,Crocodile,Turtle,Ganges River Dolphin,The dolphin is protected in major river ecosystems.
The major IT city of Andhra Pradesh is?,Visakhapatnam,Vijayawada,Kurnool,Kadapa,Visakhapatnam,Visakhapatnam is developing as an IT hub.
The famous educational institution IIT in Andhra Pradesh is located at?,Tirupati,Amaravati,Vijayawada,Guntur,Tirupati,IIT Tirupati was established in 2015.
The National Institute of Technology Andhra Pradesh is located at?,Tadepalligudem,Visakhapatnam,Kurnool,Nellore,Tadepalligudem,NIT Andhra Pradesh is located in West Godavari district.
The famous agricultural university in Andhra Pradesh is?,ANGRAU,Osmania University,Kakatiya University,Andhra University,ANGRAU,Acharya N.G. Ranga Agricultural University focuses on agriculture.
Andhra University is located in?,Visakhapatnam,Vijayawada,Tirupati,Kurnool,Visakhapatnam,Andhra University is one of the oldest universities in India.
Sri Venkateswara University is located in?,Tirupati,Guntur,Kadapa,Anantapur,Tirupati,SV University was established in 1954.
The famous river project on Godavari is?,Polavaram Project,Nagarjuna Sagar,Srisailam,Almatti,Polavaram Project,It is a multipurpose irrigation project.
The famous steel plant proposed in Andhra Pradesh is?,Kadapa Steel Plant,Visakhapatnam Steel Plant only,Vijayawada Steel Plant,Guntur Steel Plant,Kadapa Steel Plant,Kadapa Steel Plant is planned in Andhra Pradesh.
The famous port city Kakinada is located in?,East Godavari region,Rayalaseema,Chittoor region,Anantapur region,East Godavari region,Kakinada is an important coastal city.
