The second state to implement Panchayati Raj was?,Andhra Pradesh,Rajasthan,Gujarat,Kerala,Andhra Pradesh,"Andhra Pradesh followed Rajasthan in implementing Panchayati Raj."
Panchayats are mentioned under which part of Directive Principles?,Article 40,Article 32,Article 21,Article 51,Article 40,"Article 40 directs the State to organize village Panchayats."
Article 40 belongs to?,Directive Principles of State Policy,Fundamental Rights,Fundamental Duties,Emergency provisions,Directive Principles of State Policy,"Article 40 is part of DPSP."
Panchayats aim at?,Grassroot democracy,Central administration,Military administration,Judicial administration,Grassroot democracy,"Panchayats strengthen democracy at local level."
The State Finance Commission is appointed every?,5 years,3 years,10 years,2 years,5 years,"State Finance Commission is constituted every five years."
The State Election Commissioner is appointed by?,Governor,President,Prime Minister,Chief Justice,Governor,"The Governor appoints the State Election Commissioner."
The minimum age for Panchayat membership is decided by?,State legislature,Parliament,President,Supreme Court,State legislature,"States decide eligibility conditions for Panchayat members."
The reservation of seats in Panchayats is provided for?,SC ST and women,Only men,Only government employees,Foreign citizens,SC ST and women,"The Constitution provides reservation for weaker sections and women."
Panchayat elections are supervised by?,State Election Commission,UPSC,RBI,Finance Commission,State Election Commission,"The State Election Commission conducts local body elections."
The main source of Panchayat income is?,Taxes and grants,Foreign trade,Income tax,Custom duty,Taxes and grants,"Panchayats receive funds through local taxes and government grants."
Panchayats prepare plans for?,Economic development and social justice,Defence,International relations,Currency printing,Economic development and social justice,"The Constitution assigns development planning to Panchayats."
The village-level officer working with Panchayat is?,Panchayat Secretary,District Collector,Governor,Chief Justice,Panchayat Secretary,"Panchayat Secretary maintains records and administration."
The Gram Panchayat works under?,State Panchayati Raj Act,Central Bank rules,Parliamentary rules,Court orders,State Panchayati Raj Act,"States create laws for Panchayat functioning."
The term 'local self-government' means?,Administration by local people,Rule by army,Central government control,Foreign administration,Administration by local people,"Local people manage their own affairs."
The 73rd Amendment added which schedule?,Eleventh Schedule,Tenth Schedule,Ninth Schedule,Fourth Schedule,Eleventh Schedule,"The Eleventh Schedule contains Panchayat subjects."
The 73rd Amendment added how many subjects?,29,18,12,22,29,"Twenty-nine subjects were assigned to Panchayats."
The village Panchayat is also called?,Gram Panchayat,Nagar Panchayat,Zila Parishad,Municipality,Gram Panchayat,"Gram Panchayat is the village-level local body."
The intermediate Panchayat is also called?,Panchayat Samiti,Gram Sabha,Nagar Palika,Corporation,Panchayat Samiti,"Panchayat Samiti functions between village and district levels."
The district Panchayat is also called?,Zila Parishad,Gram Sabha,Municipality,Nagar Panchayat,Zila Parishad,"Zila Parishad is the district-level Panchayat."
The main purpose of decentralization is?,Sharing power with local bodies,Increasing central control,Reducing democracy,Stopping elections,Sharing power with local bodies,"Decentralization transfers authority to lower levels."
Panchayati Raj is based on the principle of?,Democratic decentralization,Centralization,Monarchy,Dictatorship,Democratic decentralization,"It promotes people's participation in governance."
The Gram Sabha approves?,Village development plans,Foreign policies,Union budget,Defence plans,Village development plans,"Gram Sabha discusses and approves local plans."
Panchayat Raj institutions are mentioned in?,Indian Constitution,Criminal law,Company law,International law,Indian Constitution,"They are constitutional bodies after the 73rd Amendment."
Panchayats are examples of?,Local government institutions,Courts,Private organizations,Corporations,Local government institutions,"Panchayats are elected local government bodies."
The term of a Panchayat can be extended during?,No normal extension beyond five years,Every year,Ten years,Unlimited period,No normal extension beyond five years,"The Constitution fixes a five-year term."
Panchayat elections must be completed within how many months after dissolution?,6 months,1 month,12 months,3 months,6 months,"Elections must be completed within six months."
The State Finance Commission recommends?,Financial distribution to local bodies,Judicial appointments,Foreign policy,Defence budget,Financial distribution to local bodies,"It suggests measures for improving Panchayat finances."
Panchayats strengthen?,Rural development,Foreign trade,Defence,Space research,Rural development,"Panchayats focus on rural development."
The concept of Panchayati Raj was inspired by?,Democratic decentralization,Monarchy,Colonial rule,Military rule,Democratic decentralization,"It is based on decentralization of power."
The National Panchayati Raj Day is celebrated on?,April 24,August 15,January 26,October 2,April 24,"April 24 marks the implementation of the 73rd Amendment."
Panchayats help in implementation of?,Government schemes,Foreign treaties,Military operations,Currency policy,Government schemes,"Local bodies help implement welfare schemes."
The main objective of Gram Sabha is?,Public participation,Tax collection only,Judicial decisions,Police control,Public participation,"Gram Sabha encourages direct participation."
Panchayat Raj institutions represent?,Third tier of government,First tier only,Central government,Judiciary,Third tier of government,"Panchayats form the third tier after Union and State governments."
