The White Revolution is related to?,Milk production,Fisheries,Cotton,Oil,Milk production,Operation Flood increased milk production.
The Blue Revolution is related to?,Fisheries,Milk production,Agriculture,Mining,Fisheries,Blue Revolution focuses on fish production.
Question,Option A,Option B,Option C,Option D,Correct Answer,Explanation
The Yellow Revolution is related to?,Oil seeds,Milk production,Fisheries,Rice production,Oil seeds,Yellow Revolution increased production of oilseeds in India.
The Golden Revolution is related to?,Horticulture,Coal,Steel,Transport,Horticulture,Golden Revolution refers to growth in horticulture production.
The Silver Revolution is related to?,Egg production,Milk production,Fish production,Wheat production,Egg production,Silver Revolution is associated with poultry and egg production.
The Pink Revolution is related to?,Meat and poultry,Milk,Cotton,Rice,Meat and poultry,Pink Revolution refers to development of meat processing.
The Father of White Revolution in India is?,Verghese Kurien,M.S Swaminathan,Norman Borlaug,Vikram Sarabhai,Verghese Kurien,Verghese Kurien started Operation Flood.
Operation Flood was related to?,Milk production,Wheat production,Fisheries,Oil production,Milk production,Operation Flood increased milk production.
The Green Revolution started in India during?,1950s,1960s,1980s,2000s,1960s,The Green Revolution began during the 1960s.
The main objective of Green Revolution was?,Increase food grain production,Increase exports,Reduce industries,Increase imports,Increase food grain production,It focused on improving agricultural output.
MSP stands for?,Minimum Support Price,Maximum Selling Price,Market Supply Price,Minimum Selling Product,Minimum Support Price,MSP provides price assurance to farmers.
The Agriculture sector belongs to which sector?,Primary sector,Secondary sector,Tertiary sector,Service sector,Primary sector,Agriculture involves natural resource utilization.
Industries belong to which sector?,Primary,Secondary,Tertiary,Quaternary,Secondary,Manufacturing activities are part of secondary sector.
Services belong to which sector?,Primary,Secondary,Tertiary,Agriculture,Tertiary,Services like banking and transport are tertiary activities.
The Indian economy was opened through reforms in?,1991,1980,2000,2010,1991,1991 reforms introduced liberalization.
The LPG model includes?,Liberalization Privatization Globalization,Loans Production Growth,Land Policy Growth,Local Public Governance,Liberalization Privatization Globalization,LPG were economic reforms introduced in 1991.
The Balance of Payments records?,International transactions,Domestic taxes,Population growth,Agricultural output,International transactions,It records economic transactions with other countries.
Exports mean?,Selling goods to other countries,Buying goods from abroad,Producing goods,Storing goods,Selling goods to other countries,Exports bring foreign currency.
Imports mean?,Buying goods from other countries,Selling goods abroad,Producing goods,Tax collection,Buying goods from other countries,Imports involve purchasing from foreign countries.
Foreign Direct Investment means?,Foreign investment in domestic companies,Government investment,Public spending,Tax collection,Foreign investment in domestic companies,FDI brings foreign capital.
The stock market regulator in India is?,SEBI,RBI,NABARD,IRDAI,SEBI,SEBI regulates securities markets.
BSE is located in?,Mumbai,Delhi,Chennai,Kolkata,Mumbai,Bombay Stock Exchange is in Mumbai.
NSE headquarters is located in?,Mumbai,Delhi,Hyderabad,Pune,Mumbai,National Stock Exchange is located in Mumbai.
Sensex belongs to?,BSE,NSE,RBI,SEBI,BSE,Sensex is the index of Bombay Stock Exchange.
Nifty belongs to?,NSE,BSE,RBI,NABARD,NSE,Nifty is the index of National Stock Exchange.
The banking system is regulated by?,RBI,SEBI,Finance Commission,NITI Aayog,RBI,RBI supervises banking operations.
Commercial banks mainly provide?,Loans and deposits,Manufacturing,Insurance only,Exports,Loans and deposits,Banks accept deposits and provide credit.
The central bank of India is?,RBI,SBI,SEBI,NABARD,RBI,RBI controls monetary system.
Small Industries Development Bank of India is called?,SIDBI,SBI,NABARD,IRDAI,SIDBI,SIDBI supports small industries.
National Bank for Agriculture and Rural Development is?,NABARD,SEBI,RBI,SIDBI,NABARD,NABARD supports agriculture and rural development.
PM Kisan scheme provides?,Income support to farmers,Employment,Insurance,Housing,Income support to farmers,PM Kisan provides financial assistance to farmers.
MGNREGA provides?,Rural employment,Education,Healthcare,Housing,Rural employment,MGNREGA guarantees rural employment.
Pradhan Mantri Jan Dhan Yojana focuses on?,Financial inclusion,Industry growth,Exports,Transport,Financial inclusion,It provides banking access to people.
Ayushman Bharat is related to?,Health insurance,Agriculture,Education,Housing,Health insurance,It provides healthcare coverage.
Atmanirbhar Bharat focuses on?,Self-reliant India,Foreign dependence,Imports only,Tax increase,Self-reliant India,It promotes domestic production.
Make in India aims to promote?,Manufacturing sector,Agriculture only,Banking only,Imports,Manufacturing sector,It encourages manufacturing in India.
Startup India promotes?,Entrepreneurship,Mining,Imports,Tax collection,Entrepreneurship,It supports startups and innovation.
Skill India focuses on?,Skill development,Trade restrictions,Foreign policy,Agriculture,Skill development,It improves employability skills.
Digital India focuses on?,Digital services,Mining,Transport,Exports,Digital services,It promotes digital infrastructure.
Human Development Index is published by?,UNDP,RBI,World Bank,IMF,UNDP,UNDP publishes HDI reports.
GDP growth rate measures?,Economic growth,Population growth,Rainfall,Inflation only,Economic growth,It shows expansion of economy.
Poverty line is related to?,Income level,Weather,Population density,Exports,Income level,It identifies people below minimum income.
Unemployment means?,Lack of jobs,Increase in jobs,High production,Price rise,Lack of jobs,It refers to people willing to work without employment.
Disguised unemployment is common in?,Agriculture,Industry,Banking,IT,Agriculture,More workers are engaged than required.
Seasonal unemployment occurs due to?,Seasonal nature of work,High education,Technology,Inflation,Seasonal nature of work,Common in agriculture.
Fiscal deficit means?,Excess government expenditure over revenue,Increase in exports,Decrease in taxes,Increase in savings,Excess government expenditure over revenue,It shows government borrowing requirement.
Public debt means?,Government borrowings,Private loans,Foreign trade,Tax revenue,Government borrowings,It represents government liabilities.
The World Bank headquarters is in?,Washington DC,Geneva,New York,Paris,Washington DC,World Bank headquarters is in USA.
IMF headquarters is in?,Washington DC,London,Paris,Tokyo,Washington DC,IMF provides financial assistance to countries.
WTO headquarters is in?,Geneva,New York,Paris,London,Geneva,WTO manages international trade rules.
