The instrument used to measure atmospheric pressure is?,Barometer,Thermometer,Voltmeter,Speedometer,Barometer,Barometer measures air pressure.
The instrument used to measure electric current is?,Ammeter,Voltmeter,Barometer,Thermometer,Ammeter,Ammeter measures electric current.
The instrument used to measure voltage is?,Ammeter,Voltmeter,Ohmmeter,Galvanometer,Voltmeter,Voltmeter measures potential difference.
Newton's first law is related to?,Inertia,Energy,Gravity,Pressure,Inertia,An object remains at rest or motion unless acted upon by force.
Newton's second law gives relation between?,Force and acceleration,Mass and volume,Energy and power,Heat and temperature,Force and acceleration,Force equals mass multiplied by acceleration.
Newton's third law states?,Action and reaction,Energy conservation,Gravity law,Motion law,Action and reaction,Every action has equal and opposite reaction.
The force that attracts objects towards Earth is?,Friction,Gravity,Magnetism,Pressure,Gravity,Gravity pulls objects towards Earth's centre.
The unit of frequency is?,Hertz,Newton,Joule,Watt,Hertz,Hertz measures frequency.
Sound cannot travel through?,Solid,Liquid,Vaccum,Gas,Vacuum,Sound requires a medium to travel.
The speed of sound is highest in?,Solids,Liquids,Gases,Vacuum,Solids,Particles are closely packed in solids.
The colour with highest wavelength is?,Violet,Blue,Red,Green,Red,Red has the longest wavelength in visible spectrum.
The colour with shortest wavelength is?,Red,Yellow,Violet,Green,Violet,Violet has the shortest wavelength.
A convex lens is used in?,Magnifying glass,Rear view mirror,Periscope,Barometer,Magnifying glass,Convex lens magnifies objects.
A concave lens is used for correcting?,Myopia,Hypermetropia,Presbyopia,Cataract,Myopia,Concave lens corrects short-sightedness.
A convex lens corrects?,Hypermetropia,Myopia,Colour blindness,Astigmatism,Hypermetropia,Convex lens corrects long-sightedness.
The mirror used in vehicles for rear view is?,Plane mirror,Convex mirror,Concave mirror,Parabolic mirror,Convex mirror,Convex mirrors provide a wider field of view.
Electric current is the flow of?,Charge,Water,Heat,Light,Charge,Electric current is flow of electric charges.
A conductor allows flow of?,Electric current,Light only,Heat only,Sound,Electric current,Conductors have free electrons.
Copper is a good?,Insulator,Conductor,Semiconductor,Magnet,Conductor,Copper conducts electricity efficiently.
Rubber is an example of?,Conductor,Insulator,Metal,Semiconductor,Insulator,Rubber does not allow easy flow of electricity.
A fuse is used for?,Safety from excess current,Increasing voltage,Producing electricity,Measuring current,Safety from excess current,Fuse melts when current exceeds safe limit.
The energy stored in a battery is?,Chemical energy,Heat energy,Light energy,Sound energy,Chemical energy,Battery converts chemical energy into electrical energy.
Solar energy is obtained from?,Sun,Moon,Earth,Stars,Sun,Sun is the main source of solar energy.
The renewable source of energy is?,Coal,Solar energy,Petroleum,Natural gas,Solar energy,Solar energy can be replenished naturally.
The non-renewable source of energy is?,Wind,Sunlight,Coal,Water,Coal,Coal is a limited fossil fuel.
The chemical formula of water is?,CO₂,H₂O,O₂,NaCl,H₂O,Water contains two hydrogen and one oxygen atom.
The chemical formula of carbon dioxide is?,CO₂,H₂O,O₂,N₂,CO₂,Carbon dioxide contains carbon and oxygen.
The chemical formula of common salt is?,NaCl,KCl,CaCO₃,HCl,NaCl,Sodium chloride is common salt.
The pH value of pure water is?,5,7,9,14,7,Neutral water has pH 7.
Acids turn blue litmus paper?,Red,Blue,Green,Yellow,Red,Acids change blue litmus to red.
Bases turn red litmus paper?,Blue,Red,Yellow,Green,Blue,Bases change red litmus to blue.
The hardest natural substance is?,Iron,Diamond,Gold,Silver,Diamond,Diamond is the hardest natural material.
The metal liquid at room temperature is?,Iron,Mercury,Copper,Aluminium,Mercury,Mercury remains liquid at room temperature.
The lightest gas is?,Oxygen,Hydrogen,Nitrogen,Carbon dioxide,Hydrogen,Hydrogen is the lightest element.
The most abundant gas in atmosphere is?,Oxygen,Nitrogen,Carbon dioxide,Hydrogen,Nitrogen,Nitrogen forms about 78% of atmosphere.
The ozone layer protects Earth from?,UV rays,Infrared rays,Sound waves,Radiowaves,UV rays,Ozone absorbs harmful ultraviolet radiation.
Global warming is mainly caused by?,Greenhouse gases,Oxygen,Nitrogen,Water vapour only,Greenhouse gases,Greenhouse gases trap heat in atmosphere.
The greenhouse gas among these is?,Carbon dioxide,Oxygen,Nitrogen,Helium,Carbon dioxide,CO₂ contributes to global warming.
The process of converting liquid into gas is?,Condensation,Evaporation,Freezing,Melting,Evaporation,Evaporation changes liquid into vapour.
The process of converting gas into liquid is?,Evaporation,Condensation,Sublimation,Freezing,Condensation,Condensation forms liquid from gas.
The process of solid changing directly into gas is?,Melting,Sublimation,Freezing,Boiling,Sublimation,Sublimation occurs without becoming liquid.
The study of earthquakes is called?,Seismology,Ecology,Biology,Geology,Seismology,Seismology studies earthquakes.
The instrument used to record earthquakes is?,Seismograph,Thermometer,Barometer,Ammeter,Seismograph,Seismograph records earthquake waves.
