The default extension of Word file is?,.docx,.xlsx,.pptx,.txt,.docx,.docx is the modern Word document format.
The default extension of Excel file is?,.xlsx,.docx,.pptx,.jpg,.xlsx,.xlsx is used for Excel spreadsheets.
The default extension of PowerPoint file is?,.pptx,.docx,.xlsx,.pdf,.pptx,.pptx is used for presentations.
PDF stands for?,Portable Document Format,Personal Data File,Public Document Form,Print Data Format,Portable Document Format,PDF preserves document formatting.
A firewall is used for?,Network security,Printing,Storage,Programming,Network security,Firewall controls network traffic for protection.
Phishing is related to?,Online fraud,Hardware repair,Data backup,Programming,Online fraud,Phishing attempts to steal sensitive information.
OTP stands for?,One Time Password,Online Transfer Password,Only Text Password,Open Time Password,One Time Password,OTP provides temporary authentication.
Two-factor authentication improves?,Security,Storage,Speed,Printing,Security,It adds an extra verification step.
Encryption converts data into?,Secret code,Image,Audio,Video,Secret code,Encryption protects information from unauthorized access.
Decryption means?,Converting coded data back,Deleting data,Copying data,Compressing data,Converting coded data back,Decryption restores original information.
A database is a collection of?,Organized data,Hardware,Programs only,Cables,Organized data,A database stores structured information.
A primary key is used to?,Uniquely identify records,Delete tables,Create viruses,Format disks,Uniquely identify records,Primary key values are unique in a table.
A table in DBMS contains?,Rows and columns,Only images,Only text,Only numbers,Rows and columns,Tables organize data in databases.
A compiler converts?,High-level language to machine code,Images to text,Hardware to software,Data to files,High-level language to machine code,Compiler translates programs into machine language.
Python is a?,Programming language,Operating system,Browser,Database,Programming language,Python is used for software development and data science.
Java is a?,Programming language,Hardware device,Network cable,Database,Programming language,Java is an object-oriented programming language.
C language was developed by?,Dennis Ritchie,Bill Gates,James Gosling,Guido van Rossum,Dennis Ritchie,Dennis Ritchie created C programming language.
Python was created by?,Guido van Rossum,James Gosling,Dennis Ritchie,Mark Zuckerberg,Guido van Rossum,Guido van Rossum developed Python.
Java was developed by?,James Gosling,Guido van Rossum,Dennis Ritchie,Tim Berners-Lee,James Gosling,James Gosling created Java.
Git is used for?,Version control,Printing,Database storage,Networking,Version control,Git tracks changes in source code.
GitHub is used for?,Code hosting,Video editing,Email,Operating system,Code hosting,GitHub stores and manages software projects.
Artificial Intelligence is abbreviated as?,AI,AR,IT,ML,AI,AI stands for Artificial Intelligence.
IoT stands for?,Internet of Things,Input of Technology,Internet of Tools,Integrated Online Technology,Internet of Things,IoT connects physical devices through the internet.
Big Data refers to?,Large volume of data,Small files,Hardware,Software only,Large volume of data,Big Data handles huge and complex datasets.
Blockchain is a?,Distributed digital ledger,Operating system,Browser,Programming language,Distributed digital ledger,Blockchain stores records securely across networks.
